cell,signal,K,n,best,mean,std,gap
ER_n20_d0.5_P6,MM (rand seed),12,12,2.15,2.2583333333333333,0.09316949906249122,4.797047970479707
ER_n20_d0.5_P6,cold-order raw,12,12,6.05,6.7625,0.6308476440472771,10.536044362292056
ER_n20_d0.5_P6,cold-order +LNS,12,12,2.55,3.0625,0.3361082414937188,16.734693877551024
ER_n30_d0.5_P6,MM (rand seed),12,12,3.033333333333333,3.3722222222222222,0.14196591487978485,10.049423393739707
ER_n30_d0.5_P6,cold-order raw,12,0,,,,
ER_n30_d0.5_P6,cold-order +LNS,12,0,,,,
ER_n30_d0.7_P6,MM (rand seed),12,12,3.6333333333333333,3.9055555555555554,0.17993483045224054,6.9701280227596
ER_n30_d0.7_P6,cold-order raw,12,0,,,,
ER_n30_d0.7_P6,cold-order +LNS,12,0,,,,
ER_n40_d0.5_P6,MM (rand seed),12,12,4.375,4.65625,0.20133021175836127,6.040268456375839
ER_n40_d0.5_P6,cold-order raw,12,0,,,,
ER_n40_d0.5_P6,cold-order +LNS,12,0,,,,
ER_n30_d0.5_Z4,MM (rand seed),12,12,2.533333333333333,2.738888888888889,0.10076865081787255,7.505070993914813
ER_n30_d0.5_Z4,cold-order raw,12,0,,,,
ER_n30_d0.5_Z4,cold-order +LNS,12,0,,,,
