cell,target,algorithm,seed,success,valid,acl,maxchain,qubits,time,status
ER_n20_d0.3_P6,pegasus_6,minorminer,0,1,1,1.65,3,33,0.034602791998622706,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,1,1,1,1.9,3,38,0.0430366660002619,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,2,1,1,1.85,3,37,0.032311792001564754,SUCCESS
ER_n20_d0.3_P6,pegasus_6,diff-softassign,0,1,1,1.65,3,33,1.738176625000051,SUCCESS
ER_n20_d0.3_P6,pegasus_6,diff-softassign,1,1,1,1.9,3,38,0.33055920799961314,SUCCESS
ER_n20_d0.3_P6,pegasus_6,diff-softassign,2,1,1,1.85,3,37,0.3165720409997448,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,0,1,1,2.25,3,45,0.09028166699863505,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,1,1,1,2.5,4,50,0.04867825000110315,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,2,1,1,2.2,3,44,0.13203416599935736,SUCCESS
ER_n20_d0.5_P6,pegasus_6,diff-softassign,0,1,1,2.25,3,45,0.38343045899819117,SUCCESS
ER_n20_d0.5_P6,pegasus_6,diff-softassign,1,1,1,2.5,4,50,0.4366043330010143,SUCCESS
ER_n20_d0.5_P6,pegasus_6,diff-softassign,2,1,1,2.2,3,44,0.4317945420007163,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,0,1,1,2.5,3,50,0.20454420800160733,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,1,1,1,2.65,3,53,0.08570920899728662,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,2,1,1,2.6,3,52,0.11228983299952233,SUCCESS
ER_n20_d0.7_P6,pegasus_6,diff-softassign,0,1,1,2.5,3,50,0.5416240000013204,SUCCESS
ER_n20_d0.7_P6,pegasus_6,diff-softassign,1,1,1,2.65,3,53,0.41871645900027943,SUCCESS
ER_n20_d0.7_P6,pegasus_6,diff-softassign,2,1,1,2.6,3,52,0.4877115410017723,SUCCESS
