cell,algorithm,seed,success,valid,acl,max_chain,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,3,45,0.08771820898982696
ER_n20_d0.5_P6,reweave,0,1,1,2.25,3,45,0.10149187500064727
ER_n20_d0.5_P6,mmfork,0,1,1,2.25,3,45,0.08688120800070465
ER_n20_d0.5_P6,mmfork-cuthill,0,1,1,2.05,3,41,0.12461816599534359
ER_n20_d0.5_P6,mmfork-spectral,0,1,1,2.3,3,46,0.09552516700932756
ER_n20_d0.5_P6,mmfork-mcs,0,1,1,2.4,3,48,0.07574633399781305
ER_n20_d0.5_P6,mmfork-minfill,0,1,1,2.15,3,43,0.10151479100750294
ER_n20_d0.5_P6,mmfork-bfs,0,1,1,2.3,3,46,0.0908635840023635
ER_n20_d0.5_P6,mmfork-portfolio,0,1,1,2.05,3,41,0.6047839590028161
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,4,50,0.04342979200009722
ER_n20_d0.5_P6,reweave,1,1,1,2.35,3,47,0.07327829199493863
ER_n20_d0.5_P6,mmfork,1,1,1,2.5,4,50,0.04313933300727513
ER_n20_d0.5_P6,mmfork-cuthill,1,1,1,2.35,3,47,0.08499674999620765
ER_n20_d0.5_P6,mmfork-spectral,1,1,1,2.25,3,45,0.14430979199823923
ER_n20_d0.5_P6,mmfork-mcs,1,1,1,2.1,3,42,0.11249191699607763
ER_n20_d0.5_P6,mmfork-minfill,1,1,1,2.25,3,45,0.09743537500617094
ER_n20_d0.5_P6,mmfork-bfs,1,1,1,2.3,3,46,0.11694412499491591
ER_n20_d0.5_P6,mmfork-portfolio,1,1,1,2.1,3,42,0.6385140420024982
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,3,44,0.11773812500177883
ER_n20_d0.5_P6,reweave,2,1,1,2.2,3,44,0.1406766250001965
ER_n20_d0.5_P6,mmfork,2,1,1,2.2,3,44,0.11712291699950583
ER_n20_d0.5_P6,mmfork-cuthill,2,1,1,2.35,3,47,0.16177095800230745
ER_n20_d0.5_P6,mmfork-spectral,2,1,1,2.25,3,45,0.18323420800152235
ER_n20_d0.5_P6,mmfork-mcs,2,1,1,2.3,3,46,0.06852787500247359
ER_n20_d0.5_P6,mmfork-minfill,2,1,1,2.25,3,45,0.06136550000519492
ER_n20_d0.5_P6,mmfork-bfs,2,1,1,2.3,3,46,0.10280879199854098
ER_n20_d0.5_P6,mmfork-portfolio,2,1,1,2.2,3,44,0.6799238340026932
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,5,105,0.35355958400759846
ER_n30_d0.5_P6,reweave,0,1,1,3.4,5,102,0.46907233400270343
ER_n30_d0.5_P6,mmfork,0,1,1,3.5,5,105,0.35180199999012984
ER_n30_d0.5_P6,mmfork-cuthill,0,1,1,3.3666666666666667,5,101,0.2037526249914663
ER_n30_d0.5_P6,mmfork-spectral,0,1,1,3.3,4,99,0.5683571659901645
ER_n30_d0.5_P6,mmfork-mcs,0,1,1,3.533333333333333,5,106,0.2558051669911947
ER_n30_d0.5_P6,mmfork-minfill,0,1,1,3.3666666666666667,4,101,0.48896583399618976
ER_n30_d0.5_P6,mmfork-bfs,0,1,1,3.3666666666666667,5,101,0.45917741699668113
ER_n30_d0.5_P6,mmfork-portfolio,0,1,1,3.3,4,99,2.273056624995661
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,4,100,0.3317704580113059
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,4,100,0.4075831670052139
ER_n30_d0.5_P6,mmfork,1,1,1,3.3333333333333335,4,100,0.3308452909986954
ER_n30_d0.5_P6,mmfork-cuthill,1,1,1,3.4,5,102,0.2851646249910118
ER_n30_d0.5_P6,mmfork-spectral,1,1,1,3.466666666666667,5,104,0.5783813750022091
ER_n30_d0.5_P6,mmfork-mcs,1,1,1,3.1666666666666665,4,95,0.3813511659973301
ER_n30_d0.5_P6,mmfork-minfill,1,1,1,3.3333333333333335,5,100,0.3083230000047479
ER_n30_d0.5_P6,mmfork-bfs,1,1,1,3.466666666666667,5,104,0.1726555829955032
ER_n30_d0.5_P6,mmfork-portfolio,1,1,1,3.1666666666666665,4,95,2.3752822920068866
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,5,97,0.8035206659988035
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,5,94,0.9133730000030482
ER_n30_d0.5_P6,mmfork,2,1,1,3.2333333333333334,5,97,0.8059648329945048
ER_n30_d0.5_P6,mmfork-cuthill,2,1,1,3.3333333333333335,4,100,0.5370070829958422
ER_n30_d0.5_P6,mmfork-spectral,2,1,1,3.4,5,102,0.3908628750068601
ER_n30_d0.5_P6,mmfork-mcs,2,1,1,3.2666666666666666,5,98,0.27072045899694785
ER_n30_d0.5_P6,mmfork-minfill,2,1,1,3.433333333333333,5,103,0.30970179199357517
ER_n30_d0.5_P6,mmfork-bfs,2,1,1,3.6333333333333333,5,109,0.3259032920032041
ER_n30_d0.5_P6,mmfork-portfolio,2,1,1,3.2333333333333334,5,97,2.7400187499879394
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,5,109,1.2119957499962766
ER_n30_d0.7_P6,reweave,0,1,1,3.6,5,108,1.3260818749986356
ER_n30_d0.7_P6,mmfork,0,1,1,3.6333333333333333,5,109,1.2028575409931364
ER_n30_d0.7_P6,mmfork-cuthill,0,1,1,3.7,5,111,1.4738661250012228
ER_n30_d0.7_P6,mmfork-spectral,0,1,1,3.7,5,111,0.3875691249995725
ER_n30_d0.7_P6,mmfork-mcs,0,1,1,3.7666666666666666,5,113,0.5604633750044741
ER_n30_d0.7_P6,mmfork-minfill,0,1,1,3.7,5,111,0.5305285420035943
ER_n30_d0.7_P6,mmfork-bfs,0,1,1,3.7333333333333334,5,112,0.4311698749952484
ER_n30_d0.7_P6,mmfork-portfolio,0,1,1,3.6333333333333333,5,109,4.62644595799793
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,6,127,0.5379807079880266
ER_n30_d0.7_P6,reweave,1,1,1,4.133333333333334,6,124,0.7001865829952294
ER_n30_d0.7_P6,mmfork,1,1,1,4.233333333333333,6,127,0.536604291992262
ER_n30_d0.7_P6,mmfork-cuthill,1,1,1,4.133333333333334,6,124,0.2799222500034375
ER_n30_d0.7_P6,mmfork-spectral,1,1,1,3.7666666666666666,5,113,0.5383812079962809
ER_n30_d0.7_P6,mmfork-mcs,1,1,1,4.066666666666666,6,122,0.2014908330020262
ER_n30_d0.7_P6,mmfork-minfill,1,1,1,3.6666666666666665,5,110,0.3885286669974448
ER_n30_d0.7_P6,mmfork-bfs,1,1,1,3.8666666666666667,5,116,0.3166638750117272
ER_n30_d0.7_P6,mmfork-portfolio,1,1,1,3.6666666666666665,5,110,2.4729041250102455
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,5,116,0.43875950000074226
ER_n30_d0.7_P6,reweave,2,1,1,3.8,5,114,0.5418072080065031
ER_n30_d0.7_P6,mmfork,2,1,1,3.8666666666666667,5,116,0.43697712500579655
ER_n30_d0.7_P6,mmfork-cuthill,2,1,1,3.8,5,114,0.8940160000056494
ER_n30_d0.7_P6,mmfork-spectral,2,1,1,3.6333333333333333,5,109,0.3783030839986168
ER_n30_d0.7_P6,mmfork-mcs,2,1,1,3.7333333333333334,5,112,0.5779838750022464
ER_n30_d0.7_P6,mmfork-minfill,2,1,1,3.7,5,111,0.5307526670076186
ER_n30_d0.7_P6,mmfork-bfs,2,1,1,4.066666666666666,6,122,0.2523189579951577
ER_n30_d0.7_P6,mmfork-portfolio,2,1,1,3.6333333333333333,5,109,3.0957090409938246
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,7,183,0.47631925001041964
ER_n40_d0.5_P6,reweave,0,1,1,4.45,6,178,0.7667285829957109
ER_n40_d0.5_P6,mmfork,0,1,1,4.575,7,183,0.4735495000059018
ER_n40_d0.5_P6,mmfork-cuthill,0,1,1,4.5,6,180,0.3717670000041835
ER_n40_d0.5_P6,mmfork-spectral,0,1,1,4.75,6,190,0.9954735829960555
ER_n40_d0.5_P6,mmfork-mcs,0,1,1,4.425,6,177,1.2679135000071255
ER_n40_d0.5_P6,mmfork-minfill,0,1,1,4.5,6,180,0.9776957079884596
ER_n40_d0.5_P6,mmfork-bfs,0,1,1,4.4,6,176,0.7230012499931036
ER_n40_d0.5_P6,mmfork-portfolio,0,1,1,4.4,6,176,4.911612916999729
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,6,176,1.066332832997432
ER_n40_d0.5_P6,reweave,1,1,1,4.25,6,170,1.4509239579929272
ER_n40_d0.5_P6,mmfork,1,1,1,4.4,6,176,1.0794550830032676
ER_n40_d0.5_P6,mmfork-cuthill,1,1,1,4.575,7,183,0.49898254200525116
ER_n40_d0.5_P6,mmfork-spectral,1,1,1,4.875,7,195,0.8802314170025056
ER_n40_d0.5_P6,mmfork-mcs,1,1,1,4.35,6,174,1.0641133750032168
ER_n40_d0.5_P6,mmfork-minfill,1,1,1,4.4,6,176,0.7707072500052163
ER_n40_d0.5_P6,mmfork-bfs,1,1,1,4.8,7,192,0.6697371249902062
ER_n40_d0.5_P6,mmfork-portfolio,1,1,1,4.35,6,174,5.177548209001543
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,6,183,1.2958880000078352
ER_n40_d0.5_P6,reweave,2,1,1,4.475,6,179,1.543618374998914
ER_n40_d0.5_P6,mmfork,2,1,1,4.575,6,183,1.2683862500125542
ER_n40_d0.5_P6,mmfork-cuthill,2,1,1,4.475,6,179,1.1142946250038221
ER_n40_d0.5_P6,mmfork-spectral,2,1,1,4.725,7,189,0.6615676250075921
ER_n40_d0.5_P6,mmfork-mcs,2,1,1,4.375,6,175,0.7627752920088824
ER_n40_d0.5_P6,mmfork-minfill,2,1,1,4.75,6,190,0.7520258329896023
ER_n40_d0.5_P6,mmfork-bfs,2,1,1,4.8,7,192,0.508914874997572
ER_n40_d0.5_P6,mmfork-portfolio,2,1,1,4.375,6,175,5.206665833000443
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,8,210,0.42609741700289305
ER_n40_d0.7_P6,reweave,0,1,1,4.9,7,196,0.9385997500066878
ER_n40_d0.7_P6,mmfork,0,1,1,5.25,8,210,0.42212204200041015
ER_n40_d0.7_P6,mmfork-cuthill,0,1,1,5.025,7,201,1.031313916988438
ER_n40_d0.7_P6,mmfork-spectral,0,1,1,5.15,7,206,0.621661375000258
ER_n40_d0.7_P6,mmfork-mcs,0,1,1,4.975,7,199,0.9075330420018872
ER_n40_d0.7_P6,mmfork-minfill,0,1,1,4.825,7,193,1.3471486670023296
ER_n40_d0.7_P6,mmfork-bfs,0,1,1,4.875,7,195,1.4481337500037625
ER_n40_d0.7_P6,mmfork-portfolio,0,1,1,4.825,7,193,4.934659209000529
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,7,206,0.8482251250097761
ER_n40_d0.7_P6,reweave,1,1,1,5.05,7,202,1.3024378749978496
ER_n40_d0.7_P6,mmfork,1,1,1,5.15,7,206,0.8384458329965128
ER_n40_d0.7_P6,mmfork-cuthill,1,1,1,5.05,7,202,0.9612069159920793
ER_n40_d0.7_P6,mmfork-spectral,1,1,1,5.475,8,219,0.7122749169939198
ER_n40_d0.7_P6,mmfork-mcs,1,1,1,5.125,7,205,1.541341417003423
ER_n40_d0.7_P6,mmfork-minfill,1,1,1,4.875,6,195,0.9206157909939066
ER_n40_d0.7_P6,mmfork-bfs,1,1,1,4.9,7,196,0.7309554999956163
ER_n40_d0.7_P6,mmfork-portfolio,1,1,1,4.875,6,195,6.363957749999827
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,7,204,1.8505269580055028
ER_n40_d0.7_P6,reweave,2,1,1,4.95,7,198,2.4230476669908967
ER_n40_d0.7_P6,mmfork,2,1,1,5.1,7,204,1.8402531659958186
ER_n40_d0.7_P6,mmfork-cuthill,2,1,1,5.2,7,208,0.6893232500005979
ER_n40_d0.7_P6,mmfork-spectral,2,1,1,5.1,7,204,0.47524324999540113
ER_n40_d0.7_P6,mmfork-mcs,2,1,1,5.225,7,209,0.47697129199514166
ER_n40_d0.7_P6,mmfork-minfill,2,1,1,5.775,8,231,0.5594777499936754
ER_n40_d0.7_P6,mmfork-bfs,2,1,1,4.975,6,199,1.0626833330024965
ER_n40_d0.7_P6,mmfork-portfolio,2,1,1,5.1,7,204,4.825653499996406
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,5,103,0.4573632919928059
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,5,101,0.5713912920036819
ER_n30_d0.5_P6brk,mmfork,0,1,1,3.433333333333333,5,103,0.4553357499971753
ER_n30_d0.5_P6brk,mmfork-cuthill,0,1,1,3.466666666666667,5,104,0.3883112500043353
ER_n30_d0.5_P6brk,mmfork-spectral,0,1,1,3.4,5,102,0.22162504200241528
ER_n30_d0.5_P6brk,mmfork-mcs,0,1,1,3.6666666666666665,5,110,0.39690520901058335
ER_n30_d0.5_P6brk,mmfork-minfill,0,1,1,3.466666666666667,5,104,0.2718378749996191
ER_n30_d0.5_P6brk,mmfork-bfs,0,1,1,3.3666666666666667,5,101,0.5617703750031069
ER_n30_d0.5_P6brk,mmfork-portfolio,0,1,1,3.3333333333333335,5,100,2.1186334999947576
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,5,108,0.18687620900163893
ER_n30_d0.5_P6brk,reweave,1,1,1,3.533333333333333,5,106,0.26679412501107436
ER_n30_d0.5_P6brk,mmfork,1,1,1,3.6,5,108,0.18791270798828918
ER_n30_d0.5_P6brk,mmfork-cuthill,1,1,1,3.1333333333333333,4,94,0.4092133750091307
ER_n30_d0.5_P6brk,mmfork-spectral,1,1,1,3.3666666666666667,5,101,0.43611020800017286
ER_n30_d0.5_P6brk,mmfork-mcs,1,1,1,3.7333333333333334,5,112,0.20357987500028685
ER_n30_d0.5_P6brk,mmfork-minfill,1,1,1,3.566666666666667,5,107,0.273996249990887
ER_n30_d0.5_P6brk,mmfork-bfs,1,1,1,3.433333333333333,5,103,0.3959504999947967
ER_n30_d0.5_P6brk,mmfork-portfolio,1,1,1,3.1333333333333333,4,94,1.7545079580013407
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,5,102,0.29694991699943785
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,5,101,0.39321237499825656
ER_n30_d0.5_P6brk,mmfork,2,1,1,3.4,5,102,0.2889604160009185
ER_n30_d0.5_P6brk,mmfork-cuthill,2,1,1,3.7,5,111,0.2164532080059871
ER_n30_d0.5_P6brk,mmfork-spectral,2,1,1,3.8666666666666667,5,116,0.24976195799536072
ER_n30_d0.5_P6brk,mmfork-mcs,2,1,1,3.533333333333333,5,106,0.3802759579994017
ER_n30_d0.5_P6brk,mmfork-minfill,2,1,1,3.7,5,111,0.35105599999951664
ER_n30_d0.5_P6brk,mmfork-bfs,2,1,1,3.6,5,108,0.3442479160003131
ER_n30_d0.5_P6brk,mmfork-portfolio,2,1,1,3.4,5,102,1.7562289159977809
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,4,80,0.3929563749989029
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,4,79,0.48400029199547134
ER_n30_d0.5_Z4,mmfork,0,1,1,2.6666666666666665,4,80,0.3928975829912815
