cell,target,algorithm,seed,success,valid,acl,maxchain,qubits,time,status
ER_n20_d0.3_P6,pegasus_6,minorminer,0,1,1,1.65,3,33,0.03422754200073541,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,1,1,1,1.9,3,38,0.042314583999541355,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,2,1,1,1.85,3,37,0.032461291000799974,SUCCESS
ER_n20_d0.3_P6,pegasus_6,lns-cpsat,0,1,1,1.65,3,33,1.5795597079995787,SUCCESS
ER_n20_d0.3_P6,pegasus_6,lns-cpsat,1,1,1,1.9,3,38,1.3627732499990088,SUCCESS
ER_n20_d0.3_P6,pegasus_6,lns-cpsat,2,1,1,1.85,3,37,2.3573509580019163,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,0,1,1,2.25,3,45,0.08582374999969034,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,1,1,1,2.5,4,50,0.04709441699742456,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,2,1,1,2.2,3,44,0.12514966699745855,SUCCESS
ER_n20_d0.5_P6,pegasus_6,lns-cpsat,0,1,1,2.25,3,45,3.01267120799821,SUCCESS
ER_n20_d0.5_P6,pegasus_6,lns-cpsat,1,1,1,2.35,3,47,4.1101852920000965,SUCCESS
ER_n20_d0.5_P6,pegasus_6,lns-cpsat,2,1,1,2.2,3,44,3.5800979170016944,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,0,1,1,2.5,3,50,0.235613208002178,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,1,1,1,2.65,3,53,0.0799990829982562,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,2,1,1,2.6,3,52,0.10526033300266135,SUCCESS
ER_n20_d0.7_P6,pegasus_6,lns-cpsat,0,1,1,2.5,3,50,1.972810125000251,SUCCESS
ER_n20_d0.7_P6,pegasus_6,lns-cpsat,1,1,1,2.65,3,53,2.8623721669973747,SUCCESS
ER_n20_d0.7_P6,pegasus_6,lns-cpsat,2,1,1,2.55,3,51,2.483090790999995,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,0,1,1,2.7666666666666666,4,83,0.23273741700177197,SUCCESS
