cell,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,qubits_mean,time_mean
ER_n20_d0.3_P6,minorminer,3,3,1.0,1.8,0.108,36,0.036
ER_n20_d0.3_P6,lns-cpsat,3,3,1.0,1.8,0.108,36,1.767
ER_n20_d0.5_P6,minorminer,3,3,1.0,2.317,0.131,46.3,0.086
ER_n20_d0.5_P6,lns-cpsat,3,3,1.0,2.267,0.062,45.3,3.568
ER_n20_d0.7_P6,minorminer,3,3,1.0,2.583,0.062,51.7,0.14
ER_n20_d0.7_P6,lns-cpsat,3,3,1.0,2.567,0.062,51.3,2.439
ER_n30_d0.3_P6,minorminer,3,3,1.0,2.711,0.129,81.3,0.191
ER_n30_d0.3_P6,lns-cpsat,3,3,1.0,2.689,0.113,80.7,5.588
ER_n30_d0.5_P6,minorminer,3,3,1.0,3.356,0.11,100.7,0.555
ER_n30_d0.5_P6,lns-cpsat,3,3,1.0,3.278,0.11,98.3,6.161
ER_n30_d0.7_P6,minorminer,3,3,1.0,3.911,0.247,117.3,0.831
ER_n30_d0.7_P6,lns-cpsat,3,3,1.0,3.833,0.223,115,7.715
ER_n30_d0.5_P6-broken,minorminer,3,3,1.0,3.478,0.087,104.3,0.336
ER_n30_d0.5_P6-broken,lns-cpsat,3,3,1.0,3.378,0.11,101.3,5.53
ER_n30_d0.5_Z4,minorminer,3,3,1.0,2.744,0.087,82.3,0.29
ER_n30_d0.5_Z4,lns-cpsat,3,3,1.0,2.689,0.079,80.7,6.452
