cell,order,seed,tries,acl
ER_n30_d0.7_P6,default,0,10,3.6333333333333333
ER_n30_d0.7_P6,degeneracy,0,10,4.033333333333333
ER_n30_d0.7_P6,minfill,0,10,3.7
ER_n30_d0.7_P6,mcs,0,10,3.7666666666666666
ER_n30_d0.7_P6,cuthill,0,10,3.7
ER_n30_d0.7_P6,spectral,0,10,3.7
ER_n30_d0.7_P6,community,0,10,4.166666666666667
ER_n30_d0.7_P6,bfs,0,10,3.7333333333333334
ER_n30_d0.7_P6,default,1,10,4.233333333333333
ER_n30_d0.7_P6,degeneracy,1,10,3.8333333333333335
ER_n30_d0.7_P6,minfill,1,10,3.6666666666666665
ER_n30_d0.7_P6,mcs,1,10,4.066666666666666
ER_n30_d0.7_P6,cuthill,1,10,4.133333333333334
ER_n30_d0.7_P6,spectral,1,10,3.7666666666666666
ER_n30_d0.7_P6,community,1,10,3.533333333333333
ER_n30_d0.7_P6,bfs,1,10,3.8666666666666667
ER_n30_d0.7_P6,default,2,10,3.8666666666666667
ER_n30_d0.7_P6,degeneracy,2,10,3.7333333333333334
ER_n30_d0.7_P6,minfill,2,10,3.7
ER_n30_d0.7_P6,mcs,2,10,3.7333333333333334
ER_n30_d0.7_P6,cuthill,2,10,3.8
ER_n30_d0.7_P6,spectral,2,10,3.6333333333333333
ER_n30_d0.7_P6,community,2,10,3.8
ER_n30_d0.7_P6,bfs,2,10,4.066666666666666
ER_n30_d0.7_P6,default,3,10,3.7666666666666666
ER_n30_d0.7_P6,degeneracy,3,10,3.8
ER_n30_d0.7_P6,minfill,3,10,3.7333333333333334
ER_n30_d0.7_P6,mcs,3,10,3.9
ER_n30_d0.7_P6,cuthill,3,10,3.6
ER_n30_d0.7_P6,spectral,3,10,3.6333333333333333
ER_n30_d0.7_P6,community,3,10,3.9
ER_n30_d0.7_P6,bfs,3,10,4.1
ER_n40_d0.5_P6,default,0,10,4.575
ER_n40_d0.5_P6,degeneracy,0,10,4.4
ER_n40_d0.5_P6,minfill,0,10,4.5
ER_n40_d0.5_P6,mcs,0,10,4.425
ER_n40_d0.5_P6,cuthill,0,10,4.5
ER_n40_d0.5_P6,spectral,0,10,4.75
ER_n40_d0.5_P6,community,0,10,4.475
ER_n40_d0.5_P6,bfs,0,10,4.4
ER_n40_d0.5_P6,default,1,10,4.4
ER_n40_d0.5_P6,degeneracy,1,10,4.35
ER_n40_d0.5_P6,minfill,1,10,4.4
ER_n40_d0.5_P6,mcs,1,10,4.35
ER_n40_d0.5_P6,cuthill,1,10,4.575
ER_n40_d0.5_P6,spectral,1,10,4.875
ER_n40_d0.5_P6,community,1,10,4.7
ER_n40_d0.5_P6,bfs,1,10,4.8
ER_n40_d0.5_P6,default,2,10,4.575
ER_n40_d0.5_P6,degeneracy,2,10,4.5
ER_n40_d0.5_P6,minfill,2,10,4.75
ER_n40_d0.5_P6,mcs,2,10,4.375
ER_n40_d0.5_P6,cuthill,2,10,4.475
ER_n40_d0.5_P6,spectral,2,10,4.725
ER_n40_d0.5_P6,community,2,10,5.025
ER_n40_d0.5_P6,bfs,2,10,4.8
ER_n40_d0.5_P6,default,3,10,4.575
ER_n40_d0.5_P6,degeneracy,3,10,4.475
ER_n40_d0.5_P6,minfill,3,10,4.525
ER_n40_d0.5_P6,mcs,3,10,4.525
ER_n40_d0.5_P6,cuthill,3,10,4.625
ER_n40_d0.5_P6,spectral,3,10,4.7
ER_n40_d0.5_P6,community,3,10,4.9
ER_n40_d0.5_P6,bfs,3,10,4.45
ER_n40_d0.7_P6,default,0,10,5.25
ER_n40_d0.7_P6,degeneracy,0,10,5.175
ER_n40_d0.7_P6,minfill,0,10,4.825
ER_n40_d0.7_P6,mcs,0,10,4.975
ER_n40_d0.7_P6,cuthill,0,10,5.025
ER_n40_d0.7_P6,spectral,0,10,5.15
ER_n40_d0.7_P6,community,0,10,5.25
ER_n40_d0.7_P6,bfs,0,10,4.875
ER_n40_d0.7_P6,default,1,10,5.15
ER_n40_d0.7_P6,degeneracy,1,10,5.025
ER_n40_d0.7_P6,minfill,1,10,4.875
ER_n40_d0.7_P6,mcs,1,10,5.125
ER_n40_d0.7_P6,cuthill,1,10,5.05
ER_n40_d0.7_P6,spectral,1,10,5.475
ER_n40_d0.7_P6,community,1,10,5.15
ER_n40_d0.7_P6,bfs,1,10,4.9
ER_n40_d0.7_P6,default,2,10,5.1
ER_n40_d0.7_P6,degeneracy,2,10,5.4
ER_n40_d0.7_P6,minfill,2,10,5.775
ER_n40_d0.7_P6,mcs,2,10,5.225
ER_n40_d0.7_P6,cuthill,2,10,5.2
ER_n40_d0.7_P6,spectral,2,10,5.1
ER_n40_d0.7_P6,community,2,10,4.85
ER_n40_d0.7_P6,bfs,2,10,4.975
ER_n40_d0.7_P6,default,3,10,5.175
ER_n40_d0.7_P6,degeneracy,3,10,5.5
ER_n40_d0.7_P6,minfill,3,10,5.375
ER_n40_d0.7_P6,mcs,3,10,5.15
ER_n40_d0.7_P6,cuthill,3,10,5.15
ER_n40_d0.7_P6,spectral,3,10,4.875
ER_n40_d0.7_P6,community,3,10,5.225
ER_n40_d0.7_P6,bfs,3,10,4.8
ER_n50_d0.5_P6,default,0,10,6.14
ER_n50_d0.5_P6,degeneracy,0,10,6.1
ER_n50_d0.5_P6,minfill,0,10,6.12
ER_n50_d0.5_P6,mcs,0,10,5.88
ER_n50_d0.5_P6,cuthill,0,10,5.76
ER_n50_d0.5_P6,spectral,0,10,5.54
ER_n50_d0.5_P6,community,0,10,5.76
ER_n50_d0.5_P6,bfs,0,10,5.42
ER_n50_d0.5_P6,default,1,10,5.72
ER_n50_d0.5_P6,degeneracy,1,10,6.32
ER_n50_d0.5_P6,minfill,1,10,6.04
ER_n50_d0.5_P6,mcs,1,10,6.1
ER_n50_d0.5_P6,cuthill,1,10,5.7
ER_n50_d0.5_P6,spectral,1,10,5.76
ER_n50_d0.5_P6,community,1,10,6.32
ER_n50_d0.5_P6,bfs,1,10,5.6
ER_n50_d0.5_P6,default,2,10,6.18
ER_n50_d0.5_P6,degeneracy,2,10,6.28
ER_n50_d0.5_P6,minfill,2,10,5.76
ER_n50_d0.5_P6,mcs,2,10,6.26
ER_n50_d0.5_P6,cuthill,2,10,5.66
ER_n50_d0.5_P6,spectral,2,10,5.66
ER_n50_d0.5_P6,community,2,10,5.92
ER_n50_d0.5_P6,bfs,2,10,5.78
ER_n50_d0.5_P6,default,3,10,6.22
ER_n50_d0.5_P6,degeneracy,3,10,5.76
ER_n50_d0.5_P6,minfill,3,10,5.8
ER_n50_d0.5_P6,mcs,3,10,5.98
ER_n50_d0.5_P6,cuthill,3,10,5.8
ER_n50_d0.5_P6,spectral,3,10,6.38
ER_n50_d0.5_P6,community,3,10,5.96
ER_n50_d0.5_P6,bfs,3,10,5.6
ER_n60_d0.4_P6,default,0,10,6.666666666666667
ER_n60_d0.4_P6,degeneracy,0,10,7.216666666666667
ER_n60_d0.4_P6,minfill,0,10,6.5
ER_n60_d0.4_P6,mcs,0,10,6.783333333333333
ER_n60_d0.4_P6,cuthill,0,10,6.583333333333333
ER_n60_d0.4_P6,spectral,0,10,6.55
ER_n60_d0.4_P6,community,0,10,7.383333333333334
ER_n60_d0.4_P6,bfs,0,10,6.783333333333333
ER_n60_d0.4_P6,default,1,10,6.733333333333333
ER_n60_d0.4_P6,degeneracy,1,10,6.533333333333333
ER_n60_d0.4_P6,minfill,1,10,7.333333333333333
ER_n60_d0.4_P6,mcs,1,10,6.833333333333333
ER_n60_d0.4_P6,cuthill,1,10,6.966666666666667
ER_n60_d0.4_P6,spectral,1,10,6.783333333333333
ER_n60_d0.4_P6,community,1,10,7.316666666666666
ER_n60_d0.4_P6,bfs,1,10,7.016666666666667
ER_n60_d0.4_P6,default,2,10,7.1
ER_n60_d0.4_P6,degeneracy,2,10,6.533333333333333
ER_n60_d0.4_P6,minfill,2,10,6.7
ER_n60_d0.4_P6,mcs,2,10,6.633333333333334
ER_n60_d0.4_P6,cuthill,2,10,6.55
ER_n60_d0.4_P6,spectral,2,10,6.366666666666666
ER_n60_d0.4_P6,community,2,10,6.833333333333333
ER_n60_d0.4_P6,bfs,2,10,6.816666666666666
ER_n60_d0.4_P6,default,3,10,6.733333333333333
ER_n60_d0.4_P6,degeneracy,3,10,7.783333333333333
ER_n60_d0.4_P6,minfill,3,10,6.85
ER_n60_d0.4_P6,mcs,3,10,6.966666666666667
ER_n60_d0.4_P6,cuthill,3,10,6.883333333333334
ER_n60_d0.4_P6,spectral,3,10,6.45
ER_n60_d0.4_P6,community,3,10,7.283333333333333
ER_n60_d0.4_P6,bfs,3,10,6.3
ER_n30_d0.5_Z4,default,0,10,2.6666666666666665
ER_n30_d0.5_Z4,degeneracy,0,10,2.8
ER_n30_d0.5_Z4,minfill,0,10,2.7
ER_n30_d0.5_Z4,mcs,0,10,2.6
ER_n30_d0.5_Z4,cuthill,0,10,2.6333333333333333
ER_n30_d0.5_Z4,spectral,0,10,2.7333333333333334
ER_n30_d0.5_Z4,community,0,10,2.7666666666666666
ER_n30_d0.5_Z4,bfs,0,10,2.8
ER_n30_d0.5_Z4,default,1,10,2.8666666666666667
ER_n30_d0.5_Z4,degeneracy,1,10,2.7666666666666666
ER_n30_d0.5_Z4,minfill,1,10,2.8666666666666667
ER_n30_d0.5_Z4,mcs,1,10,2.7666666666666666
ER_n30_d0.5_Z4,cuthill,1,10,2.566666666666667
ER_n30_d0.5_Z4,spectral,1,10,2.7666666666666666
ER_n30_d0.5_Z4,community,1,10,2.6666666666666665
ER_n30_d0.5_Z4,bfs,1,10,2.7333333333333334
ER_n30_d0.5_Z4,default,2,10,2.7
ER_n30_d0.5_Z4,degeneracy,2,10,2.8
ER_n30_d0.5_Z4,minfill,2,10,2.7
ER_n30_d0.5_Z4,mcs,2,10,2.7333333333333334
ER_n30_d0.5_Z4,cuthill,2,10,2.6333333333333333
ER_n30_d0.5_Z4,spectral,2,10,2.7333333333333334
ER_n30_d0.5_Z4,community,2,10,2.8
ER_n30_d0.5_Z4,bfs,2,10,2.7
ER_n30_d0.5_Z4,default,3,10,2.7333333333333334
ER_n30_d0.5_Z4,degeneracy,3,10,2.6
ER_n30_d0.5_Z4,minfill,3,10,2.7
ER_n30_d0.5_Z4,mcs,3,10,3.033333333333333
ER_n30_d0.5_Z4,cuthill,3,10,2.6666666666666665
ER_n30_d0.5_Z4,spectral,3,10,2.7333333333333334
ER_n30_d0.5_Z4,community,3,10,2.7666666666666666
ER_n30_d0.5_Z4,bfs,3,10,2.8
ER_n30_d0.7_P6,default,0,1,3.6333333333333333
ER_n30_d0.7_P6,degeneracy,0,1,4.033333333333333
ER_n30_d0.7_P6,minfill,0,1,3.7
ER_n30_d0.7_P6,mcs,0,1,3.7666666666666666
ER_n30_d0.7_P6,cuthill,0,1,3.7
ER_n30_d0.7_P6,spectral,0,1,3.7
ER_n30_d0.7_P6,community,0,1,4.166666666666667
ER_n30_d0.7_P6,bfs,0,1,3.7333333333333334
ER_n30_d0.7_P6,default,1,1,4.233333333333333
ER_n30_d0.7_P6,degeneracy,1,1,3.8333333333333335
ER_n30_d0.7_P6,minfill,1,1,3.6666666666666665
ER_n30_d0.7_P6,mcs,1,1,4.066666666666666
ER_n30_d0.7_P6,cuthill,1,1,4.133333333333334
ER_n30_d0.7_P6,spectral,1,1,3.7666666666666666
ER_n30_d0.7_P6,community,1,1,3.533333333333333
