cell,target,algorithm,seed,success,valid,acl,maxchain,qubits,time,status
ER_n20_d0.3_P6,pegasus_6,minorminer,0,1,1,1.65,3,33,0.03473570899950573,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,1,1,1,1.9,3,38,0.04207012500046403,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,2,1,1,1.85,3,37,0.03264845800003968,SUCCESS
ER_n20_d0.3_P6,pegasus_6,multilevel,0,1,1,1.85,3,37,0.0652717910015781,SUCCESS
ER_n20_d0.3_P6,pegasus_6,multilevel,1,1,1,1.75,3,35,0.084081334000075,SUCCESS
ER_n20_d0.3_P6,pegasus_6,multilevel,2,1,1,1.75,3,35,0.09621470899946871,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,0,1,1,2.25,3,45,0.08700804100226378,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,1,1,1,2.5,4,50,0.046473417001834605,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,2,1,1,2.2,3,44,0.12660654100182,SUCCESS
ER_n20_d0.5_P6,pegasus_6,multilevel,0,1,1,2.1,3,42,0.1463936250002007,SUCCESS
ER_n20_d0.5_P6,pegasus_6,multilevel,1,1,1,2.25,3,45,0.2150901659988449,SUCCESS
ER_n20_d0.5_P6,pegasus_6,multilevel,2,1,1,2.3,3,46,0.14037479200123926,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,0,1,1,2.5,3,50,0.20663000000058673,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,1,1,1,2.65,3,53,0.08462662500096485,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,2,1,1,2.6,3,52,0.10970566699688789,SUCCESS
ER_n20_d0.7_P6,pegasus_6,multilevel,0,1,1,2.65,4,53,0.19430041600207915,SUCCESS
ER_n20_d0.7_P6,pegasus_6,multilevel,1,1,1,2.5,3,50,0.23549500000081025,SUCCESS
ER_n20_d0.7_P6,pegasus_6,multilevel,2,1,1,2.55,3,51,0.23676574999990407,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,0,1,1,2.7666666666666666,4,83,0.24183091699887882,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,1,1,1,2.8333333333333335,4,85,0.16463837499759393,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,2,1,1,2.533333333333333,3,76,0.1874386659983429,SUCCESS
ER_n30_d0.3_P6,pegasus_6,multilevel,0,1,1,2.566666666666667,4,77,0.42490737499974784,SUCCESS
ER_n30_d0.3_P6,pegasus_6,multilevel,1,1,1,2.7333333333333334,4,82,0.2900508339989756,SUCCESS
ER_n30_d0.3_P6,pegasus_6,multilevel,2,1,1,2.533333333333333,3,76,0.23282662500059814,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,0,1,1,3.5,5,105,0.3910099579989037,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,1,1,1,3.3333333333333335,4,100,0.4194185419983114,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,2,1,1,3.2333333333333334,5,97,0.885856832999707,SUCCESS
ER_n30_d0.5_P6,pegasus_6,multilevel,0,1,1,3.4,5,102,0.4884968749975087,SUCCESS
ER_n30_d0.5_P6,pegasus_6,multilevel,1,1,1,3.4,5,102,0.7876364580006339,SUCCESS
ER_n30_d0.5_P6,pegasus_6,multilevel,2,1,1,3.3333333333333335,5,100,0.4199415000002773,SUCCESS
