cell,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,qubits_mean,time_mean
ER_n20_d0.3_P6,minorminer,3,3,1.0,1.8,0.108,36,0.036
ER_n20_d0.3_P6,multilevel,3,3,1.0,1.783,0.047,35.7,0.082
ER_n20_d0.5_P6,minorminer,3,3,1.0,2.317,0.131,46.3,0.087
ER_n20_d0.5_P6,multilevel,3,3,1.0,2.217,0.085,44.3,0.167
ER_n20_d0.7_P6,minorminer,3,3,1.0,2.583,0.062,51.7,0.134
ER_n20_d0.7_P6,multilevel,3,3,1.0,2.567,0.062,51.3,0.222
ER_n30_d0.3_P6,minorminer,3,3,1.0,2.711,0.129,81.3,0.198
ER_n30_d0.3_P6,multilevel,3,3,1.0,2.611,0.087,78.3,0.316
ER_n30_d0.5_P6,minorminer,3,3,1.0,3.356,0.11,100.7,0.565
ER_n30_d0.5_P6,multilevel,3,3,1.0,3.378,0.031,101.3,0.565
ER_n30_d0.7_P6,minorminer,3,3,1.0,3.911,0.247,117.3,0.865
ER_n30_d0.7_P6,multilevel,3,3,1.0,3.767,0.027,113,0.831
ER_n30_d0.5_P6-broken,minorminer,3,3,1.0,3.478,0.087,104.3,0.355
ER_n30_d0.5_P6-broken,multilevel,3,3,1.0,3.367,0.119,101,0.529
ER_n30_d0.5_Z4,minorminer,3,3,1.0,2.744,0.087,82.3,0.276
ER_n30_d0.5_Z4,multilevel,3,3,1.0,2.678,0.068,80.3,0.489
