cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.09115116700195358
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.3913792919993284
ER_n20_d0.5_P6,pathfinder-bounded-region,0,1,1,2.25,45,0.13939758299966343
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.0460163330026262
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.6820986250022543
ER_n20_d0.5_P6,pathfinder-bounded-region,1,1,1,2.35,47,0.15285279099771287
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1263613750015793
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.4347717079981521
ER_n20_d0.5_P6,pathfinder-bounded-region,2,1,1,2.2,44,0.17510116699850187
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.37556620800023666
ER_n30_d0.5_P6,pathfinder,0,1,1,3.433333333333333,103,1.7890369999986433
ER_n30_d0.5_P6,pathfinder-bounded-region,0,1,1,3.433333333333333,103,0.7944445829998585
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.355160999999498
ER_n30_d0.5_P6,pathfinder,1,1,1,3.3333333333333335,100,1.0455017919994134
ER_n30_d0.5_P6,pathfinder-bounded-region,1,1,1,3.3333333333333335,100,0.5523269580007764
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8545591250003781
ER_n30_d0.5_P6,pathfinder,2,1,1,3.1333333333333333,94,2.252670624999155
ER_n30_d0.5_P6,pathfinder-bounded-region,2,1,1,3.1333333333333333,94,1.2583152500010328
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.2902769169995736
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.2799907920016267
ER_n30_d0.7_P6,pathfinder-bounded-region,0,1,1,3.6,108,1.8795227080008772
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5691096250011469
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,2.5676459169990267
ER_n30_d0.7_P6,pathfinder-bounded-region,1,1,1,4.2,126,1.315806791997602
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.46385216700218734
