cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.08845854200262693
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.386121584000648
ER_n20_d0.5_P6,pathfinder-combo,0,1,1,2.25,45,0.10575562499798252
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04524850000234437
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.7251008339990221
ER_n20_d0.5_P6,pathfinder-combo,1,1,1,2.35,47,0.07484070799910114
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12186908299918287
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.40177200000107405
ER_n20_d0.5_P6,pathfinder-combo,2,1,1,2.2,44,0.14372420799918473
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.3663196249981411
ER_n30_d0.5_P6,pathfinder,0,1,1,3.433333333333333,103,1.790545290998125
ER_n30_d0.5_P6,pathfinder-combo,0,1,1,3.4,102,0.4784543330024462
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.34046466700237943
ER_n30_d0.5_P6,pathfinder,1,1,1,3.3333333333333335,100,1.0207567089964869
ER_n30_d0.5_P6,pathfinder-combo,1,1,1,3.3333333333333335,100,0.4491381250008999
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8303647079992516
ER_n30_d0.5_P6,pathfinder,2,1,1,3.1333333333333333,94,2.295464875001926
ER_n30_d0.5_P6,pathfinder-combo,2,1,1,3.1333333333333333,94,0.9495503329999337
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.2855550829990534
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.2645137919971603
ER_n30_d0.7_P6,pathfinder-combo,0,1,1,3.6,108,1.3669478749980044
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5986691250000149
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,2.5603432499992778
ER_n30_d0.7_P6,pathfinder-combo,1,1,1,4.133333333333334,124,0.7274314999995113
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.4522732500008715
ER_n30_d0.7_P6,pathfinder,2,1,1,3.8666666666666667,116,1.469277542000782
ER_n30_d0.7_P6,pathfinder-combo,2,1,1,3.8,114,0.5627343750020373
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.4928670000008424
ER_n40_d0.5_P6,pathfinder,0,1,1,4.5,180,2.965113250000286
ER_n40_d0.5_P6,pathfinder-combo,0,1,1,4.45,178,0.833367791998171
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.1128280000011728
ER_n40_d0.5_P6,pathfinder,1,1,1,4.25,170,3.6311863339979027
ER_n40_d0.5_P6,pathfinder-combo,1,1,1,4.25,170,1.5673754170020402
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3173190410016105
ER_n40_d0.5_P6,pathfinder,2,1,1,4.5,180,3.755728624997573
ER_n40_d0.5_P6,pathfinder-combo,2,1,1,4.475,179,1.5968765420002455
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.44189462500071386
ER_n40_d0.7_P6,pathfinder,0,1,1,5.1,204,5.630131000001711
ER_n40_d0.7_P6,pathfinder-combo,0,1,1,4.9,196,1.0037632919993484
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.8721453329999349
ER_n40_d0.7_P6,pathfinder,1,1,1,5.1,204,4.389474000003247
ER_n40_d0.7_P6,pathfinder-combo,1,1,1,5.05,202,1.3453633339995577
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,1.9417033749996335
ER_n40_d0.7_P6,pathfinder,2,1,1,5.025,201,5.42956516599952
ER_n40_d0.7_P6,pathfinder-combo,2,1,1,4.95,198,2.482507374999841
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.4742545000008249
ER_n30_d0.5_P6brk,pathfinder,0,1,1,3.3666666666666667,101,1.7755653749991325
ER_n30_d0.5_P6brk,pathfinder-combo,0,1,1,3.3666666666666667,101,0.5856884159984475
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.19347820799885085
ER_n30_d0.5_P6brk,pathfinder,1,1,1,3.566666666666667,107,1.483824957998877
ER_n30_d0.5_P6brk,pathfinder-combo,1,1,1,3.533333333333333,106,0.27260308300174074
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.2835046250002051
ER_n30_d0.5_P6brk,pathfinder,2,1,1,3.3666666666666667,101,1.5804510000016307
ER_n30_d0.5_P6brk,pathfinder-combo,2,1,1,3.3666666666666667,101,0.36594870900080423
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4001988749987504
ER_n30_d0.5_Z4,pathfinder,0,1,1,2.6333333333333333,79,1.8063603330010665
ER_n30_d0.5_Z4,pathfinder-combo,0,1,1,2.6333333333333333,79,0.4931276660026924
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.21963420799875166
ER_n30_d0.5_Z4,pathfinder,1,1,1,2.8,84,2.32191654199778
ER_n30_d0.5_Z4,pathfinder-combo,1,1,1,2.8,84,0.33281225000246195
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17192912499740487
ER_n30_d0.5_Z4,pathfinder,2,1,1,2.6333333333333333,79,1.581696125002054
ER_n30_d0.5_Z4,pathfinder-combo,2,1,1,2.6333333333333333,79,0.27314962500167894
