cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.09249233400259982
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.40119429100013804
ER_n20_d0.5_P6,pathfinder-dirtyset,0,1,1,2.25,45,0.4089213750012277
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04607641699840315
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.7035480410013406
ER_n20_d0.5_P6,pathfinder-dirtyset,1,1,1,2.35,47,0.4249860419986362
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.13569720799932838
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.4443369589971553
ER_n20_d0.5_P6,pathfinder-dirtyset,2,1,1,2.2,44,0.4277994999974908
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.432838750002702
ER_n30_d0.5_P6,pathfinder,0,1,1,3.433333333333333,103,1.8616979170001287
ER_n30_d0.5_P6,pathfinder-dirtyset,0,1,1,3.433333333333333,103,1.4554097920008644
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.4595499169990944
ER_n30_d0.5_P6,pathfinder,1,1,1,3.3333333333333335,100,1.3245695410005283
ER_n30_d0.5_P6,pathfinder-dirtyset,1,1,1,3.3333333333333335,100,1.3947363330007647
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,1.0263329160006833
ER_n30_d0.5_P6,pathfinder,2,1,1,3.1333333333333333,94,2.360248083998158
ER_n30_d0.5_P6,pathfinder-dirtyset,2,1,1,3.1333333333333333,94,2.0346423750015674
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.375881957999809
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.5036775000007765
ER_n30_d0.7_P6,pathfinder-dirtyset,0,1,1,3.6,108,2.5189488329997403
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.7999929170000541
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,3.5911508750032226
ER_n30_d0.7_P6,pathfinder-dirtyset,1,1,1,4.2,126,1.9740417080029147
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.48671024999930523
ER_n30_d0.7_P6,pathfinder,2,1,1,3.8666666666666667,116,1.5012975410027138
ER_n30_d0.7_P6,pathfinder-dirtyset,2,1,1,3.8666666666666667,116,1.5243808340019314
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.5571223749975616
ER_n40_d0.5_P6,pathfinder,0,1,1,4.5,180,3.178289166000468
ER_n40_d0.5_P6,pathfinder-dirtyset,0,1,1,4.5,180,2.723350500000379
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.137548250000691
ER_n40_d0.5_P6,pathfinder,1,1,1,4.25,170,4.681870541997341
ER_n40_d0.5_P6,pathfinder-dirtyset,1,1,1,4.25,170,4.003717708001204
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3617656250025902
ER_n40_d0.5_P6,pathfinder,2,1,1,4.5,180,3.955722875001811
ER_n40_d0.5_P6,pathfinder-dirtyset,2,1,1,4.5,180,3.3188110839982983
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.6144561670007533
ER_n40_d0.7_P6,pathfinder,0,1,1,5.1,204,7.098773458001233
ER_n40_d0.7_P6,pathfinder-dirtyset,0,1,1,5.15,206,3.3265639999990526
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.9004375410004286
ER_n40_d0.7_P6,pathfinder,1,1,1,5.1,204,4.432411584002693
ER_n40_d0.7_P6,pathfinder-dirtyset,1,1,1,5.1,204,3.4472234999993816
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,2.084994374999951
ER_n40_d0.7_P6,pathfinder,2,1,1,5.025,201,6.260557458001131
ER_n40_d0.7_P6,pathfinder-dirtyset,2,1,1,5.025,201,5.255397250002716
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.5417838749999646
ER_n30_d0.5_P6brk,pathfinder,0,1,1,3.3666666666666667,101,1.903968000002351
ER_n30_d0.5_P6brk,pathfinder-dirtyset,0,1,1,3.3666666666666667,101,1.399075624998659
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.19421012499878998
ER_n30_d0.5_P6brk,pathfinder,1,1,1,3.566666666666667,107,1.4472536670000409
ER_n30_d0.5_P6brk,pathfinder-dirtyset,1,1,1,3.566666666666667,107,0.9265425839985255
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.2846176249986456
ER_n30_d0.5_P6brk,pathfinder,2,1,1,3.3666666666666667,101,1.52849766700092
ER_n30_d0.5_P6brk,pathfinder-dirtyset,2,1,1,3.3666666666666667,101,0.9696632910017797
