cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0914
ER_n20_d0.5_P6,pathfinder,3,2.2666666666666666,0.06236095644623233,0.5164
ER_n20_d0.5_P6,pathfinder-dirtyset,3,2.2666666666666666,0.06236095644623233,0.4206
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.6396
ER_n30_d0.5_P6,pathfinder,3,3.3,0.12472191289246466,1.8488
ER_n30_d0.5_P6,pathfinder-dirtyset,3,3.3,0.12472191289246466,1.6283
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.8875
ER_n30_d0.7_P6,pathfinder,3,3.888888888888889,0.24545246704860582,2.8654
ER_n30_d0.7_P6,pathfinder-dirtyset,3,3.888888888888889,0.24545246704860582,2.0058
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.0188
ER_n40_d0.5_P6,pathfinder,3,4.416666666666667,0.11785113019775792,3.9386
ER_n40_d0.5_P6,pathfinder-dirtyset,3,4.416666666666667,0.11785113019775792,3.3486
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.2
ER_n40_d0.7_P6,pathfinder,3,5.075,0.03535533905932704,5.9306
ER_n40_d0.7_P6,pathfinder-dirtyset,3,5.091666666666667,0.0513701166914081,4.0097
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3402
ER_n30_d0.5_P6brk,pathfinder,3,3.4333333333333336,0.09428090415820642,1.6266
ER_n30_d0.5_P6brk,pathfinder-dirtyset,3,3.4333333333333336,0.09428090415820642,1.0984
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.269
ER_n30_d0.5_Z4,pathfinder,3,2.6888888888888887,0.07856742013183854,1.892
ER_n30_d0.5_Z4,pathfinder-dirtyset,3,2.7,0.09428090415820642,1.1205
