cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0866
ER_n20_d0.5_P6,pathfinder,3,2.2666666666666666,0.06236095644623233,0.4961
ER_n20_d0.5_P6,pathfinder-exact-steiner,3,2.2666666666666666,0.06236095644623233,0.4886
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5288
ER_n30_d0.5_P6,pathfinder,3,3.3,0.12472191289246466,1.7003
ER_n30_d0.5_P6,pathfinder-exact-steiner,3,3.3,0.12472191289246466,1.6981
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.7729
ER_n30_d0.7_P6,pathfinder,3,3.888888888888889,0.24545246704860582,2.4037
ER_n30_d0.7_P6,pathfinder-exact-steiner,3,3.888888888888889,0.24545246704860582,2.3946
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,0.9919
ER_n40_d0.5_P6,pathfinder,3,4.416666666666667,0.11785113019775792,3.4708
ER_n40_d0.5_P6,pathfinder-exact-steiner,3,4.416666666666667,0.11785113019775792,3.4544
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.094
ER_n40_d0.7_P6,pathfinder,3,5.075,0.03535533905932704,5.0985
ER_n40_d0.7_P6,pathfinder-exact-steiner,3,5.075,0.03535533905932704,5.1073
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3229
ER_n30_d0.5_P6brk,pathfinder,3,3.4333333333333336,0.09428090415820642,1.6248
ER_n30_d0.5_P6brk,pathfinder-exact-steiner,3,3.4333333333333336,0.09428090415820642,1.5862
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2661
ER_n30_d0.5_Z4,pathfinder,3,2.6888888888888887,0.07856742013183854,1.8798
ER_n30_d0.5_Z4,pathfinder-exact-steiner,3,2.6888888888888887,0.07856742013183854,1.8725
