cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.09070041700033471
ER_n20_d0.5_P6,pathfinder-thorough,0,1,1,2.2,44,1.5931170000003476
ER_n20_d0.5_P6,pathfinder-parallel,0,1,1,2.2,44,2.6106949169989093
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.047704125001473585
ER_n20_d0.5_P6,pathfinder-thorough,1,1,1,2.25,45,1.9577292499998293
ER_n20_d0.5_P6,pathfinder-parallel,1,1,1,2.25,45,2.612008208001498
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12680129100044724
ER_n20_d0.5_P6,pathfinder-thorough,2,1,1,2.2,44,1.6407534169993596
ER_n20_d0.5_P6,pathfinder-parallel,2,1,1,2.2,44,2.5005709580000257
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.39381595799932256
ER_n30_d0.5_P6,pathfinder-thorough,0,1,1,3.2333333333333334,97,6.523408166998706
ER_n30_d0.5_P6,pathfinder-parallel,0,1,1,3.2333333333333334,97,4.0129482920019655
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.3581647079990944
ER_n30_d0.5_P6,pathfinder-thorough,1,1,1,3.3333333333333335,100,5.70111095899847
ER_n30_d0.5_P6,pathfinder-parallel,1,1,1,3.3333333333333335,100,4.198561124998378
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.9023740829979943
ER_n30_d0.5_P6,pathfinder-thorough,2,1,1,3.1333333333333333,94,6.557794166998065
ER_n30_d0.5_P6,pathfinder-parallel,2,1,1,3.1333333333333333,94,5.120539916999405
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.3053555410006084
ER_n30_d0.7_P6,pathfinder-thorough,0,1,1,3.6,108,9.567091749999236
ER_n30_d0.7_P6,pathfinder-parallel,0,1,1,3.6,108,6.42364095800076
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5902711670023564
ER_n30_d0.7_P6,pathfinder-thorough,1,1,1,3.6666666666666665,110,10.636637167001027
ER_n30_d0.7_P6,pathfinder-parallel,1,1,1,3.6666666666666665,110,6.572505500000261
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.48726895800064085
ER_n30_d0.7_P6,pathfinder-thorough,2,1,1,3.7666666666666666,113,10.147072666997701
ER_n30_d0.7_P6,pathfinder-parallel,2,1,1,3.7666666666666666,113,6.7776333749970945
