cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0871
ER_n20_d0.5_P6,pathfinder,3,2.2666666666666666,0.06236095644623233,0.5286
ER_n20_d0.5_P6,pathfinder-spur,3,2.2666666666666666,0.06236095644623233,0.5089
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5952
ER_n30_d0.5_P6,pathfinder,3,3.3,0.12472191289246466,1.9161
ER_n30_d0.5_P6,pathfinder-spur,3,3.2888888888888888,0.11331154474650633,1.9152
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.9871
ER_n30_d0.7_P6,pathfinder,3,3.888888888888889,0.24545246704860582,2.6537
ER_n30_d0.7_P6,pathfinder-spur,3,3.8444444444444446,0.2199887763691483,2.8183
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.2428
ER_n40_d0.5_P6,pathfinder,3,4.416666666666667,0.11785113019775792,4.6672
ER_n40_d0.5_P6,pathfinder-spur,3,4.391666666666667,0.1006920497799547,4.9956
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.346
ER_n40_d0.7_P6,pathfinder,3,5.075,0.03535533905932704,6.5853
ER_n40_d0.7_P6,pathfinder-spur,3,4.958333333333333,0.07168604389202181,6.1343
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3572
ER_n30_d0.5_P6brk,pathfinder,3,3.4333333333333336,0.09428090415820642,2.0316
ER_n30_d0.5_P6brk,pathfinder-spur,3,3.422222222222222,0.07856742013183854,1.8521
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.3024
ER_n30_d0.5_Z4,pathfinder,3,2.6888888888888887,0.07856742013183854,2.2202
ER_n30_d0.5_Z4,pathfinder-spur,3,2.6888888888888887,0.07856742013183854,2.3436
