cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.09570754200103693
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.4995407080023142
ER_n20_d0.5_P6,pathfinder-stacked-ml,0,1,1,2.1,42,0.5775023339992913
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.05331329199907486
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.9066643330006627
ER_n20_d0.5_P6,pathfinder-stacked-ml,1,1,1,2.25,45,0.6809887909985264
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1591695829993114
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.7138684579986148
ER_n20_d0.5_P6,pathfinder-stacked-ml,2,1,1,2.3,46,0.5407860000013898
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.5287859170020965
ER_n30_d0.5_P6,pathfinder,0,1,1,3.433333333333333,103,2.3355426249981974
ER_n30_d0.5_P6,pathfinder-stacked-ml,0,1,1,3.3666666666666667,101,2.4039921250005136
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.40899137500309735
ER_n30_d0.5_P6,pathfinder,1,1,1,3.3333333333333335,100,1.3616938330014818
ER_n30_d0.5_P6,pathfinder-stacked-ml,1,1,1,3.4,102,1.9967423340021924
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,1.1102004170024884
ER_n30_d0.5_P6,pathfinder,2,1,1,3.1333333333333333,94,3.0187635000002047
ER_n30_d0.5_P6,pathfinder-stacked-ml,2,1,1,3.3333333333333335,100,2.0785277089999
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,2.3026352079978096
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.780590624999604
ER_n30_d0.7_P6,pathfinder-stacked-ml,0,1,1,3.7333333333333334,112,2.160251707999123
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.8609260830016865
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,4.272997082996881
ER_n30_d0.7_P6,pathfinder-stacked-ml,1,1,1,3.7333333333333334,112,3.2916735830003745
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.5040560409979662
ER_n30_d0.7_P6,pathfinder,2,1,1,3.8666666666666667,116,1.8959219999997003
ER_n30_d0.7_P6,pathfinder-stacked-ml,2,1,1,3.8,114,2.527078415998403
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.836336583000957
ER_n40_d0.5_P6,pathfinder,0,1,1,4.5,180,4.240098166999815
ER_n40_d0.5_P6,pathfinder-stacked-ml,0,1,1,4.45,178,3.3166570419998607
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.3108131249973667
ER_n40_d0.5_P6,pathfinder,1,1,1,4.25,170,5.48411912499796
ER_n40_d0.5_P6,pathfinder-stacked-ml,1,1,1,4.5,180,2.52649391599698
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.6285710829979507
ER_n40_d0.5_P6,pathfinder,2,1,1,4.5,180,4.207950083000469
ER_n40_d0.5_P6,pathfinder-stacked-ml,2,1,1,4.525,181,2.378741791999346
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.4832469159991888
ER_n40_d0.7_P6,pathfinder,0,1,1,5.1,204,6.126972458001546
ER_n40_d0.7_P6,pathfinder-stacked-ml,0,1,1,4.825,193,4.048090374999447
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.9704882500009262
ER_n40_d0.7_P6,pathfinder,1,1,1,5.1,204,5.7728090829987195
ER_n40_d0.7_P6,pathfinder-stacked-ml,1,1,1,4.925,197,3.688242958000046
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,2.302526041999954
ER_n40_d0.7_P6,pathfinder,2,1,1,5.025,201,6.9100403749980615
ER_n40_d0.7_P6,pathfinder-stacked-ml,2,1,1,4.975,199,3.3748803330017836
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.5585348749991681
ER_n30_d0.5_P6brk,pathfinder,0,1,1,3.3666666666666667,101,1.9887190839981486
ER_n30_d0.5_P6brk,pathfinder-stacked-ml,0,1,1,3.3,99,1.267046125001798
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.20656612499806215
ER_n30_d0.5_P6brk,pathfinder,1,1,1,3.566666666666667,107,1.5537844999998924
ER_n30_d0.5_P6brk,pathfinder-stacked-ml,1,1,1,3.533333333333333,106,0.9607607079997251
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.3156367079973279
ER_n30_d0.5_P6brk,pathfinder,2,1,1,3.3666666666666667,101,1.734483291998913
ER_n30_d0.5_P6brk,pathfinder-stacked-ml,2,1,1,3.2666666666666666,98,1.5758669580027345
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.5118726660002721
ER_n30_d0.5_Z4,pathfinder,0,1,1,2.6333333333333333,79,1.9944353339997178
ER_n30_d0.5_Z4,pathfinder-stacked-ml,0,1,1,2.6666666666666665,80,1.322957292002684
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.23154566700031864
