cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.1027
ER_n20_d0.5_P6,pathfinder,3,2.2666666666666666,0.06236095644623233,0.7067
ER_n20_d0.5_P6,pathfinder-stacked-ml,3,2.216666666666667,0.08498365855987965,0.5998
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.6827
ER_n30_d0.5_P6,pathfinder,3,3.3,0.12472191289246466,2.2387
ER_n30_d0.5_P6,pathfinder-stacked-ml,3,3.3666666666666667,0.02721655269759077,2.1598
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,1.2225
ER_n30_d0.7_P6,pathfinder,3,3.888888888888889,0.24545246704860582,3.3165
ER_n30_d0.7_P6,pathfinder-stacked-ml,3,3.7555555555555555,0.031426968052735337,2.6597
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.2586
ER_n40_d0.5_P6,pathfinder,3,4.416666666666667,0.11785113019775792,4.6441
ER_n40_d0.5_P6,pathfinder-stacked-ml,3,4.491666666666667,0.031180478223116228,2.7406
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.2521
ER_n40_d0.7_P6,pathfinder,3,5.075,0.03535533905932704,6.2699
ER_n40_d0.7_P6,pathfinder-stacked-ml,3,4.908333333333333,0.06236095644623214,3.7037
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3602
ER_n30_d0.5_P6brk,pathfinder,3,3.4333333333333336,0.09428090415820642,1.759
ER_n30_d0.5_P6brk,pathfinder-stacked-ml,3,3.3666666666666667,0.1186342028003479,1.2679
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.3373
ER_n30_d0.5_Z4,pathfinder,3,2.6888888888888887,0.07856742013183854,2.2793
ER_n30_d0.5_Z4,pathfinder-stacked-ml,3,2.6777777777777776,0.06849348892187747,1.3366
