cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.11484408300020732
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.49897825000152807
ER_n20_d0.5_P6,pathfinder-stacked-srgw,0,1,1,2.25,45,1.6341917079989798
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.06300887500037788
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.7879842080001254
ER_n20_d0.5_P6,pathfinder-stacked-srgw,1,1,1,2.35,47,1.549650875000225
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.16191683299985016
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.550020124999719
ER_n20_d0.5_P6,pathfinder-stacked-srgw,2,1,1,2.35,47,1.3513337500007765
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.5425468749999709
ER_n30_d0.5_P6,pathfinder,0,1,1,3.433333333333333,103,2.5116368749986577
ER_n30_d0.5_P6,pathfinder-stacked-srgw,0,1,1,3.2333333333333334,97,2.6875704160011082
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.42909004199827905
ER_n30_d0.5_P6,pathfinder,1,1,1,3.3333333333333335,100,1.631947375000891
ER_n30_d0.5_P6,pathfinder-stacked-srgw,1,1,1,3.3666666666666667,101,4.540221959003247
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,1.0174926660001802
ER_n30_d0.5_P6,pathfinder,2,1,1,3.1333333333333333,94,2.4524876670002413
ER_n30_d0.5_P6,pathfinder-stacked-srgw,2,1,1,3.3,99,3.683091458002309
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,2.042038458999741
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.8866906670009485
ER_n30_d0.7_P6,pathfinder-stacked-srgw,0,1,1,3.966666666666667,119,3.032201999998506
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.9080035000006319
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,3.9978257910006505
ER_n30_d0.7_P6,pathfinder-stacked-srgw,1,1,1,3.7333333333333334,112,5.227818457999092
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.5657059590012068
ER_n30_d0.7_P6,pathfinder,2,1,1,3.8666666666666667,116,1.7931263329992362
ER_n30_d0.7_P6,pathfinder-stacked-srgw,2,1,1,3.9,117,3.472912291999819
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.6493373329976748
ER_n40_d0.5_P6,pathfinder,0,1,1,4.5,180,3.641349249999621
ER_n40_d0.5_P6,pathfinder-stacked-srgw,0,1,1,4.525,181,4.994140583003173
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.231381458001124
ER_n40_d0.5_P6,pathfinder,1,1,1,4.25,170,3.9311282919989026
