cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.10469637499772944
ER_n20_d0.5_P6,pathfinder,0,1,1,2.25,45,0.4875550419965293
ER_n20_d0.5_P6,pathfinder-stacked,0,1,1,2.1,42,0.5519209170015529
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04618929199932609
ER_n20_d0.5_P6,pathfinder,1,1,1,2.35,47,0.8297393749999173
ER_n20_d0.5_P6,pathfinder-stacked,1,1,1,2.25,45,0.5717603750017588
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1514377079984115
ER_n20_d0.5_P6,pathfinder,2,1,1,2.2,44,0.5145421249981155
ER_n20_d0.5_P6,pathfinder-stacked,2,1,1,2.3,46,0.5391441249994386
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.3842517920020327
ER_n30_d0.7_P6,pathfinder,0,1,1,3.6,108,3.970389124999201
ER_n30_d0.7_P6,pathfinder-stacked,0,1,1,3.7333333333333334,112,1.833905749997939
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5793688330013538
ER_n30_d0.7_P6,pathfinder,1,1,1,4.2,126,2.629809750000277
ER_n30_d0.7_P6,pathfinder-stacked,1,1,1,3.7333333333333334,112,3.107245209001121
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.4661271660006605
ER_n30_d0.7_P6,pathfinder,2,1,1,3.8666666666666667,116,1.4551331660004507
ER_n30_d0.7_P6,pathfinder-stacked,2,1,1,3.8,114,1.6501866250000603
