cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.09196045899807359
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.3908095829974627
ER_n20_d0.5_P6,reweave-astar,0,1,1,2.25,45,0.10664900000119815
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.046514707999449456
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.6829143750001094
ER_n20_d0.5_P6,reweave-astar,1,1,1,2.5,50,0.06690983299995423
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12577337499897112
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.42899366699930397
ER_n20_d0.5_P6,reweave-astar,2,1,1,2.2,44,0.1547710829981952
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.38299279200145975
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,2.284794375002093
ER_n30_d0.5_P6,reweave-astar,0,1,1,3.5,105,0.4917878339983872
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.41201783399810665
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.1856612500014307
ER_n30_d0.5_P6,reweave-astar,1,1,1,3.3333333333333335,100,0.4155445000033069
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.875474041000416
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.357289249997848
ER_n30_d0.5_P6,reweave-astar,2,1,1,3.2333333333333334,97,0.9720426669991866
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.3369638330004818
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.9070122910015925
ER_n30_d0.7_P6,reweave-astar,0,1,1,3.6,108,1.821695999999065
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.6518494170013582
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,2.5908028749981895
ER_n30_d0.7_P6,reweave-astar,1,1,1,4.233333333333333,127,0.72782820899738
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.5291758749990549
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.594735540998954
ER_n30_d0.7_P6,reweave-astar,2,1,1,3.8666666666666667,116,0.5821393750011339
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.5591800830006832
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,3.1359028330007277
ER_n40_d0.5_P6,reweave-astar,0,1,1,4.575,183,0.6803264580012183
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.2802307089987153
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,4.959204832997784
ER_n40_d0.5_P6,reweave-astar,1,1,1,4.4,176,1.4051300829996762
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.373874083001283
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,4.054230542002188
ER_n40_d0.5_P6,reweave-astar,2,1,1,4.575,183,1.5552275419977377
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.5342537090000405
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,6.601041416997759
ER_n40_d0.7_P6,reweave-astar,0,1,1,5.25,210,0.8063484169979347
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,1.0720795840024948
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,4.6076801660019555
ER_n40_d0.7_P6,reweave-astar,1,1,1,5.15,206,1.1047283339976275
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,2.003839249999146
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,6.170117541001673
ER_n40_d0.7_P6,reweave-astar,2,1,1,5.1,204,2.8789280829987547
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.6241607080009999
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.8515333329996793
ER_n30_d0.5_P6brk,reweave-astar,0,1,1,3.433333333333333,103,0.583605334002641
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.21191704099692288
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,1.5289924159988004
ER_n30_d0.5_P6brk,reweave-astar,1,1,1,3.6,108,0.25631945799977984
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.28937424999821815
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.5515616669981682
ER_n30_d0.5_P6brk,reweave-astar,2,1,1,3.4,102,0.35493674999815994
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4147701670008246
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,1.8233128749998286
ER_n30_d0.5_Z4,reweave-astar,0,1,1,2.6666666666666665,80,0.48654820899901097
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.2274482499997248
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.3574228750003385
ER_n30_d0.5_Z4,reweave-astar,1,1,1,2.8666666666666667,86,0.3401338330004364
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17963154099925305
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.6088939170003869
ER_n30_d0.5_Z4,reweave-astar,2,1,1,2.7,81,0.23713862500153482
