cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0881
ER_n20_d0.5_P6,reweave,3,2.2666666666666666,0.06236095644623233,0.5009
ER_n20_d0.5_P6,reweave-astar,3,2.316666666666667,0.13123346456686347,0.1094
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5568
ER_n30_d0.5_P6,reweave,3,3.3,0.12472191289246466,1.9426
ER_n30_d0.5_P6,reweave-astar,3,3.3555555555555556,0.10999438818457404,0.6265
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.8393
ER_n30_d0.7_P6,reweave,3,3.888888888888889,0.24545246704860582,2.6975
ER_n30_d0.7_P6,reweave-astar,3,3.9,0.25962936545662046,1.0439
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.0711
ER_n40_d0.5_P6,reweave,3,4.416666666666667,0.11785113019775792,4.0498
ER_n40_d0.5_P6,reweave-astar,3,4.516666666666667,0.08249579113843046,1.2136
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.2034
ER_n40_d0.7_P6,reweave,3,5.075,0.03535533905932704,5.7929
ER_n40_d0.7_P6,reweave-astar,3,5.166666666666667,0.062360956446232456,1.5967
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3752
ER_n30_d0.5_P6brk,reweave,3,3.4333333333333336,0.09428090415820642,1.644
ER_n30_d0.5_P6brk,reweave-astar,3,3.477777777777778,0.08748897637790912,0.3983
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2739
ER_n30_d0.5_Z4,reweave,3,2.6888888888888887,0.07856742013183854,1.9299
ER_n30_d0.5_Z4,reweave-astar,3,2.7444444444444445,0.08748897637790903,0.3546
