cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0878
ER_n20_d0.5_P6,reweave,3,2.2666666666666666,0.06236095644623233,0.5027
ER_n20_d0.5_P6,reweave-bounded-region,3,2.2666666666666666,0.06236095644623233,0.1558
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5284
ER_n30_d0.5_P6,reweave,3,3.3,0.12472191289246466,1.6957
ER_n30_d0.5_P6,reweave-bounded-region,3,3.3,0.12472191289246466,0.8684
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.7744
ER_n30_d0.7_P6,reweave,3,3.888888888888889,0.24545246704860582,2.4361
ER_n30_d0.7_P6,reweave-bounded-region,3,3.888888888888889,0.24545246704860582,1.3212
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,0.9974
ER_n40_d0.5_P6,reweave,3,4.416666666666667,0.11785113019775792,3.4436
ER_n40_d0.5_P6,reweave-bounded-region,3,4.416666666666667,0.11785113019775792,2.099
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.0884
ER_n40_d0.7_P6,reweave,3,5.075,0.03535533905932704,5.1188
ER_n40_d0.7_P6,reweave-bounded-region,3,5.075,0.03535533905932704,3.2335
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3287
ER_n30_d0.5_P6brk,reweave,3,3.4333333333333336,0.09428090415820642,1.5918
ER_n30_d0.5_P6brk,reweave-bounded-region,3,3.4333333333333336,0.09428090415820642,0.7199
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2751
ER_n30_d0.5_Z4,reweave,3,2.6888888888888887,0.07856742013183854,1.887
ER_n30_d0.5_Z4,reweave-bounded-region,3,2.6888888888888887,0.07856742013183854,0.7872
