cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.0886028749991965
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.3834497080024448
ER_n20_d0.5_P6,reweave-bounded,0,1,1,2.25,45,0.10590924999996787
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04529162499966333
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.6663641660015855
ER_n20_d0.5_P6,reweave-bounded,1,1,1,2.35,47,0.09550899999885587
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1225860839986126
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.41727320900099585
ER_n20_d0.5_P6,reweave-bounded,2,1,1,2.2,44,0.14532162500108825
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.3713076669992006
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,1.7371213330006867
ER_n30_d0.5_P6,reweave-bounded,0,1,1,3.433333333333333,103,0.5278461660018365
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.3470407089989749
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.0313476660012384
ER_n30_d0.5_P6,reweave-bounded,1,1,1,3.3333333333333335,100,0.4284053750016028
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8509712919985759
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.250188874997548
ER_n30_d0.5_P6,reweave-bounded,2,1,1,3.1333333333333333,94,0.9866954589997476
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.256069999999454
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.216184124998108
ER_n30_d0.7_P6,reweave-bounded,0,1,1,3.6,108,1.4701132080008392
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5612406670006749
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,2.525935124998796
ER_n30_d0.7_P6,reweave-bounded,1,1,1,4.2,126,0.850732416001847
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.4611000000004424
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.458339333999902
ER_n30_d0.7_P6,reweave-bounded,2,1,1,3.8666666666666667,116,0.5716843329973926
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.49502325000139535
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,2.9501096249987313
ER_n40_d0.5_P6,reweave-bounded,0,1,1,4.5,180,0.8693192499995348
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.1246623750012077
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,3.6130110420017445
ER_n40_d0.5_P6,reweave-bounded,1,1,1,4.25,170,1.491522582997277
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3436447079984646
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,3.7299484170034702
ER_n40_d0.5_P6,reweave-bounded,2,1,1,4.5,180,1.6589434999987134
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.44624499999918044
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,5.524821209000947
ER_n40_d0.7_P6,reweave-bounded,0,1,1,5.1,204,1.3982497079996392
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.8860859170017648
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,4.278606625000975
ER_n40_d0.7_P6,reweave-bounded,1,1,1,5.1,204,1.5452942080009962
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,1.9058800419988984
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,5.320555958998739
ER_n40_d0.7_P6,reweave-bounded,2,1,1,5.025,201,2.53174774999934
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.48140437500114786
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.7452074159991753
ER_n30_d0.5_P6brk,reweave-bounded,0,1,1,3.3666666666666667,101,0.6292669579997892
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.1947438749994035
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,1.4415875420017983
ER_n30_d0.5_P6brk,reweave-bounded,1,1,1,3.566666666666667,107,0.3237369589987793
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.2935979590001807
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.5404080420012178
ER_n30_d0.5_P6brk,reweave-bounded,2,1,1,3.3666666666666667,101,0.43525783400036744
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4072178749993327
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,1.767723584001942
ER_n30_d0.5_Z4,reweave-bounded,0,1,1,2.6333333333333333,79,0.5723034580005333
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.228613833001873
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.2681193749995145
ER_n30_d0.5_Z4,reweave-bounded,1,1,1,2.8,84,0.47883570900012273
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17343729099957272
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.537033832999441
ER_n30_d0.5_Z4,reweave-bounded,2,1,1,2.6333333333333333,79,0.32944983299967134
