cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.08697562500310596
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.3820169579994399
ER_n20_d0.5_P6,reweave-combo-ml,0,1,1,2.1,42,0.16407075000097393
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04552300000068499
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.7152852920007717
ER_n20_d0.5_P6,reweave-combo-ml,1,1,1,2.25,45,0.23038962499776972
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1281528330000583
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.4125508750003064
ER_n20_d0.5_P6,reweave-combo-ml,2,1,1,2.3,46,0.15604354200331727
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.3743820829986362
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,1.8929802499988
ER_n30_d0.5_P6,reweave-combo-ml,0,1,1,3.3666666666666667,101,0.6165029590010818
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.3476553749969753
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.1903369579995342
ER_n30_d0.5_P6,reweave-combo-ml,1,1,1,3.4,102,0.74585483300325
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8740307500011113
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.2656310420024965
ER_n30_d0.5_P6,reweave-combo-ml,2,1,1,3.3333333333333335,100,0.47275920800166205
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.3022682499977236
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.3077473330013163
ER_n30_d0.7_P6,reweave-combo-ml,0,1,1,3.7333333333333334,112,0.9167815420005354
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.561278166998818
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,2.5700946249999106
ER_n30_d0.7_P6,reweave-combo-ml,1,1,1,3.7333333333333334,112,1.0978547079976124
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.4807095840005786
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.5795809160008503
ER_n30_d0.7_P6,reweave-combo-ml,2,1,1,3.8,114,0.636237541999435
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.5022331670006679
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,3.0024183329987864
ER_n40_d0.5_P6,reweave-combo-ml,0,1,1,4.45,178,1.5614612919998763
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.0969941249968542
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,3.631737667001289
ER_n40_d0.5_P6,reweave-combo-ml,1,1,1,4.5,180,1.1913069170004746
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3790606250004203
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,3.8731163749980624
ER_n40_d0.5_P6,reweave-combo-ml,2,1,1,4.525,181,1.0744233750010608
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.46962666699982947
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,5.8655767909986025
ER_n40_d0.7_P6,reweave-combo-ml,0,1,1,4.825,193,2.300108834002458
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.9205507089973253
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,4.4030625830018835
ER_n40_d0.7_P6,reweave-combo-ml,1,1,1,4.925,197,1.7995801249999204
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,1.9220647909969557
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,5.3789692499995
ER_n40_d0.7_P6,reweave-combo-ml,2,1,1,4.975,199,1.6038533329992788
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.47507237500030897
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.7458670410014747
ER_n30_d0.5_P6brk,reweave-combo-ml,0,1,1,3.3,99,0.6394778750000114
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.19411174999913783
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,1.4594494999982999
ER_n30_d0.5_P6brk,reweave-combo-ml,1,1,1,3.533333333333333,106,0.30618637500083423
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.3220480839991069
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.5528664999983448
ER_n30_d0.5_P6brk,reweave-combo-ml,2,1,1,3.2666666666666666,98,0.784255167000083
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.40007641600095667
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,1.7743638749998354
ER_n30_d0.5_Z4,reweave-combo-ml,0,1,1,2.6666666666666665,80,0.6335210420002113
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.2185324589991069
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.336766333999549
ER_n30_d0.5_Z4,reweave-combo-ml,1,1,1,2.6,78,0.4468534579973493
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17479466700024204
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.5973555839991604
ER_n30_d0.5_Z4,reweave-combo-ml,2,1,1,2.7666666666666666,83,0.5835954579997633
