cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.0893273749970831
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.4017661660000158
ER_n20_d0.5_P6,reweave-exact-steiner,0,1,1,2.25,45,0.38652833300147904
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04560483300156193
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.6735814999992726
ER_n20_d0.5_P6,reweave-exact-steiner,1,1,1,2.35,47,0.6661264590002247
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12477700000090408
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.41303262499786797
ER_n20_d0.5_P6,reweave-exact-steiner,2,1,1,2.2,44,0.4132425839998177
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.3741012079990469
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,1.7768505409985664
ER_n30_d0.5_P6,reweave-exact-steiner,0,1,1,3.433333333333333,103,1.7874552499997662
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.3589163329997973
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.0571134589990834
ER_n30_d0.5_P6,reweave-exact-steiner,1,1,1,3.3333333333333335,100,1.057665457999974
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8534230840014061
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.266974082998786
ER_n30_d0.5_P6,reweave-exact-steiner,2,1,1,3.1333333333333333,94,2.249094041999342
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.29271987500033
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.245961083997827
ER_n30_d0.7_P6,reweave-exact-steiner,0,1,1,3.6,108,3.209530916999938
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5665383340019616
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,2.5398125409992645
ER_n30_d0.7_P6,reweave-exact-steiner,1,1,1,4.2,126,2.5277447079970443
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.45949445799851674
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.4251947499978996
ER_n30_d0.7_P6,reweave-exact-steiner,2,1,1,3.8666666666666667,116,1.4464447499995003
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.4960792500023672
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,2.9419220840027265
ER_n40_d0.5_P6,reweave-exact-steiner,0,1,1,4.5,180,2.9395206660010444
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.1227706669997133
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,3.5976948749994335
ER_n40_d0.5_P6,reweave-exact-steiner,1,1,1,4.25,170,3.581975916000374
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3568752499995753
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,3.8728265829995507
ER_n40_d0.5_P6,reweave-exact-steiner,2,1,1,4.5,180,3.8416662079980597
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.4714208339973993
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,5.627357708999625
ER_n40_d0.7_P6,reweave-exact-steiner,0,1,1,5.1,204,5.668670125000062
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.8993295000000217
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,4.358639582998876
ER_n40_d0.7_P6,reweave-exact-steiner,1,1,1,5.1,204,4.336216666000837
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,1.91133708399866
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,5.309383499999967
ER_n40_d0.7_P6,reweave-exact-steiner,2,1,1,5.025,201,5.3170573330025945
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.4782344999985071
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.859465707999334
ER_n30_d0.5_P6brk,reweave-exact-steiner,0,1,1,3.3666666666666667,101,1.7461931249999907
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.19548712499818066
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,1.4658443330008595
ER_n30_d0.5_P6brk,reweave-exact-steiner,1,1,1,3.566666666666667,107,1.4619967910002742
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.294947874997888
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.5491632090015628
ER_n30_d0.5_P6brk,reweave-exact-steiner,2,1,1,3.3666666666666667,101,1.5505007499996282
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4056444579982781
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,1.8104624999978114
ER_n30_d0.5_Z4,reweave-exact-steiner,0,1,1,2.6333333333333333,79,1.813829667000391
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.21885854200081667
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.277089959003206
ER_n30_d0.5_Z4,reweave-exact-steiner,1,1,1,2.8,84,2.2747697090017027
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17386329199871398
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.5519790409998677
ER_n30_d0.5_Z4,reweave-exact-steiner,2,1,1,2.6333333333333333,79,1.5288934170021093
