cell,algorithm,n_success,acl_mean,acl_std,time_mean
ER_n20_d0.5_P6,minorminer,3,2.316666666666667,0.13123346456686347,0.0884
ER_n20_d0.5_P6,reweave-thorough,3,2.216666666666667,0.0235702260395515,1.7305
ER_n20_d0.5_P6,reweave-parallel,3,2.216666666666667,0.0235702260395515,2.5744
ER_n30_d0.5_P6,minorminer,3,3.3555555555555556,0.10999438818457404,0.5515
ER_n30_d0.5_P6,reweave-thorough,3,3.2333333333333334,0.08164965809277268,6.2608
ER_n30_d0.5_P6,reweave-parallel,3,3.2333333333333334,0.08164965809277268,4.444
ER_n30_d0.7_P6,minorminer,3,3.911111111111111,0.24695678634325413,0.7943
ER_n30_d0.7_P6,reweave-thorough,3,3.6777777777777776,0.06849348892187747,10.1169
ER_n30_d0.7_P6,reweave-parallel,3,3.6777777777777776,0.06849348892187747,6.5913
ER_n40_d0.5_P6,minorminer,3,4.516666666666667,0.08249579113843046,1.0188
ER_n40_d0.5_P6,reweave-thorough,3,4.35,0.10801234497346436,13.5603
ER_n40_d0.5_P6,reweave-parallel,3,4.35,0.10801234497346436,6.114
ER_n40_d0.7_P6,minorminer,3,5.166666666666667,0.062360956446232456,1.0937
ER_n40_d0.7_P6,reweave-thorough,3,4.991666666666667,0.047140452079103425,18.1806
ER_n40_d0.7_P6,reweave-parallel,3,4.991666666666667,0.047140452079103425,7.0096
ER_n30_d0.5_P6brk,minorminer,3,3.477777777777778,0.08748897637790912,0.3307
ER_n30_d0.5_P6brk,reweave-thorough,3,3.3777777777777778,0.015713484026367668,5.7534
ER_n30_d0.5_P6brk,reweave-parallel,3,3.3777777777777778,0.015713484026367668,3.549
ER_n30_d0.5_Z4,minorminer,3,2.7444444444444445,0.08748897637790903,0.2745
ER_n30_d0.5_Z4,reweave-thorough,3,2.6666666666666665,0.0720082299823095,5.9404
ER_n30_d0.5_Z4,reweave-parallel,3,2.6666666666666665,0.0720082299823095,3.8248
