cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.0889649169985205
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.3881089169990446
ER_n20_d0.5_P6,reweave-spur,0,1,1,2.25,45,0.3874933749975753
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04556424999827868
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.7722333339988836
ER_n20_d0.5_P6,reweave-spur,1,1,1,2.35,47,0.7040680829995836
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12668508299975656
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.4254419999997481
ER_n20_d0.5_P6,reweave-spur,2,1,1,2.2,44,0.4352657499985071
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.44366920800166554
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,2.0791237500015995
ER_n30_d0.5_P6,reweave-spur,0,1,1,3.4,102,1.9383508749997418
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.44176020799932303
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.094284416998562
ER_n30_d0.5_P6,reweave-spur,1,1,1,3.3333333333333335,100,1.1890374169997813
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.9000652499998978
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.5749117500017746
ER_n30_d0.5_P6,reweave-spur,2,1,1,3.1333333333333333,94,2.6182827500015264
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.8524922499964305
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.679160542000318
ER_n30_d0.7_P6,reweave-spur,0,1,1,3.6,108,3.6244685419987945
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5807289170006698
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,2.6442150420007238
ER_n30_d0.7_P6,reweave-spur,1,1,1,4.133333333333334,124,2.863681374998123
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.5280436659995758
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.6376882090007712
ER_n30_d0.7_P6,reweave-spur,2,1,1,3.8,114,1.9666177090002748
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.7452754590012773
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,3.9863531660012086
ER_n40_d0.5_P6,reweave-spur,0,1,1,4.45,178,3.863388166999357
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.6160692910016223
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,4.766728250000597
ER_n40_d0.5_P6,reweave-spur,1,1,1,4.25,170,6.049897500000952
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3669353749974107
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,5.248456375000387
ER_n40_d0.5_P6,reweave-spur,2,1,1,4.475,179,5.0735477920025005
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.4783714160003001
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,8.008452542002487
ER_n40_d0.7_P6,reweave-spur,0,1,1,4.875,195,7.501833457998146
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,1.4439254159988195
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,5.76179695799874
ER_n40_d0.7_P6,reweave-spur,1,1,1,5.05,202,5.067127916998288
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,2.1155871670016495
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,5.985631082996406
ER_n40_d0.7_P6,reweave-spur,2,1,1,4.95,198,5.8339289169998665
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.5341695829993114
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.950098249999428
ER_n30_d0.5_P6brk,reweave-spur,0,1,1,3.3666666666666667,101,2.116322834001039
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.23467683300259523
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,2.258748165997531
ER_n30_d0.5_P6brk,reweave-spur,1,1,1,3.533333333333333,106,1.5587059579993365
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.3027031249985157
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.886030458001187
ER_n30_d0.5_P6brk,reweave-spur,2,1,1,3.3666666666666667,101,1.8812220830004662
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4543702499977371
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,2.0742271249982878
ER_n30_d0.5_Z4,reweave-spur,0,1,1,2.6333333333333333,79,2.588988541996514
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.25387708400012343
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.7978700829989975
ER_n30_d0.5_Z4,reweave-spur,1,1,1,2.8,84,2.7434235839973553
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.1989062089996878
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.7885215409987723
ER_n30_d0.5_Z4,reweave-spur,2,1,1,2.6333333333333333,79,1.6983749579994765
