cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.10505983400071273
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.4814789589981956
ER_n20_d0.5_P6,reweave-stacked-best2,0,1,1,2.1,42,1.240819291997468
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.0741868329969293
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.8742309160006698
ER_n20_d0.5_P6,reweave-stacked-best2,1,1,1,2.25,45,1.5888392090018897
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.1561539169997559
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.4745299159985734
ER_n20_d0.5_P6,reweave-stacked-best2,2,1,1,2.2,44,1.1635855840031581
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.5331326249979611
ER_n30_d0.5_P6,reweave,0,1,1,3.433333333333333,103,2.2736852080015524
ER_n30_d0.5_P6,reweave-stacked-best2,0,1,1,3.3666666666666667,101,5.009424166997633
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.42868525000085356
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,1.3989523749987711
ER_n30_d0.5_P6,reweave-stacked-best2,1,1,1,3.3333333333333335,100,4.381294833001448
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,1.2238987500022631
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,2.366870875001041
ER_n30_d0.5_P6,reweave-stacked-best2,2,1,1,3.1333333333333333,94,5.021720959000959
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,2.2317545830010204
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,3.655098041999736
ER_n30_d0.7_P6,reweave-stacked-best2,0,1,1,3.6,108,7.217987374999211
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.9031357500025479
ER_n30_d0.7_P6,reweave,1,1,1,4.2,126,3.593036624999513
ER_n30_d0.7_P6,reweave-stacked-best2,1,1,1,3.7333333333333334,112,7.654592749997391
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.721873415997834
ER_n30_d0.7_P6,reweave,2,1,1,3.8666666666666667,116,1.6060224159991776
ER_n30_d0.7_P6,reweave-stacked-best2,2,1,1,3.8,114,3.537335916000302
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.550983917000849
ER_n40_d0.5_P6,reweave,0,1,1,4.5,180,3.169983832998696
ER_n40_d0.5_P6,reweave-stacked-best2,0,1,1,4.45,178,6.087083917002019
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.2434229999998934
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,3.8417223329997796
ER_n40_d0.5_P6,reweave-stacked-best2,1,1,1,4.25,170,7.121800000000803
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.6432220419992518
ER_n40_d0.5_P6,reweave,2,1,1,4.5,180,4.401205375001155
ER_n40_d0.5_P6,reweave-stacked-best2,2,1,1,4.5,180,7.456443874998513
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.5211098330000823
ER_n40_d0.7_P6,reweave,0,1,1,5.1,204,6.354191499998706
ER_n40_d0.7_P6,reweave-stacked-best2,0,1,1,4.825,193,10.536938207998901
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.9273606249989825
ER_n40_d0.7_P6,reweave,1,1,1,5.1,204,5.5545086250021996
ER_n40_d0.7_P6,reweave-stacked-best2,1,1,1,4.925,197,8.459332166999957
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,2.46866216700073
ER_n40_d0.7_P6,reweave,2,1,1,5.025,201,6.173159124999074
ER_n40_d0.7_P6,reweave-stacked-best2,2,1,1,4.975,199,8.835244917001546
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.49089054099749774
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,1.822551957997348
ER_n30_d0.5_P6brk,reweave-stacked-best2,0,1,1,3.3,99,3.1474652090000745
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.2088276249996852
ER_n30_d0.5_P6brk,reweave,1,1,1,3.566666666666667,107,1.562547249999625
ER_n30_d0.5_P6brk,reweave-stacked-best2,1,1,1,3.533333333333333,106,2.5188626249982917
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.2944147909984167
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,1.5891830000000482
ER_n30_d0.5_P6brk,reweave-stacked-best2,2,1,1,3.2666666666666666,98,3.093195499997819
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.4365455419974751
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,1.856723332999536
ER_n30_d0.5_Z4,reweave-stacked-best2,0,1,1,2.6333333333333333,79,3.118929542000842
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.22052137499849778
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,2.3495831670006737
ER_n30_d0.5_Z4,reweave-stacked-best2,1,1,1,2.6,78,3.4365769590003765
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.18417066599795362
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,1.612992333000875
ER_n30_d0.5_Z4,reweave-stacked-best2,2,1,1,2.6333333333333333,79,2.8198452500000712
