cell,algorithm,seed,success,valid,acl,qubits,time
ER_n20_d0.5_P6,minorminer,0,1,1,2.25,45,0.10578583399910713
ER_n20_d0.5_P6,reweave-base,0,1,1,2.25,45,0.3833294579999347
ER_n20_d0.5_P6,reweave,0,1,1,2.25,45,0.10460708299797261
ER_n20_d0.5_P6,minorminer,1,1,1,2.5,50,0.04487466700084042
ER_n20_d0.5_P6,reweave-base,1,1,1,2.35,47,0.6657353330010665
ER_n20_d0.5_P6,reweave,1,1,1,2.35,47,0.0748712919994432
ER_n20_d0.5_P6,minorminer,2,1,1,2.2,44,0.12106887500340235
ER_n20_d0.5_P6,reweave-base,2,1,1,2.2,44,0.40557641699706437
ER_n20_d0.5_P6,reweave,2,1,1,2.2,44,0.1445360409998102
ER_n30_d0.5_P6,minorminer,0,1,1,3.5,105,0.3658282500000496
ER_n30_d0.5_P6,reweave-base,0,1,1,3.433333333333333,103,1.7946914579988515
ER_n30_d0.5_P6,reweave,0,1,1,3.4,102,0.4886387080005079
ER_n30_d0.5_P6,minorminer,1,1,1,3.3333333333333335,100,0.3490288329994655
ER_n30_d0.5_P6,reweave-base,1,1,1,3.3333333333333335,100,1.0551040419995843
ER_n30_d0.5_P6,reweave,1,1,1,3.3333333333333335,100,0.47691945800033864
ER_n30_d0.5_P6,minorminer,2,1,1,3.2333333333333334,97,0.8414235829986865
ER_n30_d0.5_P6,reweave-base,2,1,1,3.1333333333333333,94,2.2748743340016517
ER_n30_d0.5_P6,reweave,2,1,1,3.1333333333333333,94,0.9660359170011361
ER_n30_d0.7_P6,minorminer,0,1,1,3.6333333333333333,109,1.312355292000575
ER_n30_d0.7_P6,reweave-base,0,1,1,3.6,108,3.293158250002307
ER_n30_d0.7_P6,reweave,0,1,1,3.6,108,1.4252018749975832
ER_n30_d0.7_P6,minorminer,1,1,1,4.233333333333333,127,0.5593601250002393
ER_n30_d0.7_P6,reweave-base,1,1,1,4.2,126,2.5743078749983397
ER_n30_d0.7_P6,reweave,1,1,1,4.133333333333334,124,0.733961707999697
ER_n30_d0.7_P6,minorminer,2,1,1,3.8666666666666667,116,0.45847520800089114
ER_n30_d0.7_P6,reweave-base,2,1,1,3.8666666666666667,116,1.483364583000366
ER_n30_d0.7_P6,reweave,2,1,1,3.8,114,0.5649682500006747
ER_n40_d0.5_P6,minorminer,0,1,1,4.575,183,0.5354107079983805
ER_n40_d0.5_P6,reweave-base,0,1,1,4.5,180,2.9821266250000917
ER_n40_d0.5_P6,reweave,0,1,1,4.45,178,0.7925682079985563
ER_n40_d0.5_P6,minorminer,1,1,1,4.4,176,1.1522774160002882
ER_n40_d0.5_P6,reweave-base,1,1,1,4.25,170,3.5925599580004928
ER_n40_d0.5_P6,reweave,1,1,1,4.25,170,1.5828287500007718
ER_n40_d0.5_P6,minorminer,2,1,1,4.575,183,1.3282707500002289
ER_n40_d0.5_P6,reweave-base,2,1,1,4.5,180,3.825411999998323
ER_n40_d0.5_P6,reweave,2,1,1,4.475,179,1.5936558329995023
ER_n40_d0.7_P6,minorminer,0,1,1,5.25,210,0.4482566250007949
ER_n40_d0.7_P6,reweave-base,0,1,1,5.1,204,5.6211210420005955
ER_n40_d0.7_P6,reweave,0,1,1,4.9,196,1.0450160830005188
ER_n40_d0.7_P6,minorminer,1,1,1,5.15,206,0.8864695419979398
ER_n40_d0.7_P6,reweave-base,1,1,1,5.1,204,4.395081416998437
ER_n40_d0.7_P6,reweave,1,1,1,5.05,202,1.3871855409997806
ER_n40_d0.7_P6,minorminer,2,1,1,5.1,204,1.9080978329984646
ER_n40_d0.7_P6,reweave-base,2,1,1,5.025,201,5.502659457997652
ER_n40_d0.7_P6,reweave,2,1,1,4.95,198,2.4998292499985837
ER_n30_d0.5_P6brk,minorminer,0,1,1,3.433333333333333,103,0.5085507920011878
ER_n30_d0.5_P6brk,reweave-base,0,1,1,3.3666666666666667,101,1.7442780829987896
ER_n30_d0.5_P6brk,reweave,0,1,1,3.3666666666666667,101,0.6304072500024631
ER_n30_d0.5_P6brk,minorminer,1,1,1,3.6,108,0.1952979170018807
ER_n30_d0.5_P6brk,reweave-base,1,1,1,3.566666666666667,107,1.4485908749993541
ER_n30_d0.5_P6brk,reweave,1,1,1,3.533333333333333,106,0.3147869169988553
ER_n30_d0.5_P6brk,minorminer,2,1,1,3.4,102,0.29193012500036275
ER_n30_d0.5_P6brk,reweave-base,2,1,1,3.3666666666666667,101,1.557847291998769
ER_n30_d0.5_P6brk,reweave,2,1,1,3.3666666666666667,101,0.4020212499999616
ER_n30_d0.5_Z4,minorminer,0,1,1,2.6666666666666665,80,0.40095087499867077
ER_n30_d0.5_Z4,reweave-base,0,1,1,2.6333333333333333,79,1.770337792000646
ER_n30_d0.5_Z4,reweave,0,1,1,2.6333333333333333,79,0.4991989590016601
ER_n30_d0.5_Z4,minorminer,1,1,1,2.8666666666666667,86,0.21991725000043516
ER_n30_d0.5_Z4,reweave-base,1,1,1,2.8,84,2.3199122499972873
ER_n30_d0.5_Z4,reweave,1,1,1,2.8,84,0.37322970799868926
ER_n30_d0.5_Z4,minorminer,2,1,1,2.7,81,0.17445908399895416
ER_n30_d0.5_Z4,reweave-base,2,1,1,2.6333333333333333,79,1.553940457997669
ER_n30_d0.5_Z4,reweave,2,1,1,2.6333333333333333,79,0.2756972080023843
