cell,target,algorithm,seed,success,valid,acl,maxchain,qubits,time,status
ER_n20_d0.3_P6,pegasus_6,minorminer,0,1,1,1.65,3,33,0.03493824999895878,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,1,1,1,1.9,3,38,0.030874333999236114,SUCCESS
ER_n20_d0.3_P6,pegasus_6,minorminer,2,1,1,1.85,3,37,0.03205491599874222,SUCCESS
ER_n20_d0.3_P6,pegasus_6,srgw,0,1,1,1.85,3,37,0.7200640420014679,SUCCESS
ER_n20_d0.3_P6,pegasus_6,srgw,1,1,1,1.75,2,35,0.7620329580022371,SUCCESS
ER_n20_d0.3_P6,pegasus_6,srgw,2,1,1,1.65,3,33,0.7379378329969768,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,0,1,1,2.25,3,45,0.0854334169998765,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,1,1,1,2.5,4,50,0.04510191599911195,SUCCESS
ER_n20_d0.5_P6,pegasus_6,minorminer,2,1,1,2.2,3,44,0.12672154200117802,SUCCESS
ER_n20_d0.5_P6,pegasus_6,srgw,0,1,1,2.25,3,45,0.8161240410008759,SUCCESS
ER_n20_d0.5_P6,pegasus_6,srgw,1,1,1,2.35,3,47,0.8127567920018919,SUCCESS
ER_n20_d0.5_P6,pegasus_6,srgw,2,1,1,2.35,3,47,0.9004376660013804,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,0,1,1,2.5,3,50,0.2030637919997389,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,1,1,1,2.65,3,53,0.08169500000076368,SUCCESS
ER_n20_d0.7_P6,pegasus_6,minorminer,2,1,1,2.6,3,52,0.10667991599984816,SUCCESS
ER_n20_d0.7_P6,pegasus_6,srgw,0,1,1,2.5,3,50,0.8965735839992703,SUCCESS
ER_n20_d0.7_P6,pegasus_6,srgw,1,1,1,2.75,4,55,0.8218901660002302,SUCCESS
ER_n20_d0.7_P6,pegasus_6,srgw,2,1,1,2.55,3,51,0.9654852920029953,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,0,1,1,2.7666666666666666,4,83,0.23922370900254464,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,1,1,1,2.8333333333333335,4,85,0.15892429199811886,SUCCESS
ER_n30_d0.3_P6,pegasus_6,minorminer,2,1,1,2.533333333333333,3,76,0.18073295800058986,SUCCESS
ER_n30_d0.3_P6,pegasus_6,srgw,0,1,1,2.8666666666666667,4,86,1.0596067090009456,SUCCESS
ER_n30_d0.3_P6,pegasus_6,srgw,1,1,1,2.6666666666666665,4,80,1.1717938750007306,SUCCESS
ER_n30_d0.3_P6,pegasus_6,srgw,2,1,1,2.6333333333333333,4,79,1.1022556250027264,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,0,1,1,3.5,5,105,0.4232045829994604,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,1,1,1,3.3333333333333335,4,100,0.35045349999927566,SUCCESS
ER_n30_d0.5_P6,pegasus_6,minorminer,2,1,1,3.2333333333333334,5,97,0.8533132920019852,SUCCESS
ER_n30_d0.5_P6,pegasus_6,srgw,0,1,1,3.2333333333333334,4,97,1.2881422499995097,SUCCESS
ER_n30_d0.5_P6,pegasus_6,srgw,1,1,1,3.4,5,102,1.2459529579973605,SUCCESS
ER_n30_d0.5_P6,pegasus_6,srgw,2,1,1,3.433333333333333,5,103,1.069931624999299,SUCCESS
ER_n30_d0.7_P6,pegasus_6,minorminer,0,1,1,3.6333333333333333,5,109,1.3718262090005737,SUCCESS
ER_n30_d0.7_P6,pegasus_6,minorminer,1,1,1,4.233333333333333,6,127,0.6174492089994601,SUCCESS
