cell,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,qubits_mean,time_mean
ER_n20_d0.3_P6,minorminer,3,3,1.0,1.8,0.108,36,0.033
ER_n20_d0.3_P6,srgw,3,3,1.0,1.75,0.082,35,0.74
ER_n20_d0.5_P6,minorminer,3,3,1.0,2.317,0.131,46.3,0.086
ER_n20_d0.5_P6,srgw,3,3,1.0,2.317,0.047,46.3,0.843
ER_n20_d0.7_P6,minorminer,3,3,1.0,2.583,0.062,51.7,0.13
ER_n20_d0.7_P6,srgw,3,3,1.0,2.6,0.108,52,0.895
ER_n30_d0.3_P6,minorminer,3,3,1.0,2.711,0.129,81.3,0.193
ER_n30_d0.3_P6,srgw,3,3,1.0,2.722,0.103,81.7,1.111
ER_n30_d0.5_P6,minorminer,3,3,1.0,3.356,0.11,100.7,0.542
ER_n30_d0.5_P6,srgw,3,3,1.0,3.356,0.087,100.7,1.201
ER_n30_d0.7_P6,minorminer,3,3,1.0,3.911,0.247,117.3,0.842
ER_n30_d0.7_P6,srgw,3,3,1.0,3.911,0.042,117.3,1.58
ER_n30_d0.5_P6-broken,minorminer,3,3,1.0,3.478,0.087,104.3,0.365
ER_n30_d0.5_P6-broken,srgw,3,3,1.0,3.322,0.166,99.7,1.326
ER_n30_d0.5_Z4,minorminer,3,3,1.0,2.744,0.087,82.3,0.286
ER_n30_d0.5_Z4,srgw,3,3,1.0,2.9,0.054,87,0.836
