cell,group,draw,seed,sched_seed,legal_acl,legal_max_chain,asks,bookmark_asks,stopped_by,pen,stair,bars,certified,mm_skipped,error,wall
K100,order,1,0,1,7.26,8,2194,1023,fixpoint,0,1549.0,198,True,True,,19.7
K100,order,2,0,2,7.26,8,1420,430,fixpoint,0,1548.0,198,True,True,,13.3
K100,order,3,0,3,7.26,8,1443,498,fixpoint,0,1548.0,198,True,True,,13.6
K100,order,4,0,4,7.26,8,1639,559,fixpoint,0,1548.0,198,True,True,,15.3
K100,order,5,0,5,7.26,8,1416,392,fixpoint,0,1549.0,198,True,True,,13.5
K100,init,1,1,0,7.26,8,1311,280,fixpoint,0,1548.0,198,True,True,,13.0
K100,init,2,2,0,7.27,8,1935,913,fixpoint,0,1549.0,198,True,True,,16.9
K100,init,3,3,0,7.26,8,1387,508,fixpoint,0,1548.0,198,True,True,,14.3
K100,init,4,4,0,7.26,8,1382,476,fixpoint,0,1549.0,198,True,True,,13.3
K100,init,5,5,0,7.26,8,1408,368,fixpoint,0,1548.0,198,True,True,,13.5
K140,order,1,0,1,9.757,10,2634,1216,fixpoint,0,2869.0,278,True,True,,38.0
K140,order,2,0,2,9.757,10,2353,936,fixpoint,0,2868.0,278,True,True,,34.3
K140,order,3,0,3,9.757,10,2032,582,fixpoint,0,2868.0,278,True,True,,28.5
K140,order,4,0,4,9.757,10,2114,687,fixpoint,0,2869.0,278,True,True,,32.3
K140,order,5,0,5,9.757,10,2172,738,fixpoint,0,2869.0,278,True,True,,33.1
K140,init,1,1,0,9.757,10,2050,524,fixpoint,0,2868.0,278,True,True,,30.9
K140,init,2,2,0,9.757,10,2049,627,fixpoint,0,2868.0,278,True,True,,31.0
K140,init,3,3,0,9.757,10,2677,1268,fixpoint,0,2868.0,278,True,True,,36.5
K140,init,4,4,0,9.757,10,2190,975,fixpoint,0,2869.0,278,True,True,,33.2
K140,init,5,5,0,9.757,10,2111,509,fixpoint,0,2868.0,278,True,True,,30.9
ER100_d10,order,1,0,1,4.65,9,4789,3455,fixpoint,0,1027.0,155,True,True,,23.4
ER100_d10,order,2,0,2,4.54,7,5013,3894,fixpoint,0,1004.0,151,True,True,,25.0
ER100_d10,order,3,0,3,4.64,7,4704,3336,fixpoint,0,1021.0,151,True,True,,23.0
ER100_d10,order,4,0,4,4.78,8,3585,2778,fixpoint,0,1047.0,155,True,True,,18.6
ER100_d10,order,5,0,5,4.7,8,2922,1726,fixpoint,0,1023.0,152,True,True,,16.3
ER100_d10,init,1,1,0,4.82,8,4854,2615,fixpoint,0,1059.0,159,True,True,,23.7
ER100_d10,init,2,2,0,4.77,7,3059,2230,fixpoint,0,1046.0,156,True,True,,14.9
