cell,arm,seed,acl,max_chain,legal_acl,stopped_by,asks,bookmark_asks,pen,certified,mm_skipped,error,wall
K100,new,0,7.26,8,7.26,fixpoint,1555,565,0,True,True,,19.9
K100,new,1,7.26,8,7.26,fixpoint,1895,852,0,True,True,,24.1
K100,new,2,7.26,8,7.26,fixpoint,1337,504,0,True,True,,19.9
K100,new+mm,0,7.26,8,7.26,fixpoint,1555,565,0,True,True,,63.5
K100,new+mm,1,7.26,8,7.26,fixpoint,1895,852,0,True,True,,64.1
K100,new+mm,2,7.26,8,7.26,fixpoint,1337,504,0,True,True,,58.8
K140,new,0,9.757,10,9.757,fixpoint,2206,859,0,True,True,,40.0
K140,new,1,9.771,11,9.771,fixpoint,2071,555,0,True,True,,37.6
K140,new,2,9.771,11,9.771,fixpoint,2102,650,0,True,True,,35.7
K140,new+mm,0,9.757,10,9.757,deadline,1663,859,0,True,True,,64.8
K140,new+mm,1,9.771,11,9.771,deadline,1584,555,0,True,True,,67.6
K140,new+mm,2,9.771,11,9.771,deadline,1604,650,0,True,True,,72.7
ER100_d10,new,0,4.62,8,4.62,fixpoint,5434,4682,0,True,True,,32.8
ER100_d10,new,1,4.63,8,4.63,fixpoint,3147,2203,0,True,True,,23.7
ER100_d10,new,2,4.53,7,4.53,fixpoint,2885,1167,0,True,True,,21.1
ER100_d10,new,3,4.63,8,4.63,fixpoint,3135,2060,0,True,True,,21.7
ER100_d10,new,4,4.64,9,4.64,fixpoint,3900,1644,0,True,True,,26.1
ER100_d10,new,5,4.77,9,4.77,fixpoint,4201,3116,0,True,True,,26.9
ER100_d10,new,6,4.47,8,4.47,asks,8000,6616,0,True,True,,42.7
ER100_d10,new,7,4.43,8,4.43,fixpoint,5989,2582,0,True,True,,36.1
ER100_d10,new,8,4.69,8,4.69,fixpoint,4092,1435,0,True,True,,28.1
ER100_d10,new,9,4.58,8,4.58,fixpoint,2740,877,0,True,True,,21.1
ER100_d10,new+mm,0,4.27,7,4.62,deadline,5191,4682,0,True,True,,62.0
ER100_d10,new+mm,1,4.63,8,4.63,fixpoint,3147,2203,0,True,True,,62.1
ER100_d10,new+mm,2,4.23,7,4.53,fixpoint,2885,1167,0,True,True,,60.0
ER100_d10,new+mm,3,4.63,8,4.63,fixpoint,3135,2060,0,True,True,,60.2
ER100_d10,new+mm,4,4.21,7,4.64,fixpoint,3900,1644,0,True,True,,60.0
ER100_d10,new+mm,5,4.78,8,4.77,fixpoint,4201,3116,0,True,True,,60.1
ER100_d10,new+mm,6,4.08,7,4.51,deadline,6516,6090,0,True,True,,60.1
ER100_d10,new+mm,7,4.42,7,4.43,fixpoint,5989,2582,0,True,True,,60.0
ER100_d10,new+mm,8,4.69,8,4.69,fixpoint,4092,1435,0,True,True,,60.1
ER100_d10,new+mm,9,4.58,8,4.58,fixpoint,2740,877,0,True,True,,60.1
turan_n162,new,0,6.0,6,6.0,asks,15000,4073,0,True,True,,215.2
turan_n162,new,1,6.0,6,6.0,asks,15000,1563,0,True,True,,210.0
turan_n162,new,2,6.0,6,6.0,asks,15000,2261,0,True,True,,211.2
turan_n162,new,3,6.0,6,6.0,asks,15000,14848,0,True,True,,200.7
turan_n162,new,4,6.0,6,6.0,asks,15000,4760,0,True,True,,213.8
turan_n162,new,5,6.0,6,6.0,asks,15000,376,0,True,True,,235.2
turan_n162,new,6,6.0,6,6.0,asks,15000,5563,0,True,True,,217.2
turan_n162,new,7,6.0,6,6.0,asks,15000,12657,0,True,True,,212.1
turan_n162,new,8,6.0,6,6.0,asks,15000,1830,0,True,True,,226.4
turan_n162,new,9,6.0,6,6.0,asks,15000,1144,0,True,True,,213.2
turan_n162,new+mm,0,6.0,6,6.0,deadline,2016,1408,0,True,True,,65.5
turan_n162,new+mm,1,6.0,6,6.0,deadline,2170,1563,0,True,True,,66.2
turan_n162,new+mm,2,6.0,6,6.0,deadline,2209,481,0,True,True,,64.8
turan_n162,new+mm,3,6.0,6,6.0,deadline,2180,1637,0,True,True,,61.7
turan_n162,new+mm,4,6.0,6,6.0,deadline,2069,656,0,True,True,,64.7
turan_n162,new+mm,5,6.0,6,6.0,deadline,1967,376,0,True,True,,65.8
turan_n162,new+mm,6,6.0,6,6.0,deadline,1853,1307,0,True,True,,65.6
turan_n162,new+mm,7,6.0,6,6.0,deadline,1996,1109,0,True,True,,65.9
turan_n162,new+mm,8,6.0,6,6.0,deadline,1922,1830,0,True,True,,65.2
turan_n162,new+mm,9,6.0,6,6.0,deadline,2109,1144,0,True,True,,65.4
spin_glass_n163,new,0,10.828,12,10.828,fixpoint,2281,529,0,True,True,,28.8
spin_glass_n163,new,1,10.859,13,10.859,fixpoint,5009,3498,0,True,True,,64.4
spin_glass_n163,new,2,10.859,12,10.859,fixpoint,3559,2159,0,True,True,,39.5
spin_glass_n163,new+mm,0,10.828,12,10.828,fixpoint,2281,529,0,True,True,,60.4
spin_glass_n163,new+mm,1,10.84,12,10.84,deadline,2557,1602,0,True,True,,62.4
spin_glass_n163,new+mm,2,10.859,12,10.859,deadline,2722,2159,0,True,True,,62.3
regular_n316,new,0,4.835,17,4.835,asks,10000,4256,0,True,True,,137.4
regular_n316,new,1,4.699,13,4.699,asks,10000,9451,0,True,True,,141.0
regular_n316,new,2,4.611,12,4.611,asks,10000,6597,0,True,True,,146.9
regular_n316,new,3,4.601,16,4.601,asks,10000,5381,0,True,True,,139.8
regular_n316,new,4,4.835,14,4.835,asks,10000,3214,0,True,True,,138.3
regular_n316,new,5,4.68,12,4.68,asks,10000,3978,0,True,True,,144.4
regular_n316,new,6,4.968,12,4.968,asks,10000,3446,0,True,True,,135.2
regular_n316,new,7,5.127,14,5.127,asks,10000,3357,17,False,True,,135.6
regular_n316,new,8,4.487,14,4.487,asks,10000,9472,0,True,True,,139.2
regular_n316,new,9,4.63,12,4.63,asks,10000,9152,0,True,True,,135.3
regular_n316,new+mm,0,3.883,9,5.234,deadline,1366,1365,0,True,True,,60.0
regular_n316,new+mm,1,3.756,10,5.699,deadline,1407,679,0,True,True,,60.0
