cell,instance,algorithm,seed,success,valid,avg_chain_length,total_qubits_used,wall_time
ER_n20_d0.5,0,minorminer,0,1,1,2.25,45,0.16728004202013835
ER_n20_d0.5,0,minorminer,1,1,1,2.5,50,0.0816461659851484
ER_n20_d0.5,0,minorminer,2,1,1,2.2,44,0.2516992080199998
ER_n20_d0.5,0,reweave,0,1,1,2.25,45,0.23203395900782198
ER_n20_d0.5,0,reweave,1,1,1,2.35,47,0.18619045900413767
ER_n20_d0.5,0,reweave,2,1,1,2.2,44,0.30810141601250507
ER_n20_d0.5,0,reweave-ablate-paths,0,1,1,2.25,45,0.23129316701670177
ER_n20_d0.5,0,reweave-ablate-paths,1,1,1,2.35,47,0.13069983301102184
ER_n20_d0.5,0,reweave-ablate-paths,2,1,1,2.2,44,0.34495595801854506
ER_n20_d0.5,0,reweave-ablate-nocong,0,1,1,2.25,45,0.30820075000519864
ER_n20_d0.5,0,reweave-ablate-nocong,1,1,1,2.45,49,0.2166627919941675
ER_n20_d0.5,0,reweave-ablate-nocong,2,1,1,2.2,44,0.32469125001807697
ER_n20_d0.5,0,reweave-ablate-both,0,1,1,2.25,45,0.25656891701510176
ER_n20_d0.5,0,reweave-ablate-both,1,1,1,2.45,49,0.18553112499648705
ER_n20_d0.5,0,reweave-ablate-both,2,1,1,2.2,44,0.33440479199634865
ER_n20_d0.5,1,minorminer,0,1,1,2.2,44,0.3290827909950167
ER_n20_d0.5,1,minorminer,1,1,1,2.25,45,0.2189212920202408
ER_n20_d0.5,1,minorminer,2,1,1,2.3,46,0.18496191600570455
ER_n20_d0.5,1,reweave,0,1,1,2.2,44,0.3324076670105569
ER_n20_d0.5,1,reweave,1,1,1,2.25,45,0.26129187500919215
ER_n20_d0.5,1,reweave,2,1,1,2.3,46,0.20995904097799212
ER_n20_d0.5,1,reweave-ablate-paths,0,1,1,2.2,44,0.40744791697943583
ER_n20_d0.5,1,reweave-ablate-paths,1,1,1,2.25,45,0.29769062498235144
ER_n20_d0.5,1,reweave-ablate-paths,2,1,1,2.3,46,0.22468883398687467
ER_n20_d0.5,1,reweave-ablate-nocong,0,1,1,2.2,44,0.411576291982783
ER_n20_d0.5,1,reweave-ablate-nocong,1,1,1,2.25,45,0.32523904100526124
ER_n20_d0.5,1,reweave-ablate-nocong,2,1,1,2.3,46,0.273366832989268
ER_n20_d0.5,1,reweave-ablate-both,0,1,1,2.2,44,0.40505274999304675
ER_n20_d0.5,1,reweave-ablate-both,1,1,1,2.25,45,0.37049470900092274
ER_n20_d0.5,1,reweave-ablate-both,2,1,1,2.3,46,0.2981523329799529
ER_n20_d0.5,2,minorminer,0,1,1,2.25,45,0.42035224998835474
ER_n20_d0.5,2,minorminer,1,1,1,2.25,45,0.23031204199651256
ER_n20_d0.5,2,minorminer,2,1,1,2.15,43,0.21324812501552515
ER_n20_d0.5,2,reweave,0,1,1,2.25,45,0.4853719169914257
ER_n20_d0.5,2,reweave,1,1,1,2.25,45,0.2824262920184992
ER_n20_d0.5,2,reweave,2,1,1,2.15,43,0.25102116700145416
ER_n20_d0.5,2,reweave-ablate-paths,0,1,1,2.25,45,0.43794695899123326
ER_n20_d0.5,2,reweave-ablate-paths,1,1,1,2.25,45,0.2529752079863101
ER_n20_d0.5,2,reweave-ablate-paths,2,1,1,2.15,43,0.2725021250080317
ER_n20_d0.5,2,reweave-ablate-nocong,0,1,1,2.25,45,0.44725395800196566
ER_n20_d0.5,2,reweave-ablate-nocong,1,1,1,2.25,45,0.2645259170094505
ER_n20_d0.5,2,reweave-ablate-nocong,2,1,1,2.15,43,0.25209574998007156
ER_n20_d0.5,2,reweave-ablate-both,0,1,1,2.25,45,0.43428808299358934
ER_n20_d0.5,2,reweave-ablate-both,1,1,1,2.25,45,0.2467002090124879
ER_n20_d0.5,2,reweave-ablate-both,2,1,1,2.15,43,0.24318837499595247
ER_n20_d0.5,3,minorminer,0,1,1,2.2,44,0.12304641702212393
ER_n20_d0.5,3,minorminer,1,1,1,2.45,49,0.2052117499988526
ER_n20_d0.5,3,minorminer,2,1,1,2.3,46,0.13678404199890792
ER_n20_d0.5,3,reweave,0,1,1,2.2,44,0.16920729199773632
