gkey,target,method,eseed,acl,maxchain,qubits
ER_n10_d0.4_g0,pegasus_3,minorminer,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,minorminer,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,minorminer-layout,0,1.1,2,11
ER_n10_d0.4_g0,pegasus_3,minorminer-layout,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,reweave,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,reweave,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,reweave-thorough,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,reweave-thorough,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,mmfork-cuthill,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,mmfork-cuthill,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,mmfork-portfolio,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3,mmfork-portfolio,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,minorminer,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,minorminer,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,minorminer-layout,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,minorminer-layout,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,reweave,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,reweave,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,reweave-thorough,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,reweave-thorough,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,mmfork-cuthill,1,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,0,1.0,1,10
ER_n10_d0.4_g0,pegasus_3_broken5,mmfork-portfolio,1,1.0,1,10
ER_n10_d0.4_g1,pegasus_3,minorminer,0,1.3,2,13
ER_n10_d0.4_g1,pegasus_3,minorminer,1,1.4,2,14
ER_n10_d0.4_g1,pegasus_3,minorminer-layout,0,1.2,2,12
ER_n10_d0.4_g1,pegasus_3,minorminer-layout,1,1.2,2,12
