source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,pegasus_6,minorminer,0,1,1,1.65,3,33,0.06493870900158072,20,66
ER_n20_d0.3,pegasus_6,minorminer,1,1,1,1.9,3,38,0.06557204199998523,20,66
ER_n20_d0.3,pegasus_6,minorminer,2,1,1,1.85,3,37,0.06205920800130116,20,66
ER_n20_d0.3,pegasus_6,minorminer,3,1,1,1.75,3,35,0.06194095800128707,20,66
ER_n20_d0.3,pegasus_6,minorminer,4,1,1,1.8,3,36,0.07546487500076182,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,0,1,1,1.75,3,35,0.42976304100011475,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,1,1,1,1.75,3,35,0.39367400000082853,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,2,1,1,1.85,3,37,0.4040297080009623,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,3,1,1,1.75,3,35,0.34045549999973446,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,4,1,1,1.7,2,34,0.376213583000208,20,66
ER_n20_d0.3,pegasus_6,pathfinder,0,1,1,1.65,3,33,0.17827091599974665,20,66
ER_n20_d0.3,pegasus_6,pathfinder,1,1,1,1.9,3,38,0.2300550830004795,20,66
ER_n20_d0.3,pegasus_6,pathfinder,2,1,1,1.85,3,37,0.21916445799979556,20,66
ER_n20_d0.3,pegasus_6,pathfinder,3,1,1,1.75,3,35,0.21498529199925542,20,66
ER_n20_d0.3,pegasus_6,pathfinder,4,1,1,1.8,3,36,0.2418235420009296,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,0,1,1,1.65,3,33,0.8730448330006766,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,1,1,1,1.65,3,33,0.9003601670010539,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,2,1,1,1.7,3,34,0.9048988340000506,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,3,1,1,1.65,2,33,0.8702796659999876,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,4,1,1,1.6,2,32,0.8911431659998925,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,0,1,1,1.7,2,34,0.046087667000392685,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,1,1,1,1.9,3,38,0.04879395799980557,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,2,1,1,2.05,3,41,0.05960620800033212,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,3,1,1,1.75,3,35,0.05176745899916568,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,4,1,1,1.85,3,37,0.04076629200062598,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,0,1,1,2.1,3,42,0.055843583000751096,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,1,1,1,2.05,3,41,0.3840278749994468,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,2,1,1,1.8,2,36,0.41016016700086766,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,3,1,1,1.7,3,34,0.06738695799867855,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,4,1,1,1.85,3,37,0.09134316699964984,20,66
