cell,instance,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,0,pegasus_6,minorminer,0,1,1,1.85,3,37,0.44448917685076594,20,66
ER_n20_d0.3,0,pegasus_6,minorminer,1,1,1,1.7,3,34,0.25276016211137176,20,66
ER_n20_d0.3,0,pegasus_6,minorminer,2,1,1,1.6,3,32,0.4870940400287509,20,66
ER_n20_d0.3,0,pegasus_6,minorminer-layout,0,1,1,1.85,3,37,2.0612029440235347,20,66
ER_n20_d0.3,0,pegasus_6,minorminer-layout,1,1,1,1.8,3,36,2.346605730941519,20,66
ER_n20_d0.3,0,pegasus_6,minorminer-layout,2,1,1,1.85,3,37,2.7774700429290533,20,66
ER_n20_d0.3,0,pegasus_6,reweave-base,0,1,1,1.85,3,37,0.27263161912560463,20,66
ER_n20_d0.3,0,pegasus_6,reweave-base,1,1,1,1.7,3,34,0.3203757209703326,20,66
ER_n20_d0.3,0,pegasus_6,reweave-base,2,1,1,1.6,3,32,0.37757942406460643,20,66
ER_n20_d0.3,0,pegasus_6,reweave,0,1,1,1.85,3,37,0.07438304089009762,20,66
ER_n20_d0.3,0,pegasus_6,reweave,1,1,1,1.7,3,34,0.09047518484294415,20,66
ER_n20_d0.3,0,pegasus_6,reweave,2,1,1,1.6,3,32,0.10409972909837961,20,66
ER_n20_d0.3,0,pegasus_6,reweave-thorough,0,1,1,1.75,2,35,0.28542928607203066,20,66
ER_n20_d0.3,0,pegasus_6,reweave-thorough,1,1,1,1.7,3,34,0.348057447001338,20,66
ER_n20_d0.3,0,pegasus_6,reweave-thorough,2,1,1,1.55,2,31,0.36110225319862366,20,66
ER_n20_d0.3,0,pegasus_6,reweave-stacked,0,1,1,1.9,3,38,0.17115170089527965,20,66
ER_n20_d0.3,0,pegasus_6,reweave-stacked,1,1,1,1.75,3,35,0.1187143879942596,20,66
ER_n20_d0.3,0,pegasus_6,reweave-stacked,2,1,1,1.75,3,35,0.14537644595839083,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-cuthill,0,1,1,1.75,3,35,0.053462459007278085,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-cuthill,1,1,1,1.8,3,36,0.14986253902316093,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-cuthill,2,1,1,1.75,2,35,0.045701149851083755,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-portfolio,0,1,1,1.7,2,34,1.427776690106839,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-portfolio,1,1,1,1.65,3,33,0.7291742968373001,20,66
ER_n20_d0.3,0,pegasus_6,mmfork-portfolio,2,1,1,1.6,3,32,1.2117645652033389,20,66
ER_n20_d0.3,0,pegasus_6,reweave-mmfork-cuthill,0,1,1,1.75,3,35,0.2715386941563338,20,66
ER_n20_d0.3,0,pegasus_6,reweave-mmfork-cuthill,1,1,1,1.8,3,36,0.12549387011677027,20,66
ER_n20_d0.3,0,pegasus_6,reweave-mmfork-cuthill,2,1,1,1.75,2,35,0.0636208460200578,20,66
ER_n20_d0.3,0,pegasus_6_broken5,minorminer,0,1,1,1.85,3,37,0.06811609794385731,20,66
ER_n20_d0.3,0,pegasus_6_broken5,minorminer,1,1,1,1.8,3,36,0.049442544812336564,20,66
