source,target,algorithm,seed,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ER_n20_d0.3,pegasus_6,minorminer,0,1,1,1.65,3,33,0.03927812500114669,20,66
ER_n20_d0.3,pegasus_6,minorminer,1,1,1,1.9,3,38,0.04179329199905624,20,66
ER_n20_d0.3,pegasus_6,minorminer,2,1,1,1.85,3,37,0.04198766600165982,20,66
ER_n20_d0.3,pegasus_6,minorminer,3,1,1,1.75,3,35,0.037074333002237836,20,66
ER_n20_d0.3,pegasus_6,minorminer,4,1,1,1.8,3,36,0.04897162499764818,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,0,1,1,1.75,3,35,0.082331042001897,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,1,1,1,1.75,3,35,0.06401766699855216,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,2,1,1,1.85,3,37,0.08658604199808906,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,3,1,1,1.75,3,35,0.05947304200162762,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,4,1,1,1.7,2,34,0.07736883300094632,20,66
ER_n20_d0.3,pegasus_6,reweave-base,0,1,1,1.65,3,33,0.172919250002451,20,66
ER_n20_d0.3,pegasus_6,reweave-base,1,1,1,1.9,3,38,0.24735162499928265,20,66
ER_n20_d0.3,pegasus_6,reweave-base,2,1,1,1.85,3,37,0.22395970900106477,20,66
ER_n20_d0.3,pegasus_6,reweave-base,3,1,1,1.75,3,35,0.21469933300249977,20,66
ER_n20_d0.3,pegasus_6,reweave-base,4,1,1,1.8,3,36,0.2254306249997171,20,66
ER_n20_d0.3,pegasus_6,reweave,0,1,1,1.65,3,33,0.039374583000608254,20,66
ER_n20_d0.3,pegasus_6,reweave,1,1,1,1.9,3,38,0.04855870800020057,20,66
ER_n20_d0.3,pegasus_6,reweave,2,1,1,1.85,3,37,0.047954417001164984,20,66
ER_n20_d0.3,pegasus_6,reweave,3,1,1,1.75,3,35,0.048197500000242144,20,66
ER_n20_d0.3,pegasus_6,reweave,4,1,1,1.8,3,36,0.05790791600156808,20,66
ER_n20_d0.3,pegasus_6,reweave-thorough,0,1,1,1.65,3,33,0.1775246249999327,20,66
ER_n20_d0.3,pegasus_6,reweave-thorough,1,1,1,1.65,3,33,0.2569554999972752,20,66
