source,instance,target,algorithm,seed,n,success,valid,avg_chain_length,max_chain_length,total_qubits_used,wall_time,problem_nodes,problem_edges
ERd0.3_n20,0,pegasus16_broken,minorminer,0,20,1,1,1.65,2,33,0.17458267393521965,20,66
ERd0.3_n20,0,pegasus16_broken,minorminer,1,20,1,1,1.9,3,38,0.13122230512090027,20,66
ERd0.3_n20,0,pegasus16_broken,minorminer,2,20,1,1,1.7,3,34,0.19178130198270082,20,66
ERd0.3_n20,0,pegasus16_broken,minorminer-layout,0,20,1,1,1.75,3,35,1.430750281084329,20,66
ERd0.3_n20,0,pegasus16_broken,minorminer-layout,1,20,1,1,1.65,3,33,1.6078893151134253,20,66
ERd0.3_n20,0,pegasus16_broken,minorminer-layout,2,20,1,1,1.75,3,35,1.7883842650335282,20,66
ERd0.3_n20,0,pegasus16_broken,reweave,0,20,1,1,1.65,2,33,0.1901358189061284,20,66
ERd0.3_n20,0,pegasus16_broken,reweave,1,20,1,1,1.9,3,38,0.14792381483130157,20,66
ERd0.3_n20,0,pegasus16_broken,reweave,2,20,1,1,1.7,3,34,0.19034247915260494,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-thorough,0,20,1,1,1.65,2,33,0.6780674608889967,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-thorough,1,20,1,1,1.65,3,33,0.9232406220398843,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-thorough,2,20,1,1,1.7,3,34,1.1523664989508688,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill,0,20,1,1,1.8,3,36,0.21602703188546002,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill,1,20,1,1,1.8,3,36,0.34710345696657896,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill,2,20,1,1,1.65,3,33,0.10530638205818832,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill-fast,0,20,1,1,1.8,3,36,0.14470982807688415,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill-fast,1,20,1,1,1.8,3,36,0.1427293971646577,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-cuthill-fast,2,20,1,1,1.65,3,33,0.18065901892259717,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-portfolio,0,20,1,1,1.65,2,33,1.6810578610748053,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-portfolio,1,20,1,1,1.75,2,35,1.580927198054269,20,66
ERd0.3_n20,0,pegasus16_broken,mmfork-portfolio,2,20,1,1,1.65,3,33,1.7347429380752146,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-mmfork-cuthill,0,20,1,1,1.8,3,36,0.2187392299529165,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-mmfork-cuthill,1,20,1,1,1.8,3,36,0.1760692480020225,20,66
ERd0.3_n20,0,pegasus16_broken,reweave-mmfork-cuthill,2,20,1,1,1.65,3,33,0.21298515400849283,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer,0,20,1,1,1.65,2,33,0.25565835693851113,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer,1,20,1,1,1.45,2,29,0.2660738138947636,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer,2,20,1,1,1.6,3,32,0.23425514507107437,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer-layout,0,20,1,1,1.7,3,34,2.066422968870029,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer-layout,1,20,1,1,1.7,3,34,1.9464983069337904,20,66
ERd0.3_n20,0,zephyr15_broken,minorminer-layout,2,20,1,1,1.55,2,31,1.3531121648848057,20,66
ERd0.3_n20,0,zephyr15_broken,reweave,0,20,1,1,1.65,2,33,0.23419297602958977,20,66
ERd0.3_n20,0,zephyr15_broken,reweave,1,20,1,1,1.45,2,29,0.2724284080322832,20,66
ERd0.3_n20,0,zephyr15_broken,reweave,2,20,1,1,1.6,3,32,0.3368816399015486,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-thorough,0,20,1,1,1.55,2,31,1.5538327600806952,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-thorough,1,20,1,1,1.45,2,29,1.2517606359906495,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-thorough,2,20,1,1,1.55,2,31,1.0928390258923173,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill,0,20,1,1,1.45,2,29,0.22158863907679915,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill,1,20,1,1,1.55,3,31,0.5496211240533739,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill,2,20,1,1,1.55,2,31,0.3810248759109527,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill-fast,0,20,1,1,1.45,2,29,0.46148970117792487,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill-fast,1,20,1,1,1.55,3,31,0.425951138837263,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-cuthill-fast,2,20,1,1,1.55,2,31,0.2635946241207421,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-portfolio,0,20,1,1,1.45,2,29,2.332831681938842,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-portfolio,1,20,1,1,1.4,2,28,2.0174534420948476,20,66
ERd0.3_n20,0,zephyr15_broken,mmfork-portfolio,2,20,1,1,1.5,2,30,1.8872572439722717,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-mmfork-cuthill,0,20,1,1,1.45,2,29,0.22392615908756852,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-mmfork-cuthill,1,20,1,1,1.55,3,31,0.2790827888529748,20,66
ERd0.3_n20,0,zephyr15_broken,reweave-mmfork-cuthill,2,20,1,1,1.55,2,31,0.4645617580972612,20,66
ERd0.3_n40,0,pegasus16_broken,minorminer,0,40,1,1,4.1,7,164,1.3478510670829564,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer,1,40,1,1,3.775,6,151,2.4904865161515772,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer,2,40,1,1,3.7,5,148,2.0360428751446307,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,0,40,1,1,3.6,5,144,2.1151624070480466,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,1,40,1,1,3.725,6,149,3.0837397209834307,40,241
ERd0.3_n40,0,pegasus16_broken,minorminer-layout,2,40,1,1,3.925,6,157,2.809402579907328,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,0,40,1,1,3.975,6,159,1.6734500520396978,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,1,40,1,1,3.7,6,148,3.3109001761768013,40,241
ERd0.3_n40,0,pegasus16_broken,reweave,2,40,1,1,3.7,5,148,1.83205451304093,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,0,40,1,1,3.65,5,146,8.999548634048551,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,1,40,1,1,3.625,6,145,9.724750681081787,40,241
ERd0.3_n40,0,pegasus16_broken,reweave-thorough,2,40,1,1,3.5,6,140,5.982593601103872,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,0,40,1,1,3.875,6,155,1.7904987861402333,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,1,40,1,1,3.8,6,152,2.0434654450509697,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill,2,40,1,1,3.9,6,156,2.028046178864315,40,241
ERd0.3_n40,0,pegasus16_broken,mmfork-cuthill-fast,0,40,1,1,3.875,6,155,2.158573426073417,40,241
