pid,gkey,fam,n,d,target,method,eseed,acl,maxchain,chain_rel,sampler,p_gs,resid,mean_e,best_e,gs,chainbreak
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,1.0,SVMC,0.9844,0.0022,-13.969,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,0,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer,1,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,0.5,SA,1.0,0.0,-14.0,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,0.75,SA,1.0,0.0,-14.0,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,1.0,SA,0.996,0.0009,-13.988,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,1.5,SA,1.0,0.0,-14.0,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,0,1.1,2,2.0,SA,0.998,0.0006,-13.992,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,minorminer-layout,1,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,1.0,SVMC,0.9844,0.0022,-13.969,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,0,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave,1,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,1.0,SVMC,0.9844,0.0022,-13.969,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,0,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,reweave-thorough,1,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,0.5,SA,0.992,0.0011,-13.984,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,0.75,SA,0.992,0.0011,-13.984,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,1.0,SA,0.992,0.0011,-13.984,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,1.0,SVMC,0.9844,0.0022,-13.969,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,1.5,SA,0.992,0.0011,-13.984,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,0,1.0,1,2.0,SA,0.992,0.0011,-13.984,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-cuthill,1,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,1.0,SVMC,0.9844,0.0022,-13.969,-14.0,-14.0,
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,1.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,0,1.0,1,2.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,1,1.0,1,0.5,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,1,1.0,1,0.75,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,1,1.0,1,1.0,SA,0.998,0.0003,-13.996,-14.0,-14.0,0.0
0,ER_n10_d0.4_g0,ER,10,0.4,pegasus_3,mmfork-portfolio,1,1.0,1,1.0,SVMC,1.0,0.0,-14.0,-14.0,-14.0,
