pid,gkey,n,method,eseed,acl,maxchain,chain_rel,mean_e,best_e,chainbreak,gs,p_gs,resid
0,ER_n24_d0.5_g0,24,minorminer,0,2.7083333333333335,4,0.75,-54.016,-62.0,0.2645,-72.0,0.0,0.2498
0,ER_n24_d0.5_g0,24,minorminer,0,2.7083333333333335,4,1.0,-58.564,-62.0,0.1891,-72.0,0.0,0.1866
0,ER_n24_d0.5_g0,24,minorminer,0,2.7083333333333335,4,1.5,-61.064,-72.0,0.1313,-72.0,0.022,0.1519
0,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,0.75,-56.908,-64.0,0.1944,-72.0,0.0,0.2096
0,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,1.0,-56.876,-64.0,0.1708,-72.0,0.0,0.2101
0,ER_n24_d0.5_g0,24,minorminer,1,2.6666666666666665,4,1.5,-66.952,-72.0,0.0637,-72.0,0.638,0.0701
0,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,0.75,-63.916,-72.0,0.1865,-72.0,0.624,0.1123
0,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,1.0,-66.52,-72.0,0.1195,-72.0,0.662,0.0761
0,ER_n24_d0.5_g0,24,minorminer-layout,0,2.7083333333333335,4,1.5,-68.644,-72.0,0.0842,-72.0,0.722,0.0466
0,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,0.75,-57.08,-72.0,0.2867,-72.0,0.12,0.2072
0,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,1.0,-62.896,-72.0,0.1693,-72.0,0.498,0.1264
0,ER_n24_d0.5_g0,24,minorminer-layout,1,2.9583333333333335,4,1.5,-67.828,-72.0,0.0746,-72.0,0.624,0.0579
0,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,0.75,-54.016,-62.0,0.2645,-72.0,0.0,0.2498
0,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,1.0,-58.564,-62.0,0.1891,-72.0,0.0,0.1866
0,ER_n24_d0.5_g0,24,reweave,0,2.7083333333333335,4,1.5,-61.064,-72.0,0.1312,-72.0,0.022,0.1519
0,ER_n24_d0.5_g0,24,reweave,1,2.625,4,0.75,-56.5,-64.0,0.1964,-72.0,0.0,0.2153
0,ER_n24_d0.5_g0,24,reweave,1,2.625,4,1.0,-57.016,-64.0,0.1713,-72.0,0.0,0.2081
0,ER_n24_d0.5_g0,24,reweave,1,2.625,4,1.5,-65.968,-72.0,0.0673,-72.0,0.602,0.0838
0,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,0.75,-58.404,-64.0,0.2214,-72.0,0.0,0.1888
0,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,1.0,-59.048,-72.0,0.204,-72.0,0.024,0.1799
0,ER_n24_d0.5_g0,24,reweave-thorough,0,2.625,3,1.5,-64.964,-72.0,0.052,-72.0,0.482,0.0977
0,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,0.75,-63.228,-72.0,0.1378,-72.0,0.388,0.1218
0,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,1.0,-68.632,-72.0,0.0693,-72.0,0.79,0.0468
0,ER_n24_d0.5_g0,24,reweave-thorough,1,2.5833333333333335,4,1.5,-69.788,-72.0,0.044,-72.0,0.822,0.0307
0,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,0.75,-52.6,-64.0,0.3128,-72.0,0.0,0.2694
0,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,1.0,-56.684,-64.0,0.2242,-72.0,0.0,0.2127
0,ER_n24_d0.5_g0,24,mmfork-cuthill,0,2.6666666666666665,4,1.5,-66.296,-72.0,0.102,-72.0,0.458,0.0792
0,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,0.75,-53.296,-72.0,0.27,-72.0,0.064,0.2598
0,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,1.0,-58.488,-72.0,0.157,-72.0,0.3,0.1877
0,ER_n24_d0.5_g0,24,mmfork-cuthill,1,2.7916666666666665,4,1.5,-66.82,-72.0,0.0472,-72.0,0.54,0.0719
