source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
BA_n30_m3,pegasus_6,minorminer,5,5,1.0,1.56,0.106,3,46.8,0.06,0.018,30,81
BA_n30_m3,pegasus_6,minorminer-layout,5,5,1.0,1.513,0.065,2.8,45.4,0.079,0.005,30,81
BA_n30_m3,pegasus_6,reweave,5,5,1.0,1.56,0.106,3,46.8,0.243,0.026,30,81
BA_n30_m3,pegasus_6,reweave-thorough,5,5,1.0,1.5,0.06,3,45,1.064,0.107,30,81
BA_n30_m5,pegasus_6,minorminer,5,5,1.0,2.22,0.091,4,66.6,0.167,0.039,30,125
BA_n30_m5,pegasus_6,minorminer-layout,5,5,1.0,2.253,0.12,4,67.6,0.197,0.066,30,125
BA_n30_m5,pegasus_6,reweave,5,5,1.0,2.2,0.087,4,66,0.865,0.211,30,125
BA_n30_m5,pegasus_6,reweave-thorough,5,5,1.0,2.093,0.068,4,62.8,3.29,0.46,30,125
BA_n40_m3,pegasus_6,minorminer,5,5,1.0,1.805,0.062,3.4,72.2,0.117,0.059,40,111
BA_n40_m3,pegasus_6,minorminer-layout,5,5,1.0,1.73,0.084,3.2,69.2,0.15,0.05,40,111
BA_n40_m3,pegasus_6,reweave,5,5,1.0,1.795,0.056,3.4,71.8,0.496,0.131,40,111
BA_n40_m3,pegasus_6,reweave-thorough,5,5,1.0,1.705,0.09,3.4,68.2,2.04,0.303,40,111
BA_n40_m5,pegasus_6,minorminer,5,5,1.0,2.555,0.099,4.8,102.2,0.333,0.119,40,175
BA_n40_m5,pegasus_6,minorminer-layout,5,5,1.0,2.63,0.132,4.8,105.2,0.329,0.092,40,175
BA_n40_m5,pegasus_6,reweave,5,5,1.0,2.505,0.08,4.8,100.2,1.522,0.214,40,175
BA_n40_m5,pegasus_6,reweave-thorough,5,5,1.0,2.445,0.033,4.8,97.8,5.12,0.34,40,175
ER_n20_d0.3,pegasus_6,minorminer,5,5,1.0,1.79,0.086,3,35.8,0.066,0.005,20,66
