cell,target,algorithm,n_trials,n_success,acl_mean,acl_std,time_mean
BA_n30_m3,pegasus_6,minorminer,45,45,1.5719,0.0801,0.1691
BA_n30_m3,pegasus_6,minorminer-layout,45,45,1.5785,0.0884,1.2659
BA_n30_m3,pegasus_6,mmfork-cuthill,45,45,1.5481,0.0962,0.2313
BA_n30_m3,pegasus_6,mmfork-portfolio,45,45,1.4711,0.0635,1.4112
BA_n30_m3,pegasus_6,reweave,45,45,1.5659,0.0755,0.2597
BA_n30_m3,pegasus_6,reweave-base,45,45,1.5659,0.0755,0.7403
BA_n30_m3,pegasus_6,reweave-mmfork-cuthill,45,45,1.5452,0.0961,0.2912
BA_n30_m3,pegasus_6,reweave-stacked,45,45,1.6489,0.2946,0.3836
BA_n30_m3,pegasus_6,reweave-thorough,45,45,1.4822,0.0519,0.836
BA_n30_m5,pegasus_6,minorminer,45,45,2.2622,0.122,0.4545
BA_n30_m5,pegasus_6,minorminer-layout,45,45,2.2704,0.1159,1.3665
BA_n30_m5,pegasus_6,mmfork-cuthill,45,45,2.2363,0.1156,0.5742
BA_n30_m5,pegasus_6,mmfork-portfolio,45,45,2.1274,0.0649,2.5758
BA_n30_m5,pegasus_6,reweave,45,45,2.237,0.1176,0.5285
BA_n30_m5,pegasus_6,reweave-base,45,45,2.2385,0.1144,1.7311
BA_n30_m5,pegasus_6,reweave-mmfork-cuthill,45,45,2.2104,0.11,0.59
BA_n30_m5,pegasus_6,reweave-stacked,45,45,2.24,0.1112,0.8411
BA_n30_m5,pegasus_6,reweave-thorough,45,45,2.1326,0.0815,1.9657
BA_n40_m3,pegasus_6,minorminer,45,45,1.7517,0.1191,0.2788
BA_n40_m3,pegasus_6,minorminer-layout,45,45,1.7317,0.1079,1.2408
BA_n40_m3,pegasus_6,mmfork-cuthill,45,45,1.7178,0.1035,0.4411
BA_n40_m3,pegasus_6,mmfork-portfolio,45,45,1.6133,0.0716,2.06
BA_n40_m3,pegasus_6,reweave,45,45,1.7233,0.0988,0.3188
BA_n40_m3,pegasus_6,reweave-base,45,45,1.7244,0.0995,1.6199
BA_n40_m3,pegasus_6,reweave-mmfork-cuthill,45,45,1.7067,0.0989,0.4443
BA_n40_m3,pegasus_6,reweave-stacked,45,45,1.7428,0.1221,0.7476
BA_n40_m3,pegasus_6,reweave-thorough,45,45,1.6328,0.0722,1.392
BA_n40_m5,pegasus_6,minorminer,45,45,2.6339,0.1102,0.6206
BA_n40_m5,pegasus_6,minorminer-layout,45,45,2.6506,0.16,1.5607
BA_n40_m5,pegasus_6,mmfork-cuthill,45,45,2.5922,0.1238,0.8439
BA_n40_m5,pegasus_6,mmfork-portfolio,45,45,2.4733,0.0957,3.7931
BA_n40_m5,pegasus_6,reweave,45,45,2.5922,0.1128,0.7711
BA_n40_m5,pegasus_6,reweave-base,45,45,2.6022,0.1171,2.388
BA_n40_m5,pegasus_6,reweave-mmfork-cuthill,45,45,2.5461,0.1144,0.9788
BA_n40_m5,pegasus_6,reweave-stacked,45,45,2.5889,0.1223,1.3922
BA_n40_m5,pegasus_6,reweave-thorough,45,45,2.4639,0.0945,3.0394
ER_n20_d0.3,pegasus_6,minorminer,45,45,1.5822,0.145,0.1627
ER_n20_d0.3,pegasus_6,minorminer-layout,45,45,1.61,0.1393,1.5378
ER_n20_d0.3,pegasus_6,mmfork-cuthill,45,45,1.5722,0.1618,0.1478
ER_n20_d0.3,pegasus_6,mmfork-portfolio,45,45,1.4922,0.1325,0.8235
ER_n20_d0.3,pegasus_6,reweave,45,45,1.5822,0.145,0.1487
ER_n20_d0.3,pegasus_6,reweave-base,45,45,1.5822,0.145,0.5218
ER_n20_d0.3,pegasus_6,reweave-mmfork-cuthill,45,45,1.57,0.161,0.1777
ER_n20_d0.3,pegasus_6,reweave-stacked,45,45,1.8067,0.3987,0.2624
ER_n20_d0.3,pegasus_6,reweave-thorough,45,45,1.51,0.1268,0.5283
ER_n20_d0.3,pegasus_6_broken5,minorminer,45,45,1.6244,0.1649,0.1074
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,45,45,1.6844,0.1584,1.3336
ER_n20_d0.3,pegasus_6_broken5,mmfork-cuthill,45,45,1.6089,0.1648,0.1399
ER_n20_d0.3,pegasus_6_broken5,mmfork-portfolio,45,45,1.5211,0.1408,0.843
ER_n20_d0.3,pegasus_6_broken5,reweave,45,45,1.6244,0.1649,0.1461
ER_n20_d0.3,pegasus_6_broken5,reweave-base,45,45,1.6244,0.1649,0.5473
ER_n20_d0.3,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,1.6056,0.1613,0.1474
ER_n20_d0.3,pegasus_6_broken5,reweave-stacked,45,45,1.8656,0.4001,0.3173
ER_n20_d0.3,pegasus_6_broken5,reweave-thorough,45,45,1.5333,0.1358,0.5097
ER_n20_d0.3,zephyr_4,minorminer,45,45,1.3667,0.1183,0.0868
ER_n20_d0.3,zephyr_4,minorminer-layout,45,45,1.3944,0.1151,1.2091
ER_n20_d0.3,zephyr_4,mmfork-cuthill,45,45,1.3533,0.1087,0.0986
ER_n20_d0.3,zephyr_4,mmfork-portfolio,45,45,1.2889,0.0836,0.7391
ER_n20_d0.3,zephyr_4,reweave,45,45,1.3667,0.1183,0.1009
ER_n20_d0.3,zephyr_4,reweave-base,45,45,1.3667,0.1183,0.3529
ER_n20_d0.3,zephyr_4,reweave-mmfork-cuthill,45,45,1.3533,0.1087,0.1109
ER_n20_d0.3,zephyr_4,reweave-stacked,45,45,1.9856,0.368,0.3433
ER_n20_d0.3,zephyr_4,reweave-thorough,45,45,1.2956,0.0887,0.4706
ER_n20_d0.5,pegasus_6,minorminer,45,45,2.2189,0.118,0.3249
ER_n20_d0.5,pegasus_6,minorminer-layout,45,45,2.1956,0.1341,1.2126
ER_n20_d0.5,pegasus_6,mmfork-cuthill,45,45,2.1833,0.1374,0.2808
ER_n20_d0.5,pegasus_6,mmfork-portfolio,45,45,2.1133,0.1118,1.6055
ER_n20_d0.5,pegasus_6,reweave,45,45,2.2189,0.118,0.3458
ER_n20_d0.5,pegasus_6,reweave-base,45,45,2.2189,0.118,1.1235
ER_n20_d0.5,pegasus_6,reweave-mmfork-cuthill,45,45,2.1811,0.1363,0.3453
ER_n20_d0.5,pegasus_6,reweave-stacked,45,45,2.2544,0.1974,0.4995
ER_n20_d0.5,pegasus_6,reweave-thorough,45,45,2.1311,0.1076,1.3105
ER_n20_d0.5,pegasus_6_broken5,minorminer,45,45,2.2911,0.1423,0.2819
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,45,45,2.3122,0.1707,1.2932
ER_n20_d0.5,pegasus_6_broken5,mmfork-cuthill,45,45,2.3033,0.1762,0.3053
ER_n20_d0.5,pegasus_6_broken5,mmfork-portfolio,45,45,2.1822,0.1309,1.7177
ER_n20_d0.5,pegasus_6_broken5,reweave,45,45,2.2844,0.1425,0.3603
ER_n20_d0.5,pegasus_6_broken5,reweave-base,45,45,2.2844,0.1425,1.141
ER_n20_d0.5,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,2.2989,0.1711,0.351
ER_n20_d0.5,pegasus_6_broken5,reweave-stacked,45,45,2.3222,0.2365,0.4167
ER_n20_d0.5,pegasus_6_broken5,reweave-thorough,45,45,2.1711,0.1302,1.4415
ER_n20_d0.5,zephyr_4,minorminer,45,45,1.8867,0.14,0.1735
ER_n20_d0.5,zephyr_4,minorminer-layout,45,45,1.8933,0.1348,1.1303
ER_n20_d0.5,zephyr_4,mmfork-cuthill,45,45,1.8367,0.1077,0.1889
ER_n20_d0.5,zephyr_4,mmfork-portfolio,45,45,1.7622,0.1091,1.2211
ER_n20_d0.5,zephyr_4,reweave,45,45,1.8822,0.1387,0.2312
ER_n20_d0.5,zephyr_4,reweave-base,45,45,1.8822,0.1387,0.8588
ER_n20_d0.5,zephyr_4,reweave-mmfork-cuthill,45,45,1.8344,0.111,0.3315
ER_n20_d0.5,zephyr_4,reweave-stacked,45,45,2.2022,0.499,0.471
ER_n20_d0.5,zephyr_4,reweave-thorough,45,45,1.7722,0.1073,0.9681
ER_n20_d0.7,pegasus_6,minorminer,45,45,2.5556,0.1244,0.4036
ER_n20_d0.7,pegasus_6,minorminer-layout,45,45,2.5556,0.1018,1.0533
ER_n20_d0.7,pegasus_6,mmfork-cuthill,45,45,2.5322,0.0811,0.3462
ER_n20_d0.7,pegasus_6,mmfork-portfolio,45,45,2.4456,0.0648,2.4339
ER_n20_d0.7,pegasus_6,reweave,45,45,2.5456,0.1144,0.4369
ER_n20_d0.7,pegasus_6,reweave-base,45,45,2.5489,0.1195,1.5282
ER_n20_d0.7,pegasus_6,reweave-mmfork-cuthill,45,45,2.5289,0.0833,0.4618
ER_n20_d0.7,pegasus_6,reweave-stacked,45,45,2.5656,0.0971,0.6874
ER_n20_d0.7,pegasus_6,reweave-thorough,45,45,2.4644,0.0638,1.7543
ER_n20_d0.7,pegasus_6_broken5,minorminer,45,45,2.6678,0.1427,0.4577
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,45,45,2.6844,0.1233,1.1123
ER_n20_d0.7,pegasus_6_broken5,mmfork-cuthill,45,45,2.6844,0.1307,0.4243
ER_n20_d0.7,pegasus_6_broken5,mmfork-portfolio,45,45,2.5056,0.074,2.3862
ER_n20_d0.7,pegasus_6_broken5,reweave,45,45,2.6522,0.1341,0.5056
ER_n20_d0.7,pegasus_6_broken5,reweave-base,45,45,2.6556,0.1375,1.5864
ER_n20_d0.7,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,2.6744,0.1298,0.5124
ER_n20_d0.7,pegasus_6_broken5,reweave-stacked,45,45,2.64,0.1167,0.5422
ER_n20_d0.7,pegasus_6_broken5,reweave-thorough,45,45,2.5467,0.067,1.9552
ER_n20_d0.7,zephyr_4,minorminer,45,45,2.1778,0.1108,0.3404
ER_n20_d0.7,zephyr_4,minorminer-layout,45,45,2.2056,0.1403,0.982
ER_n20_d0.7,zephyr_4,mmfork-cuthill,45,45,2.1878,0.1296,0.3075
ER_n20_d0.7,zephyr_4,mmfork-portfolio,45,45,2.0589,0.0617,1.9038
ER_n20_d0.7,zephyr_4,reweave,45,45,2.1767,0.1114,0.4574
ER_n20_d0.7,zephyr_4,reweave-base,45,45,2.1767,0.1114,1.1728
ER_n20_d0.7,zephyr_4,reweave-mmfork-cuthill,45,45,2.1878,0.1296,0.4436
ER_n20_d0.7,zephyr_4,reweave-stacked,45,45,2.1522,0.0888,0.6506
ER_n20_d0.7,zephyr_4,reweave-thorough,45,45,2.0844,0.0585,1.6696
ER_n30_d0.3,pegasus_6,minorminer,45,45,2.5141,0.1518,0.4658
ER_n30_d0.3,pegasus_6,minorminer-layout,45,45,2.5496,0.1821,1.5301
ER_n30_d0.3,pegasus_6,mmfork-cuthill,45,45,2.4911,0.1664,0.4493
ER_n30_d0.3,pegasus_6,mmfork-portfolio,45,45,2.3704,0.1323,2.8229
ER_n30_d0.3,pegasus_6,reweave,45,45,2.5,0.1428,0.4885
ER_n30_d0.3,pegasus_6,reweave-base,45,45,2.5022,0.1443,2.0979
ER_n30_d0.3,pegasus_6,reweave-mmfork-cuthill,45,45,2.4696,0.152,0.5482
ER_n30_d0.3,pegasus_6,reweave-stacked,45,45,2.4963,0.1642,0.9561
ER_n30_d0.3,pegasus_6,reweave-thorough,45,45,2.3874,0.1402,2.0222
ER_n30_d0.3,pegasus_6_broken5,minorminer,45,45,2.5511,0.1905,0.4422
ER_n30_d0.3,pegasus_6_broken5,minorminer-layout,45,45,2.5867,0.164,1.5612
ER_n30_d0.3,pegasus_6_broken5,mmfork-cuthill,45,45,2.5763,0.1443,0.4749
ER_n30_d0.3,pegasus_6_broken5,mmfork-portfolio,45,45,2.4052,0.1497,2.868
ER_n30_d0.3,pegasus_6_broken5,reweave,45,45,2.543,0.1897,0.4853
ER_n30_d0.3,pegasus_6_broken5,reweave-base,45,45,2.543,0.1897,1.7807
ER_n30_d0.3,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,2.5519,0.1478,0.5087
ER_n30_d0.3,pegasus_6_broken5,reweave-stacked,45,45,2.6119,0.1597,0.8863
ER_n30_d0.3,pegasus_6_broken5,reweave-thorough,45,45,2.4393,0.157,2.1687
ER_n30_d0.3,zephyr_4,minorminer,45,45,2.0881,0.1432,0.3504
ER_n30_d0.3,zephyr_4,minorminer-layout,45,45,2.1022,0.1317,1.4869
ER_n30_d0.3,zephyr_4,mmfork-cuthill,45,45,2.0622,0.1297,0.4089
ER_n30_d0.3,zephyr_4,mmfork-portfolio,45,45,1.9681,0.1118,2.3392
ER_n30_d0.3,zephyr_4,reweave,45,45,2.0763,0.1364,0.4645
ER_n30_d0.3,zephyr_4,reweave-base,45,45,2.0785,0.1395,1.5807
ER_n30_d0.3,zephyr_4,reweave-mmfork-cuthill,45,45,2.057,0.1284,0.4782
ER_n30_d0.3,zephyr_4,reweave-stacked,45,45,2.0837,0.1344,0.713
ER_n30_d0.3,zephyr_4,reweave-thorough,45,45,1.9748,0.1054,1.7474
ER_n30_d0.5,pegasus_6,minorminer,45,45,3.4163,0.1513,0.9344
ER_n30_d0.5,pegasus_6,minorminer-layout,45,45,3.4133,0.1374,1.7459
ER_n30_d0.5,pegasus_6,mmfork-cuthill,45,45,3.3733,0.1436,1.0549
ER_n30_d0.5,pegasus_6,mmfork-portfolio,45,45,3.2333,0.084,5.2893
ER_n30_d0.5,pegasus_6,reweave,45,45,3.3667,0.129,1.1813
ER_n30_d0.5,pegasus_6,reweave-base,45,45,3.38,0.1372,3.6689
ER_n30_d0.5,pegasus_6,reweave-mmfork-cuthill,45,45,3.3259,0.129,1.2042
ER_n30_d0.5,pegasus_6,reweave-stacked,45,45,3.3467,0.1545,1.4479
ER_n30_d0.5,pegasus_6,reweave-thorough,45,45,3.2333,0.0834,4.2273
ER_n30_d0.5,pegasus_6_broken5,minorminer,45,45,3.4563,0.1205,1.0381
ER_n30_d0.5,pegasus_6_broken5,minorminer-layout,45,45,3.4541,0.1483,1.7107
ER_n30_d0.5,pegasus_6_broken5,mmfork-cuthill,45,45,3.4363,0.1677,0.946
ER_n30_d0.5,pegasus_6_broken5,mmfork-portfolio,45,45,3.2748,0.1142,6.2914
ER_n30_d0.5,pegasus_6_broken5,reweave,45,45,3.4074,0.1135,1.1673
ER_n30_d0.5,pegasus_6_broken5,reweave-base,45,45,3.4244,0.117,3.3459
ER_n30_d0.5,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,3.4015,0.1602,1.0489
ER_n30_d0.5,pegasus_6_broken5,reweave-stacked,45,45,3.4933,0.1644,1.218
ER_n30_d0.5,pegasus_6_broken5,reweave-thorough,45,45,3.297,0.0921,4.5382
ER_n30_d0.5,zephyr_4,minorminer,45,45,2.7622,0.1022,0.698
ER_n30_d0.5,zephyr_4,minorminer-layout,45,45,2.7519,0.0962,1.4598
ER_n30_d0.5,zephyr_4,mmfork-cuthill,45,45,2.7326,0.0918,0.6373
ER_n30_d0.5,zephyr_4,mmfork-portfolio,45,45,2.6319,0.077,3.9963
ER_n30_d0.5,zephyr_4,reweave,45,45,2.7319,0.0943,0.9539
ER_n30_d0.5,zephyr_4,reweave-base,45,45,2.7378,0.0944,2.7287
ER_n30_d0.5,zephyr_4,reweave-mmfork-cuthill,45,45,2.7059,0.0884,0.9215
ER_n30_d0.5,zephyr_4,reweave-stacked,45,45,2.7289,0.0778,1.173
ER_n30_d0.5,zephyr_4,reweave-thorough,45,45,2.6296,0.0738,3.4636
ER_n30_d0.7,pegasus_6,minorminer,45,45,3.7993,0.138,1.3511
ER_n30_d0.7,pegasus_6,minorminer-layout,45,45,3.8252,0.1347,2.1644
ER_n30_d0.7,pegasus_6,mmfork-cuthill,45,45,3.7548,0.142,1.5504
ER_n30_d0.7,pegasus_6,mmfork-portfolio,45,45,3.62,0.0675,8.1662
ER_n30_d0.7,pegasus_6,reweave,45,45,3.7156,0.1194,1.7094
ER_n30_d0.7,pegasus_6,reweave-base,45,45,3.7437,0.1241,5.002
ER_n30_d0.7,pegasus_6,reweave-mmfork-cuthill,45,45,3.6852,0.1336,1.8287
ER_n30_d0.7,pegasus_6,reweave-stacked,45,45,3.7815,0.142,2.1959
ER_n30_d0.7,pegasus_6,reweave-thorough,45,45,3.6148,0.0815,6.9527
ER_n30_d0.7,pegasus_6_broken5,minorminer,45,45,3.9378,0.2143,1.4377
ER_n30_d0.7,pegasus_6_broken5,minorminer-layout,45,45,3.9244,0.2217,2.0361
ER_n30_d0.7,pegasus_6_broken5,mmfork-cuthill,45,45,3.9015,0.1944,1.3838
ER_n30_d0.7,pegasus_6_broken5,mmfork-portfolio,45,45,3.6837,0.0874,8.0834
ER_n30_d0.7,pegasus_6_broken5,reweave,45,45,3.8637,0.1844,1.6057
ER_n30_d0.7,pegasus_6_broken5,reweave-base,45,45,3.8985,0.1988,4.3129
ER_n30_d0.7,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,3.8289,0.1787,1.655
ER_n30_d0.7,pegasus_6_broken5,reweave-stacked,45,45,3.8593,0.1596,2.0019
ER_n30_d0.7,pegasus_6_broken5,reweave-thorough,45,45,3.68,0.0954,6.4098
ER_n30_d0.7,zephyr_4,minorminer,45,45,3.0215,0.0703,0.9866
ER_n30_d0.7,zephyr_4,minorminer-layout,45,45,3.0193,0.0708,1.6687
ER_n30_d0.7,zephyr_4,mmfork-cuthill,45,45,3.0022,0.0755,0.9069
ER_n30_d0.7,zephyr_4,mmfork-portfolio,45,45,2.9259,0.0449,5.4896
ER_n30_d0.7,zephyr_4,reweave,45,45,2.9844,0.0669,1.2372
ER_n30_d0.7,zephyr_4,reweave-base,45,45,2.9985,0.0685,4.0454
ER_n30_d0.7,zephyr_4,reweave-mmfork-cuthill,45,45,2.9748,0.0734,1.2865
ER_n30_d0.7,zephyr_4,reweave-stacked,45,45,2.977,0.0534,1.4129
ER_n30_d0.7,zephyr_4,reweave-thorough,45,45,2.9104,0.046,5.2752
ER_n40_d0.3,pegasus_6,minorminer,45,45,3.5667,0.2186,1.1098
ER_n40_d0.3,pegasus_6,minorminer-layout,45,45,3.5817,0.2025,1.972
ER_n40_d0.3,pegasus_6,mmfork-cuthill,45,45,3.5983,0.2147,1.0119
ER_n40_d0.3,pegasus_6,mmfork-portfolio,45,45,3.4033,0.1757,5.9021
ER_n40_d0.3,pegasus_6,reweave,45,45,3.5094,0.2064,1.2984
ER_n40_d0.3,pegasus_6,reweave-base,45,45,3.5256,0.2113,3.9198
ER_n40_d0.3,pegasus_6,reweave-mmfork-cuthill,45,45,3.5411,0.1948,1.3492
ER_n40_d0.3,pegasus_6,reweave-stacked,45,45,3.5856,0.2002,1.7447
ER_n40_d0.3,pegasus_6,reweave-thorough,45,45,3.3861,0.174,5.1337
ER_n40_d0.3,pegasus_6_broken5,minorminer,45,45,3.7144,0.2134,1.084
ER_n40_d0.3,pegasus_6_broken5,minorminer-layout,45,45,3.675,0.2583,2.1142
ER_n40_d0.3,pegasus_6_broken5,mmfork-cuthill,45,45,3.6939,0.2236,1.0328
ER_n40_d0.3,pegasus_6_broken5,mmfork-portfolio,45,45,3.4861,0.1614,6.0555
ER_n40_d0.3,pegasus_6_broken5,reweave,45,45,3.6522,0.198,1.2608
ER_n40_d0.3,pegasus_6_broken5,reweave-base,45,45,3.6744,0.2075,3.798
ER_n40_d0.3,pegasus_6_broken5,reweave-mmfork-cuthill,45,45,3.6411,0.2123,1.3399
ER_n40_d0.3,pegasus_6_broken5,reweave-stacked,45,45,3.6578,0.2248,1.6934
ER_n40_d0.3,pegasus_6_broken5,reweave-thorough,45,45,3.46,0.1786,5.4744
ER_n40_d0.3,zephyr_4,minorminer,45,45,2.9567,0.1684,0.7422
ER_n40_d0.3,zephyr_4,minorminer-layout,45,45,2.9461,0.173,1.8425
ER_n40_d0.3,zephyr_4,mmfork-cuthill,45,45,2.9022,0.1659,0.9573
ER_n40_d0.3,zephyr_4,mmfork-portfolio,45,45,2.7756,0.1209,5.4035
ER_n40_d0.3,zephyr_4,reweave,45,45,2.9161,0.1632,1.0365
ER_n40_d0.3,zephyr_4,reweave-base,45,45,2.925,0.1631,3.5726
ER_n40_d0.3,zephyr_4,reweave-mmfork-cuthill,45,45,2.8644,0.1623,1.1913
ER_n40_d0.3,zephyr_4,reweave-stacked,45,45,2.9506,0.1856,1.7945
ER_n40_d0.3,zephyr_4,reweave-thorough,45,45,2.7689,0.1107,4.514
ER_n40_d0.5,pegasus_6,minorminer,45,45,4.6706,0.2491,2.0932
ER_n40_d0.5,pegasus_6,minorminer-layout,45,45,4.7017,0.2022,3.0597
