source,target,algorithm,n_seeds,n_success,success_rate,acl_mean,acl_std,maxchain_mean,qubits_mean,time_mean,time_std,problem_nodes,problem_edges
BA_n30_m3,pegasus_6,minorminer,5,5,1.0,1.56,0.106,3,46.8,0.052,0.008,30,81
BA_n30_m3,pegasus_6,minorminer-layout,5,5,1.0,1.513,0.065,2.8,45.4,0.08,0.006,30,81
BA_n30_m3,pegasus_6,pathfinder,5,5,1.0,1.56,0.106,3,46.8,0.074,0.023,30,81
BA_n30_m3,pegasus_6,pathfinder-base,5,5,1.0,1.56,0.106,3,46.8,0.292,0.032,30,81
BA_n30_m3,pegasus_6,pathfinder-stacked,5,5,1.0,1.62,0.062,3,48.6,0.125,0.025,30,81
BA_n30_m3,pegasus_6,pathfinder-thorough,5,5,1.0,1.5,0.06,3,45,0.258,0.011,30,81
BA_n30_m5,pegasus_6,minorminer,5,5,1.0,2.22,0.091,4,66.6,0.16,0.028,30,125
BA_n30_m5,pegasus_6,minorminer-layout,5,5,1.0,2.253,0.12,4,67.6,0.182,0.067,30,125
BA_n30_m5,pegasus_6,pathfinder,5,5,1.0,2.193,0.085,4,65.8,0.201,0.029,30,125
BA_n30_m5,pegasus_6,pathfinder-base,5,5,1.0,2.2,0.087,4,66,0.774,0.165,30,125
BA_n30_m5,pegasus_6,pathfinder-stacked,5,5,1.0,2.227,0.11,4,66.8,0.326,0.042,30,125
BA_n30_m5,pegasus_6,pathfinder-thorough,5,5,1.0,2.087,0.058,3.8,62.6,0.77,0.068,30,125
BA_n40_m3,pegasus_6,minorminer,5,5,1.0,1.805,0.062,3.4,72.2,0.117,0.043,40,111
BA_n40_m3,pegasus_6,minorminer-layout,5,5,1.0,1.73,0.084,3.2,69.2,0.168,0.052,40,111
BA_n40_m3,pegasus_6,pathfinder,5,5,1.0,1.79,0.051,3.4,71.6,0.132,0.04,40,111
BA_n40_m3,pegasus_6,pathfinder-base,5,5,1.0,1.795,0.056,3.4,71.8,0.539,0.148,40,111
BA_n40_m3,pegasus_6,pathfinder-stacked,5,5,1.0,1.865,0.128,3.4,74.6,0.279,0.074,40,111
BA_n40_m3,pegasus_6,pathfinder-thorough,5,5,1.0,1.705,0.09,3.4,68.2,0.551,0.062,40,111
BA_n40_m5,pegasus_6,minorminer,5,5,1.0,2.555,0.099,4.8,102.2,0.367,0.108,40,175
BA_n40_m5,pegasus_6,minorminer-layout,5,5,1.0,2.63,0.132,4.8,105.2,0.339,0.069,40,175
BA_n40_m5,pegasus_6,pathfinder,5,5,1.0,2.5,0.084,4.8,100,0.411,0.108,40,175
BA_n40_m5,pegasus_6,pathfinder-base,5,5,1.0,2.505,0.08,4.8,100.2,1.638,0.212,40,175
BA_n40_m5,pegasus_6,pathfinder-stacked,5,5,1.0,2.615,0.041,4.8,104.6,0.549,0.062,40,175
BA_n40_m5,pegasus_6,pathfinder-thorough,5,5,1.0,2.445,0.033,4.8,97.8,1.415,0.135,40,175
ER_n20_d0.3,pegasus_6,minorminer,5,5,1.0,1.79,0.086,3,35.8,0.042,0.004,20,66
ER_n20_d0.3,pegasus_6,minorminer-layout,5,5,1.0,1.76,0.049,2.8,35.2,0.074,0.01,20,66
ER_n20_d0.3,pegasus_6,pathfinder,5,5,1.0,1.79,0.086,3,35.8,0.048,0.006,20,66
ER_n20_d0.3,pegasus_6,pathfinder-base,5,5,1.0,1.79,0.086,3,35.8,0.217,0.024,20,66
ER_n20_d0.3,pegasus_6,pathfinder-stacked,5,5,1.0,1.82,0.06,3,36.4,0.103,0.02,20,66
ER_n20_d0.3,pegasus_6,pathfinder-thorough,5,5,1.0,1.65,0.032,2.6,33,0.213,0.029,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer,5,5,1.0,1.85,0.122,2.8,37,0.052,0.005,20,66
ER_n20_d0.3,pegasus_6_broken5,minorminer-layout,5,5,1.0,1.9,0.152,2.8,38,0.073,0.022,20,66
ER_n20_d0.3,pegasus_6_broken5,pathfinder,5,5,1.0,1.84,0.124,2.6,36.8,0.065,0.007,20,66
ER_n20_d0.3,pegasus_6_broken5,pathfinder-base,5,5,1.0,1.84,0.124,2.6,36.8,0.264,0.086,20,66
ER_n20_d0.3,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,1.8,0.055,2.8,36,0.1,0.011,20,66
ER_n20_d0.3,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,1.7,0.032,3,34,0.218,0.028,20,66
ER_n20_d0.3,zephyr_4,minorminer,5,5,1.0,1.53,0.024,2.2,30.6,0.033,0.003,20,66
ER_n20_d0.3,zephyr_4,minorminer-layout,5,5,1.0,1.55,0.045,2.2,31,0.051,0.006,20,66
ER_n20_d0.3,zephyr_4,pathfinder,5,5,1.0,1.53,0.024,2.2,30.6,0.044,0.004,20,66
ER_n20_d0.3,zephyr_4,pathfinder-base,5,5,1.0,1.53,0.024,2.2,30.6,0.166,0.01,20,66
ER_n20_d0.3,zephyr_4,pathfinder-stacked,5,5,1.0,1.99,0.102,3.6,39.8,0.089,0.023,20,66
ER_n20_d0.3,zephyr_4,pathfinder-thorough,5,5,1.0,1.45,0.032,2,29,0.163,0.014,20,66
ER_n20_d0.5,pegasus_6,minorminer,5,5,1.0,2.28,0.121,3.2,45.6,0.097,0.029,20,103
ER_n20_d0.5,pegasus_6,minorminer-layout,5,5,1.0,2.34,0.058,3,46.8,0.111,0.004,20,103
ER_n20_d0.5,pegasus_6,pathfinder,5,5,1.0,2.25,0.071,3,45,0.124,0.027,20,103
ER_n20_d0.5,pegasus_6,pathfinder-base,5,5,1.0,2.25,0.071,3,45,0.505,0.113,20,103
ER_n20_d0.5,pegasus_6,pathfinder-stacked,5,5,1.0,2.22,0.068,3,44.4,0.257,0.047,20,103
ER_n20_d0.5,pegasus_6,pathfinder-thorough,5,5,1.0,2.19,0.037,3,43.8,0.588,0.1,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer,5,5,1.0,2.26,0.066,3,45.2,0.164,0.073,20,103
ER_n20_d0.5,pegasus_6_broken5,minorminer-layout,5,5,1.0,2.35,0.1,3,47,0.117,0.016,20,103
ER_n20_d0.5,pegasus_6_broken5,pathfinder,5,5,1.0,2.25,0.055,3,45,0.192,0.073,20,103
ER_n20_d0.5,pegasus_6_broken5,pathfinder-base,5,5,1.0,2.25,0.055,3,45,0.523,0.127,20,103
ER_n20_d0.5,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,2.34,0.191,3.2,46.8,0.174,0.027,20,103
ER_n20_d0.5,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,2.23,0.051,3,44.6,0.628,0.101,20,103
ER_n20_d0.5,zephyr_4,minorminer,5,5,1.0,1.96,0.037,3,39.2,0.099,0.023,20,103
ER_n20_d0.5,zephyr_4,minorminer-layout,5,5,1.0,1.94,0.066,3,38.8,0.088,0.01,20,103
ER_n20_d0.5,zephyr_4,pathfinder,5,5,1.0,1.96,0.037,3,39.2,0.128,0.023,20,103
ER_n20_d0.5,zephyr_4,pathfinder-base,5,5,1.0,1.96,0.037,3,39.2,0.393,0.026,20,103
ER_n20_d0.5,zephyr_4,pathfinder-stacked,5,5,1.0,2.16,0.547,3.6,43.2,0.168,0.026,20,103
ER_n20_d0.5,zephyr_4,pathfinder-thorough,5,5,1.0,1.83,0.024,3,36.6,0.46,0.018,20,103
ER_n20_d0.7,pegasus_6,minorminer,5,5,1.0,2.59,0.08,3.2,51.8,0.153,0.061,20,142
ER_n20_d0.7,pegasus_6,minorminer-layout,5,5,1.0,2.55,0.089,3.4,51,0.156,0.051,20,142
ER_n20_d0.7,pegasus_6,pathfinder,5,5,1.0,2.57,0.087,3.2,51.4,0.18,0.055,20,142
ER_n20_d0.7,pegasus_6,pathfinder-base,5,5,1.0,2.57,0.087,3.2,51.4,0.69,0.211,20,142
ER_n20_d0.7,pegasus_6,pathfinder-stacked,5,5,1.0,2.53,0.081,3.2,50.6,0.309,0.084,20,142
ER_n20_d0.7,pegasus_6,pathfinder-thorough,5,5,1.0,2.51,0.073,3,50.2,0.878,0.099,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer,5,5,1.0,2.73,0.144,3.6,54.6,0.162,0.021,20,142
ER_n20_d0.7,pegasus_6_broken5,minorminer-layout,5,5,1.0,2.69,0.159,3.6,53.8,0.223,0.063,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder,5,5,1.0,2.7,0.126,3.4,54,0.199,0.032,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-base,5,5,1.0,2.72,0.14,3.6,54.4,0.704,0.213,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-stacked,5,5,1.0,2.62,0.068,3.2,52.4,0.278,0.033,20,142
ER_n20_d0.7,pegasus_6_broken5,pathfinder-thorough,5,5,1.0,2.56,0.086,3.2,51.2,0.864,0.154,20,142
ER_n20_d0.7,zephyr_4,minorminer,5,5,1.0,2.16,0.066,3,43.2,0.124,0.026,20,142
ER_n20_d0.7,zephyr_4,minorminer-layout,5,5,1.0,2.35,0.164,3,47,0.167,0.04,20,142
ER_n20_d0.7,zephyr_4,pathfinder,5,5,1.0,2.16,0.066,3,43.2,0.198,0.024,20,142
ER_n20_d0.7,zephyr_4,pathfinder-base,5,5,1.0,2.16,0.066,3,43.2,0.653,0.053,20,142
ER_n20_d0.7,zephyr_4,pathfinder-stacked,5,5,1.0,2.14,0.097,3,42.8,0.238,0.022,20,142
ER_n20_d0.7,zephyr_4,pathfinder-thorough,5,5,1.0,2.11,0.037,3,42.2,0.729,0.079,20,142
ER_n30_d0.3,pegasus_6,minorminer,5,5,1.0,2.7,0.114,3.8,81,0.221,0.079,30,147
ER_n30_d0.3,pegasus_6,minorminer-layout,5,5,1.0,2.747,0.154,4,82.4,0.237,0.074,30,147
ER_n30_d0.3,pegasus_6,pathfinder,5,5,1.0,2.68,0.109,3.8,80.4,0.265,0.081,30,147
