source,target,algorithm,n,n_seeds,n_success,n_instances,success_rate,acl_mean,acl_ci,acl_std,maxchain_mean,qubits_mean,time_mean,time_mean_ok,time_std,problem_nodes,problem_edges
ERd0.3_n120,pegasus16_broken,minorminer,120,24,24,8,1.0,17.0,0.319,0.742,27.04,2040,111.66,111.66,28.742,120,2171
ERd0.3_n120,pegasus16_broken,minorminer-layout,120,24,24,8,1.0,17.352,0.305,0.861,27.33,2082.2,124.203,124.203,30.842,120,2171
ERd0.3_n120,pegasus16_broken,mmfork-cuthill,120,24,24,8,1.0,16.784,0.524,1.145,25.79,2014.1,125.775,125.775,37.342,120,2171
ERd0.3_n120,pegasus16_broken,mmfork-cuthill-fast,120,24,24,8,1.0,16.751,0.525,1.165,25.75,2010.1,120.977,120.977,30.888,120,2171
ERd0.3_n120,pegasus16_broken,mmfork-portfolio,120,24,24,8,1.0,18.142,0.273,0.542,29.67,2177.1,186.023,186.023,1.474,120,2171
ERd0.3_n120,pegasus16_broken,reweave,120,24,24,8,1.0,15.905,0.253,0.562,25.71,1908.6,171.593,171.593,13.026,120,2171
ERd0.3_n120,pegasus16_broken,reweave-mmfork-cuthill,120,24,24,8,1.0,16.219,0.374,0.808,26.21,1946.3,158.134,158.134,22.818,120,2171
ERd0.3_n120,pegasus16_broken,reweave-thorough,120,24,24,8,1.0,18.235,0.255,0.602,33.25,2188.2,180.76,180.76,0.283,120,2171
ERd0.3_n120,zephyr15_broken,minorminer,120,24,24,8,1.0,13.314,0.23,0.753,21.12,1597.6,138.536,138.536,30.849,120,2171
ERd0.3_n120,zephyr15_broken,minorminer-layout,120,24,24,8,1.0,13.401,0.264,0.622,21.33,1608.1,152.047,152.047,26.019,120,2171
ERd0.3_n120,zephyr15_broken,mmfork-cuthill,120,24,24,8,1.0,12.98,0.211,0.603,20.62,1557.6,143.499,143.499,33.062,120,2171
ERd0.3_n120,zephyr15_broken,mmfork-cuthill-fast,120,24,24,8,1.0,12.981,0.257,0.623,20.62,1557.8,135.316,135.316,33.189,120,2171
ERd0.3_n120,zephyr15_broken,mmfork-portfolio,120,24,24,8,1.0,15.15,0.352,0.748,25.38,1818,189.414,189.414,2.745,120,2171
ERd0.3_n120,zephyr15_broken,reweave,120,24,24,8,1.0,12.636,0.141,0.519,21,1516.3,169.057,169.057,15.623,120,2171
ERd0.3_n120,zephyr15_broken,reweave-mmfork-cuthill,120,24,24,8,1.0,12.542,0.152,0.419,20.96,1505.1,156.411,156.411,19.49,120,2171
ERd0.3_n120,zephyr15_broken,reweave-thorough,120,24,24,8,1.0,15.563,0.379,0.733,28.38,1867.6,180.731,180.731,0.232,120,2171
ERd0.3_n160,pegasus16_broken,minorminer,160,24,0,0,0.0,,0.0,,,,185.884,,2.258,160,3875
ERd0.3_n160,pegasus16_broken,minorminer-layout,160,24,0,0,0.0,,0.0,,,,188.956,,2.329,160,3875
ERd0.3_n160,pegasus16_broken,mmfork-cuthill,160,24,0,0,0.0,,0.0,,,,190.57,,3.076,160,3875
ERd0.3_n160,pegasus16_broken,mmfork-cuthill-fast,160,24,1,1,0.042,25.9,0.0,0.0,48,4144,184.541,180.56,3.465,160,3875
ERd0.3_n160,pegasus16_broken,mmfork-portfolio,160,24,0,0,0.0,,0.0,,,,242.399,,15.223,160,3875
ERd0.3_n160,pegasus16_broken,reweave,160,24,0,0,0.0,,0.0,,,,181.15,,0.21,160,3875
ERd0.3_n160,pegasus16_broken,reweave-mmfork-cuthill,160,24,0,0,0.0,,0.0,,,,181.963,,0.921,160,3875
ERd0.3_n160,pegasus16_broken,reweave-thorough,160,24,0,0,0.0,,0.0,,,,180.645,,0.288,160,3875
ERd0.3_n160,zephyr15_broken,minorminer,160,24,24,8,1.0,21.372,0.4,1.073,34.88,3419.5,183.538,183.538,1.621,160,3875
ERd0.3_n160,zephyr15_broken,minorminer-layout,160,24,24,8,1.0,21.961,0.43,1.042,36.42,3513.8,180.974,180.974,8.077,160,3875
ERd0.3_n160,zephyr15_broken,mmfork-cuthill,160,24,24,8,1.0,20.723,0.285,0.859,33.67,3315.8,183.377,183.377,2.148,160,3875
ERd0.3_n160,zephyr15_broken,mmfork-cuthill-fast,160,24,24,8,1.0,20.791,0.215,0.901,34.17,3326.5,182.969,182.969,2.71,160,3875
ERd0.3_n160,zephyr15_broken,mmfork-portfolio,160,24,24,8,1.0,27.96,0.439,1.621,48.58,4473.6,205.295,205.295,13.989,160,3875
ERd0.3_n160,zephyr15_broken,reweave,160,24,24,8,1.0,21.631,0.33,1.194,36.79,3460.9,182.287,182.287,1.176,160,3875
ERd0.3_n160,zephyr15_broken,reweave-mmfork-cuthill,160,24,24,8,1.0,21.629,0.356,1.195,36.46,3460.6,182.215,182.215,1.335,160,3875
ERd0.3_n160,zephyr15_broken,reweave-thorough,160,24,20,7,0.833,26.945,0.564,0.972,50.85,4311.1,182.858,183.092,2.393,160,3875
ERd0.3_n20,pegasus16_broken,minorminer,20,24,24,8,1.0,1.565,0.108,0.171,2.54,31.3,0.128,0.128,0.049,20,66
ERd0.3_n20,pegasus16_broken,minorminer-layout,20,24,24,8,1.0,1.546,0.126,0.192,2.54,30.9,0.725,0.725,0.402,20,66
ERd0.3_n20,pegasus16_broken,mmfork-cuthill,20,24,24,8,1.0,1.581,0.106,0.166,2.67,31.6,0.153,0.153,0.064,20,66
ERd0.3_n20,pegasus16_broken,mmfork-cuthill-fast,20,24,24,8,1.0,1.581,0.106,0.166,2.67,31.6,0.14,0.14,0.047,20,66
ERd0.3_n20,pegasus16_broken,mmfork-portfolio,20,24,24,8,1.0,1.506,0.111,0.164,2.42,30.1,0.933,0.933,0.405,20,66
ERd0.3_n20,pegasus16_broken,reweave,20,24,24,8,1.0,1.562,0.107,0.17,2.54,31.2,0.193,0.193,0.177,20,66
ERd0.3_n20,pegasus16_broken,reweave-mmfork-cuthill,20,24,24,8,1.0,1.581,0.106,0.166,2.67,31.6,0.16,0.16,0.078,20,66
ERd0.3_n20,pegasus16_broken,reweave-thorough,20,24,24,8,1.0,1.475,0.11,0.163,2.38,29.5,0.62,0.62,0.252,20,66
ERd0.3_n20,zephyr15_broken,minorminer,20,24,24,8,1.0,1.404,0.086,0.136,2.12,28.1,0.167,0.167,0.049,20,66
ERd0.3_n20,zephyr15_broken,minorminer-layout,20,24,24,8,1.0,1.425,0.087,0.147,2.17,28.5,0.812,0.812,0.456,20,66
ERd0.3_n20,zephyr15_broken,mmfork-cuthill,20,24,24,8,1.0,1.348,0.083,0.142,2.04,27.0,0.221,0.221,0.116,20,66
ERd0.3_n20,zephyr15_broken,mmfork-cuthill-fast,20,24,24,8,1.0,1.348,0.083,0.142,2.04,27.0,0.207,0.207,0.093,20,66
ERd0.3_n20,zephyr15_broken,mmfork-portfolio,20,24,24,8,1.0,1.294,0.073,0.113,2,25.9,1.2,1.2,0.41,20,66
ERd0.3_n20,zephyr15_broken,reweave,20,24,24,8,1.0,1.402,0.087,0.139,2.12,28.0,0.237,0.237,0.103,20,66
