cell,arm,seed,final_acl,legal_acl,rounds,time,diag
K100,default,0,14.95,20.32,5,60.4,"{'mu_total': 109.7514, 'mu_stale_frac': 0.4944, 'max_violation': 194.0312}"
K100,mu0,0,14.2,17.71,4,60.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 229.4022}"
K100,hinge0,0,15.82,25.04,4,61.1,"{'mu_total': 110.9079, 'mu_stale_frac': 0.5826, 'max_violation': 180.1313}"
K100,geo10,0,15.43,23.36,3,61.0,"{'mu_total': 91.067, 'mu_stale_frac': 1.0, 'max_violation': 238.7996}"
K100,geo1_frozen,0,14.99,21.21,4,61.1,"{'mu_total': 89.5781, 'mu_stale_frac': 0.3859, 'max_violation': 217.3849}"
K100,geo10_frozen,0,14.8,20.14,3,61.2,"{'mu_total': 85.9205, 'mu_stale_frac': 0.9268, 'max_violation': 238.641}"
K100,mm-full,0,12.75,,,60.4,
K100,default,1,14.63,17.49,4,60.4,"{'mu_total': 71.7749, 'mu_stale_frac': 0.5813, 'max_violation': 187.6617}"
K100,mu0,1,14.88,23.81,4,60.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 182.4359}"
K100,hinge0,1,15.17,15.01,4,61.1,"{'mu_total': 107.7097, 'mu_stale_frac': 0.4549, 'max_violation': 291.1131}"
K100,geo10,1,15.14,22.61,4,60.6,"{'mu_total': 111.084, 'mu_stale_frac': 0.3442, 'max_violation': 235.9763}"
K100,geo1_frozen,1,14.1,15.66,5,60.4,"{'mu_total': 111.6653, 'mu_stale_frac': 0.5202, 'max_violation': 277.5476}"
K100,geo10_frozen,1,14.57,23.36,3,61.2,"{'mu_total': 62.3755, 'mu_stale_frac': 0.959, 'max_violation': 215.2302}"
K100,mm-full,1,13.96,,,60.5,
K100,default,2,13.93,16.41,4,60.7,"{'mu_total': 88.6891, 'mu_stale_frac': 0.4969, 'max_violation': 212.5188}"
K100,mu0,2,13.98,17.44,4,61.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'max_violation': 163.0728}"
K100,hinge0,2,14.83,21.78,4,60.1,"{'mu_total': 92.0961, 'mu_stale_frac': 0.5483, 'max_violation': 220.8139}"
K100,geo10,2,14.93,20.07,3,60.3,"{'mu_total': 77.9406, 'mu_stale_frac': 0.9236, 'max_violation': 236.9293}"
K100,geo1_frozen,2,14.93,18.01,4,60.3,"{'mu_total': 82.7066, 'mu_stale_frac': 0.5851, 'max_violation': 196.8133}"
