cell,arm,seed,final_acl,max_chain,pen,bm_wall,bm_ro,arrange_wall,readouts,int_acc,int_dec,passes,time
turan_n162,orders,0,6.0,6,0,21.64,214,29.9,272,269,0,2,63.1
turan_n162,orders,1,6.0,6,0,8.72,95,29.94,315,311,0,2,64.4
turan_n162,orders,2,6.0,6,0,21.77,214,29.92,255,252,0,2,63.0
turan_n162,orders,3,6.0,6,0,22.19,214,29.96,268,265,0,2,65.7
turan_n162,orders,4,6.0,6,0,24.24,214,29.88,233,230,0,2,61.7
turan_n162,orders,5,6.0,6,0,26.8,325,29.96,345,340,0,3,62.1
turan_n162,orders,6,6.0,6,0,24.25,214,29.92,232,229,0,2,60.6
turan_n162,orders,7,6.0,6,0,8.09,95,29.98,266,262,0,2,63.4
turan_n162,orders,8,6.0,6,0,6.46,95,29.95,280,276,0,2,75.4
turan_n162,orders,9,6.0,6,0,21.48,214,29.9,285,281,0,3,74.0
turan_n162,orders-audit,0,6.0,6,0,8.84,106,23.07,247,33,155,2,60.4
turan_n162,orders-audit,1,6.0,6,0,13.94,173,29.94,320,19,292,2,71.4
turan_n162,orders-audit,2,6.0,6,0,9.13,106,29.95,238,33,155,2,62.8
turan_n162,orders-audit,3,6.0,6,0,9.22,106,25.37,247,33,155,2,60.5
turan_n162,orders-audit,4,6.0,6,0,9.45,106,27.63,247,33,155,2,67.1
turan_n162,orders-audit,5,6.0,6,0,10.42,173,30.04,436,19,405,2,68.1
turan_n162,orders-audit,6,6.0,6,0,8.79,106,24.08,247,33,155,2,62.3
turan_n162,orders-audit,7,6.0,6,0,14.32,173,29.92,342,19,314,2,67.6
turan_n162,orders-audit,8,6.0,6,0,15.08,173,29.93,330,19,302,2,60.9
turan_n162,orders-audit,9,6.0,6,0,10.42,106,28.89,247,33,155,2,67.6
ws_n486,orders,0,2.494,8,67,0.68,2,26.13,176,175,0,1,60.1
ws_n486,orders,1,2.837,9,67,0.3,2,25.4,196,195,0,1,60.0
ws_n486,orders,2,2.648,8,67,0.49,2,25.57,175,174,0,1,60.0
ws_n486,orders,3,2.595,8,67,0.46,2,25.34,190,189,0,1,60.0
ws_n486,orders,4,2.529,8,67,0.22,2,12.54,87,86,0,1,60.4
ws_n486,orders,5,2.521,9,67,0.39,2,17.01,75,74,0,1,60.0
ws_n486,orders,6,2.547,8,67,0.44,2,15.15,72,71,0,1,60.0
ws_n486,orders,7,2.681,9,67,1.03,2,16.78,79,78,0,1,60.1
ws_n486,orders,8,2.572,8,67,0.52,2,16.23,85,84,0,1,60.2
ws_n486,orders,9,2.516,8,67,0.23,2,14.82,85,84,0,1,60.0
ws_n486,orders-audit,0,2.494,8,67,0.18,2,12.19,72,1,70,1,60.1
ws_n486,orders-audit,1,2.837,9,67,0.29,2,14.1,84,1,82,1,60.0
ws_n486,orders-audit,2,2.648,8,67,0.21,2,16.8,82,1,80,1,60.1
ws_n486,orders-audit,3,2.595,8,67,0.72,2,14.25,83,1,81,1,60.1
ws_n486,orders-audit,4,2.529,8,67,1.07,2,16.68,87,1,85,1,60.1
ws_n486,orders-audit,5,2.521,9,67,0.68,2,17.17,97,1,95,1,60.1
ws_n486,orders-audit,6,2.547,8,67,0.72,2,16.64,43,1,41,1,60.0
ws_n486,orders-audit,7,2.681,9,67,0.17,2,18.41,66,1,64,1,60.1
ws_n486,orders-audit,8,2.572,8,67,0.26,2,16.01,78,1,76,1,60.0
ws_n486,orders-audit,9,2.516,8,67,0.6,2,16.44,91,1,89,1,60.0
grid_200,orders,0,1.72,4,20,15.85,109,29.79,284,266,0,2,60.1
grid_200,orders,1,1.53,3,20,13.41,109,29.37,325,306,0,2,60.0
grid_200,orders,2,1.37,3,12,26.26,352,29.36,393,371,0,2,60.1
grid_200,orders-audit,0,1.095,2,100,12.06,127,29.44,531,2,528,1,60.1
grid_200,orders-audit,1,1.04,2,100,14.84,127,29.81,405,2,402,1,60.0
grid_200,orders-audit,2,1.17,3,100,9.2,127,28.55,508,2,505,1,60.1
ER100_d10,orders,0,5.62,8,0,2.77,128,29.31,1262,823,0,3,60.2
ER100_d10,orders,1,5.62,8,0,4.22,128,29.72,1208,787,0,3,60.0
ER100_d10,orders,2,5.62,8,0,1.9,128,29.83,1471,979,0,4,60.0
ER100_d10,orders-audit,0,5.53,8,0,24.19,1164,29.83,1437,36,819,4,60.1
ER100_d10,orders-audit,1,5.53,8,0,28.6,1628,29.86,1699,38,973,4,60.1
ER100_d10,orders-audit,2,5.54,8,0,27.86,1463,29.85,1563,37,894,4,60.1
