cell,fabric,gid,arm,seed,final_acl,max_chain,E_interp,E_contract,stair_E,time
K100,Z12,,stock,0,7.79,10,786.4,551.9,1169.0,15.6
K100,Z12,,stock,1,7.79,10,786.4,551.9,1169.0,17.2
K100,Z12,,stock,2,7.79,10,786.4,551.9,1169.0,18.2
K100,Z12,,agg,0,7.79,10,786.4,551.9,1169.0,15.7
K100,Z12,,agg,1,7.79,10,786.4,551.9,1169.0,17.2
K100,Z12,,agg,2,7.79,10,786.4,551.9,1169.0,18.2
K100,Z12,,adjoint,0,7.79,10,786.4,551.9,1169.0,15.4
K100,Z12,,adjoint,1,7.79,10,786.4,551.9,1169.0,17.2
K100,Z12,,adjoint,2,7.79,10,786.4,551.9,1169.0,18.2
K140,Z12,,stock,0,10.521,12,1250.4,981.3,2389.0,48.3
K140,Z12,,stock,1,10.521,12,1250.4,981.3,2389.0,52.8
K140,Z12,,stock,2,10.521,12,1250.4,981.3,2389.0,52.0
K140,Z12,,agg,0,10.521,12,1250.4,981.3,2389.0,52.5
K140,Z12,,agg,1,10.521,12,1250.4,981.3,2389.0,55.2
K140,Z12,,agg,2,10.521,12,1250.4,981.3,2389.0,54.9
K140,Z12,,adjoint,0,10.521,12,1250.4,981.3,2389.0,51.0
K140,Z12,,adjoint,1,10.521,12,1250.4,981.3,2389.0,50.5
K140,Z12,,adjoint,2,10.521,12,1250.4,981.3,2389.0,51.8
ER100_d10,Z12,,stock,0,4.88,9,285.8,99.8,95.9,4.8
ER100_d10,Z12,,stock,1,4.98,9,285.8,99.8,95.9,3.1
ER100_d10,Z12,,stock,2,4.69,8,285.8,99.8,95.9,6.6
ER100_d10,Z12,,agg,0,4.88,9,285.8,99.8,95.9,4.9
ER100_d10,Z12,,agg,1,4.98,9,285.8,99.8,95.9,3.1
ER100_d10,Z12,,agg,2,4.69,8,285.8,99.8,95.9,6.6
ER100_d10,Z12,,adjoint,0,4.84,9,80.4,31.2,21.2,5.1
ER100_d10,Z12,,adjoint,1,4.7,8,80.4,31.2,21.2,3.5
ER100_d10,Z12,,adjoint,2,4.73,9,80.4,31.2,21.2,4.9
turan_n162,Z12,2647,stock,0,7.407,9,4700.4,4304.0,2683.0,34.3
turan_n162,Z12,2647,stock,1,9.463,16,4700.4,4304.0,3262.1,60.2
turan_n162,Z12,2647,stock,2,7.5,9,4700.4,4304.0,2683.0,36.0
turan_n162,Z12,2647,agg,0,7.407,9,4700.4,4304.0,2683.0,36.7
turan_n162,Z12,2647,agg,1,9.463,16,4700.4,4304.0,3262.1,60.9
turan_n162,Z12,2647,agg,2,7.5,9,4700.4,4304.0,2683.0,36.0
turan_n162,Z12,2647,adjoint,0,6.0,6,640.5,552.5,2365.0,30.4
turan_n162,Z12,2647,adjoint,1,6.0,6,640.5,552.5,2421.0,27.3
turan_n162,Z12,2647,adjoint,2,6.0,6,640.5,552.5,2365.0,29.7
spin_glass_n163,Z12,37309,stock,0,13.282,23,1841.2,582.8,3067.9,27.1
spin_glass_n163,Z12,37309,stock,1,11.712,20,1841.2,582.8,3067.9,15.6
spin_glass_n163,Z12,37309,stock,2,11.706,24,1841.2,582.8,3067.9,13.7
spin_glass_n163,Z12,37309,agg,0,13.282,23,1841.2,582.8,3067.9,27.2
spin_glass_n163,Z12,37309,agg,1,11.712,20,1841.2,582.8,3067.9,15.8
