cell,fabric,gid,arm,seed,final_acl,max_chain,cl_acc,cl_rev,wall
K100,Z12,,s371,0,7.79,10,0,0,15.5
K100,Z12,,s371,1,7.79,10,0,0,17.6
K100,Z12,,s371,2,7.79,10,0,0,18.4
K100,Z12,,affinity,0,7.79,10,0,0,15.5
K100,Z12,,affinity,1,7.79,10,0,0,17.7
K100,Z12,,affinity,2,7.79,10,0,0,19.1
K140,Z12,,s371,0,10.521,12,0,0,50.3
K140,Z12,,s371,1,10.521,12,0,0,54.0
K140,Z12,,s371,2,10.521,12,0,0,53.1
K140,Z12,,affinity,0,10.521,12,0,0,49.9
K140,Z12,,affinity,1,10.521,12,0,0,51.9
K140,Z12,,affinity,2,10.521,12,0,0,53.3
ER100_d10,Z12,,s371,0,4.58,8,3,15,4.0
ER100_d10,Z12,,s371,1,4.67,9,3,15,5.6
ER100_d10,Z12,,s371,2,4.69,9,3,15,4.1
ER100_d10,Z12,,affinity,0,4.81,9,3,15,3.7
ER100_d10,Z12,,affinity,1,4.93,10,3,15,3.8
ER100_d10,Z12,,affinity,2,4.72,9,3,15,3.1
turan_n162,Z12,2647,s371,0,6.698,7,1,1,62.1
turan_n162,Z12,2647,s371,1,6.228,7,1,1,25.8
turan_n162,Z12,2647,s371,2,6.5,7,1,1,42.1
turan_n162,Z12,2647,s371,3,6.691,7,1,1,60.8
turan_n162,Z12,2647,s371,4,6.796,8,1,1,37.6
turan_n162,Z12,2647,s371,5,6.228,7,1,1,26.9
turan_n162,Z12,2647,s371,6,6.698,7,1,1,63.1
turan_n162,Z12,2647,s371,7,6.228,7,1,1,24.8
turan_n162,Z12,2647,s371,8,6.0,6,1,1,26.2
turan_n162,Z12,2647,s371,9,6.5,7,1,1,41.6
turan_n162,Z12,2647,affinity,0,6.741,8,14,19,28.9
turan_n162,Z12,2647,affinity,1,6.772,8,8,15,26.7
turan_n162,Z12,2647,affinity,2,6.747,8,14,19,28.6
turan_n162,Z12,2647,affinity,3,6.735,8,14,19,31.6
turan_n162,Z12,2647,affinity,4,6.728,8,14,19,30.2
turan_n162,Z12,2647,affinity,5,6.796,8,8,15,42.5
turan_n162,Z12,2647,affinity,6,6.784,8,14,19,48.1
turan_n162,Z12,2647,affinity,7,6.235,7,8,15,38.7
turan_n162,Z12,2647,affinity,8,6.796,8,8,15,60.4
turan_n162,Z12,2647,affinity,9,6.747,8,14,19,28.3
spin_glass_n163,Z12,37309,s371,0,11.988,16,5,3,37.2
spin_glass_n163,Z12,37309,s371,1,11.914,17,5,3,19.8
spin_glass_n163,Z12,37309,s371,2,12.08,18,5,3,19.5
spin_glass_n163,Z12,37309,affinity,0,12.319,20,9,23,17.8
spin_glass_n163,Z12,37309,affinity,1,12.307,20,9,23,18.0
spin_glass_n163,Z12,37309,affinity,2,12.35,20,9,23,18.0
regular_n316,Z12,13096,s371,0,2.674,6,24,34,5.8
regular_n316,Z12,13096,s371,1,2.788,7,24,34,5.5
regular_n316,Z12,13096,s371,2,2.896,7,24,34,5.1
regular_n316,Z12,13096,affinity,0,2.725,6,22,31,5.9
regular_n316,Z12,13096,affinity,1,2.845,7,22,31,5.7
regular_n316,Z12,13096,affinity,2,2.946,7,22,31,5.1
ws_n486,Z12,17188,s371,0,2.49,9,30,167,18.4
ws_n486,Z12,17188,s371,1,2.605,9,30,167,18.1
ws_n486,Z12,17188,s371,2,2.521,9,30,167,18.1
ws_n486,Z12,17188,affinity,0,2.753,9,56,177,19.3
ws_n486,Z12,17188,affinity,1,2.811,10,56,177,19.4
ws_n486,Z12,17188,affinity,2,2.78,9,56,177,19.2
K100,P16,,s371,0,12.68,20,0,0,23.9
K100,P16,,s371,1,13.27,20,0,0,61.3
K100,P16,,s371,2,13.61,21,0,0,22.9
K100,P16,,affinity,0,12.68,20,0,0,25.7
K100,P16,,affinity,1,13.27,20,0,0,60.8
K100,P16,,affinity,2,13.61,21,0,0,22.2
turan_n162,P16,2647,s371,0,8.5,9,1,0,44.5
turan_n162,P16,2647,s371,1,8.5,9,1,0,44.2
turan_n162,P16,2647,s371,2,8.593,9,1,0,61.8
turan_n162,P16,2647,affinity,0,8.58,9,7,9,60.6
turan_n162,P16,2647,affinity,1,8.765,10,7,9,46.0
turan_n162,P16,2647,affinity,2,8.29,9,7,9,56.5
ws_n486,P16,17188,s371,0,3.883,17,11,69,11.0
ws_n486,P16,17188,s371,1,3.646,16,14,57,14.9
ws_n486,P16,17188,s371,2,3.893,19,9,33,15.3
ws_n486,P16,17188,affinity,0,3.632,16,12,52,13.0
ws_n486,P16,17188,affinity,1,3.907,18,17,61,15.3
ws_n486,P16,17188,affinity,2,3.872,17,12,52,13.7
grid_200,Z12,1590,s371,0,1.5,3,12,19,1.3
grid_200,Z12,1590,s371,1,1.44,3,12,19,1.3
grid_200,Z12,1590,s371,2,1.325,3,12,19,1.5
grid_200,Z12,1590,affinity,0,1.31,3,11,25,1.4
grid_200,Z12,1590,affinity,1,1.445,3,11,25,1.3
grid_200,Z12,1590,affinity,2,1.42,3,11,25,1.3
grid_588,Z12,1612,s371,0,1.272,3,43,54,9.8
grid_588,Z12,1612,s371,1,1.301,3,43,54,9.5
grid_588,Z12,1612,s371,2,1.282,3,43,54,9.7
grid_588,Z12,1612,affinity,0,1.279,3,44,63,10.7
grid_588,Z12,1612,affinity,1,1.31,3,44,63,10.9
grid_588,Z12,1612,affinity,2,1.284,3,44,63,10.7
honeycomb_200,Z12,32393,s371,0,1.915,4,18,9,2.2
honeycomb_200,Z12,32393,s371,1,1.87,3,18,9,2.3
honeycomb_200,Z12,32393,s371,2,1.985,4,18,9,1.9
honeycomb_200,Z12,32393,affinity,0,1.91,3,11,11,2.1
honeycomb_200,Z12,32393,affinity,1,2.125,4,11,11,1.8
honeycomb_200,Z12,32393,affinity,2,1.825,3,11,11,2.3
honeycomb_600,Z12,32395,s371,0,1.253,3,39,149,15.2
honeycomb_600,Z12,32395,s371,1,1.213,2,45,129,13.6
honeycomb_600,Z12,32395,s371,2,1.172,2,54,148,15.3
honeycomb_600,Z12,32395,affinity,0,1.168,3,22,157,16.4
honeycomb_600,Z12,32395,affinity,1,1.21,3,17,159,15.6
honeycomb_600,Z12,32395,affinity,2,1.255,3,39,118,13.2
triangular_lat_400,Z12,31888,s371,0,1.772,4,19,37,4.8
triangular_lat_400,Z12,31888,s371,1,1.735,4,19,37,5.2
triangular_lat_400,Z12,31888,s371,2,1.75,4,19,37,4.9
triangular_lat_400,Z12,31888,affinity,0,1.775,4,14,27,3.8
triangular_lat_400,Z12,31888,affinity,1,1.742,4,14,27,4.1
triangular_lat_400,Z12,31888,affinity,2,1.7,4,14,27,4.5
king_graph_196,Z12,32622,s371,0,2.653,6,12,5,1.7
king_graph_196,Z12,32622,s371,1,2.255,5,12,5,2.9
king_graph_196,Z12,32622,s371,2,2.52,6,12,5,2.2
king_graph_196,Z12,32622,affinity,0,2.352,5,6,11,2.6
king_graph_196,Z12,32622,affinity,1,2.76,6,6,11,2.2
king_graph_196,Z12,32622,affinity,2,2.173,5,6,11,2.6
