cell,fabric,arm,seed,final_acl,max_chain,rounds,n_coarse,ratios,max_cluster,time
K100,Z12,att,0,7.79,10,,,,,31.6
K100,Z12,att,1,7.79,10,,,,,35.8
K100,Z12,att,2,7.79,10,,,,,32.0
K100,Z12,agg,0,7.79,10,0,1,100.0,1,31.8
K100,Z12,agg,1,7.79,10,0,1,100.0,1,35.6
K100,Z12,agg,2,7.79,10,0,1,100.0,1,37.5
K140,Z12,att,0,10.521,12,,,,,66.2
K140,Z12,att,1,10.521,12,,,,,65.8
K140,Z12,att,2,10.521,12,,,,,66.3
K140,Z12,agg,0,10.521,12,0,1,140.0,1,67.6
K140,Z12,agg,1,10.521,12,0,1,140.0,1,65.6
K140,Z12,agg,2,10.521,12,0,1,140.0,1,64.5
ER100_d10,Z12,att,0,4.88,9,,,,,8.6
ER100_d10,Z12,att,1,4.98,9,,,,,5.7
ER100_d10,Z12,att,2,4.69,8,,,,,11.2
ER100_d10,Z12,agg,0,4.88,9,1,99,1.01,2,8.1
ER100_d10,Z12,agg,1,4.98,9,1,99,1.01,2,5.8
ER100_d10,Z12,agg,2,4.69,8,1,99,1.01,2,12.8
turan_n162,Z12,att,0,7.407,9,,,,,63.2
turan_n162,Z12,att,1,10.154,18,,,,,61.0
turan_n162,Z12,att,2,7.5,9,,,,,64.0
turan_n162,Z12,agg,0,7.407,9,0,2,81.0,1,60.7
turan_n162,Z12,agg,1,10.123,18,0,2,81.0,1,62.7
turan_n162,Z12,agg,2,7.5,9,0,2,81.0,1,64.3
spin_glass_n163,Z12,att,0,13.282,23,,,,,46.7
spin_glass_n163,Z12,att,1,11.712,20,,,,,28.1
spin_glass_n163,Z12,att,2,11.706,24,,,,,26.6
spin_glass_n163,Z12,agg,0,13.282,23,1,161,1.012,2,47.3
spin_glass_n163,Z12,agg,1,11.712,20,1,161,1.012,2,37.3
spin_glass_n163,Z12,agg,2,11.706,24,1,161,1.012,2,25.6
regular_n316,Z12,att,0,2.63,6,,,,,7.8
regular_n316,Z12,att,1,2.845,7,,,,,7.3
regular_n316,Z12,att,2,2.968,7,,,,,7.2
regular_n316,Z12,agg,0,3.139,7,1,308,1.026,3,6.3
regular_n316,Z12,agg,1,2.75,7,1,308,1.026,3,7.0
regular_n316,Z12,agg,2,3.155,7,1,308,1.026,3,6.5
ws_n486,Z12,att,0,2.667,9,,,,,19.6
ws_n486,Z12,att,1,2.551,9,,,,,18.5
ws_n486,Z12,att,2,2.78,10,,,,,15.0
ws_n486,Z12,agg,0,2.741,9,3,265,1.631|1.108|1.015,5,32.1
ws_n486,Z12,agg,1,2.634,9,3,265,1.631|1.108|1.015,5,33.4
ws_n486,Z12,agg,2,2.562,8,3,265,1.631|1.108|1.015,5,29.6
K100,P16,att,0,12.68,20,,,,,48.3
K100,P16,att,1,14.75,22,,,,,62.6
K100,P16,att,2,13.61,21,,,,,50.2
K100,P16,agg,0,12.68,20,,,,,56.2
K100,P16,agg,1,14.75,22,1,161,1.012,2,62.6
K100,P16,agg,2,13.61,21,3,265,1.631|1.108|1.015,5,52.0
turan_n162,P16,att,0,8.5,9,,,,,63.5
turan_n162,P16,att,1,8.765,10,,,,,63.7
turan_n162,P16,att,2,8.593,9,,,,,67.3
turan_n162,P16,agg,0,8.5,9,1,161,1.012,2,64.8
turan_n162,P16,agg,1,8.765,10,,,,,68.0
turan_n162,P16,agg,2,8.593,9,1,308,1.026,3,61.6
ws_n486,P16,att,0,3.821,17,,,,,10.6
ws_n486,P16,att,1,3.588,18,,,,,19.1
ws_n486,P16,att,2,3.883,16,,,,,11.0
ws_n486,P16,agg,0,3.901,18,3,265,1.631|1.108|1.015,5,14.1
ws_n486,P16,agg,1,3.988,19,3,265,1.631|1.108|1.015,5,22.0
ws_n486,P16,agg,2,3.708,15,1,161,1.012,2,15.2
cycle_mid,P16,att,0,1.0,1,,,,,0.8
cycle_mid,P16,att,1,1.0,1,,,,,0.9
cycle_mid,P16,att,2,1.0,1,,,,,0.9
cycle_mid,P16,agg,0,1.0,1,3,265,1.631|1.108|1.015,5,1.1
cycle_mid,P16,agg,1,1.0,1,3,265,1.631|1.108|1.015,5,0.9
cycle_mid,P16,agg,2,1.0,1,3,265,1.631|1.108|1.015,5,0.7
