cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.57,8,0.0,0.81,0,0,0,0,0,23.0,True,0,0,0,True,30.0
K100,Z12,,default,1,7.58,8,0.0,0.8,0,0,0,0,0,23.0,True,0,0,0,True,29.7
K100,Z12,,default,2,7.59,8,0.0,0.81,0,0,0,0,0,23.0,True,0,0,0,True,28.8
K100,Z12,,align,0,7.52,8,0.0,2.47,6,73,0,79,77,23.0,True,0,0,0,True,29.9
K100,Z12,,align,1,7.52,8,0.0,2.46,6,73,0,79,77,23.0,True,0,0,0,True,24.7
K100,Z12,,align,2,7.52,8,0.0,2.44,6,73,0,79,77,23.0,True,0,0,0,True,25.0
K140,Z12,,default,0,9.957,11,0.0,2.15,0,0,0,0,0,31.0,True,0,0,0,True,65.3
K140,Z12,,default,1,9.957,11,0.0,2.17,0,0,0,0,0,31.0,True,0,0,0,True,60.7
K140,Z12,,default,2,9.957,11,0.0,2.17,0,0,0,0,0,31.0,True,0,0,0,True,65.9
K140,Z12,,align,0,9.85,11,0.0,8.38,11,140,0,151,75,32.0,True,0,0,0,True,59.5
K140,Z12,,align,1,9.85,11,0.0,8.45,11,140,0,151,75,32.0,True,0,0,0,True,64.4
K140,Z12,,align,2,9.85,11,0.0,8.42,11,140,0,151,75,32.0,True,0,0,0,True,59.7
ER100_d10,Z12,,default,0,4.57,8,0.06,0.9,3,41,1,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,default,1,4.85,8,0.05,0.9,3,41,1,0,0,17.0,True,0,0,0,True,53.7
ER100_d10,Z12,,default,2,4.69,8,0.05,0.9,3,41,1,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,align,0,5.42,8,0.05,3.61,17,347,1,364,12,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,align,1,4.6,8,0.05,3.65,17,347,1,364,12,18.0,True,0,0,1,False,60.0
ER100_d10,Z12,,align,2,4.57,8,0.05,3.62,17,347,1,364,12,18.0,True,0,0,1,False,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,6.72,20,87,1,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,default,1,6.0,6,0.0,6.75,19,128,3,0,0,28.0,False,0,30,23,False,60.1
turan_n162,Z12,2647,default,2,6.0,6,0.0,6.79,20,87,1,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,default,3,6.0,6,0.0,6.72,20,87,1,0,0,24.0,True,0,0,44,False,60.0
turan_n162,Z12,2647,default,4,6.0,6,0.0,6.71,20,87,1,0,0,24.0,True,0,0,44,False,60.4
turan_n162,Z12,2647,default,5,6.0,6,0.0,6.75,19,128,3,0,0,28.0,False,0,30,23,False,60.1
turan_n162,Z12,2647,default,6,6.0,6,0.0,6.63,20,87,1,0,0,24.0,True,0,0,44,False,60.2
turan_n162,Z12,2647,default,7,6.0,6,0.0,6.75,19,128,3,0,0,28.0,False,0,30,23,False,60.2
turan_n162,Z12,2647,default,8,6.0,6,0.0,6.76,19,128,3,0,0,28.0,False,0,30,23,False,60.3
turan_n162,Z12,2647,default,9,6.0,6,0.0,6.71,20,87,1,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,align,0,6.0,6,0.0,30.0,16,143,2,159,131,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,align,1,6.0,6,0.0,16.12,8,136,0,144,508,22.0,True,0,0,32,False,60.1
turan_n162,Z12,2647,align,2,6.0,6,0.0,29.87,16,140,2,156,125,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,align,3,6.0,6,0.0,29.88,16,140,2,156,125,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,align,4,6.0,6,0.0,29.98,16,142,2,158,130,22.0,True,0,0,64,False,60.2
