cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,align_p,align_n,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.57,8,0.0,0.8,0,0,0,0,0,23.0,True,0,0,0,True,29.4
K100,Z12,,default,1,7.58,8,0.0,0.81,0,0,0,0,0,23.0,True,0,0,0,True,30.6
K100,Z12,,default,2,7.59,8,0.0,0.8,0,0,0,0,0,23.0,True,0,0,0,True,27.4
K100,Z12,,align,0,7.52,8,0.0,5.4,6,150,0,156,156,23.0,True,0,0,0,True,30.7
K100,Z12,,align,1,7.52,8,0.0,5.34,6,150,0,156,156,23.0,True,0,0,0,True,27.9
K100,Z12,,align,2,7.52,8,0.0,5.31,6,150,0,156,156,23.0,True,0,0,0,True,26.6
K140,Z12,,default,0,9.957,11,0.0,2.22,0,0,0,0,0,31.0,True,0,0,0,True,61.3
K140,Z12,,default,1,9.957,11,0.0,2.21,0,0,0,0,0,31.0,True,0,0,0,True,65.2
K140,Z12,,default,2,9.957,11,0.0,2.22,0,0,0,0,0,31.0,True,0,0,0,True,65.2
K140,Z12,,align,0,9.85,11,0.0,16.14,11,267,0,278,160,32.0,True,0,0,0,True,63.4
K140,Z12,,align,1,9.85,11,0.0,15.9,11,267,0,278,160,32.0,True,0,0,0,True,63.2
K140,Z12,,align,2,9.85,11,0.0,16.13,11,267,0,278,160,32.0,True,0,0,0,True,64.8
ER100_d10,Z12,,default,0,4.57,8,0.05,0.91,3,41,1,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,default,1,4.85,8,0.05,0.93,3,41,1,0,0,17.0,True,0,0,0,True,55.1
ER100_d10,Z12,,default,2,4.69,8,0.05,0.91,3,41,1,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,align,0,5.51,8,0.05,5.56,12,414,0,426,6,19.0,True,0,0,1,False,60.0
ER100_d10,Z12,,align,1,5.51,8,0.05,5.59,12,414,0,426,6,19.0,True,0,0,1,False,60.0
ER100_d10,Z12,,align,2,4.89,8,0.05,5.58,12,414,0,426,6,19.0,True,0,0,1,False,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,7.02,20,87,1,0,0,24.0,True,0,0,44,False,60.0
turan_n162,Z12,2647,default,1,6.0,6,0.0,7.08,19,128,3,0,0,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,default,2,6.0,6,0.0,6.96,20,87,1,0,0,24.0,True,0,0,44,False,60.4
turan_n162,Z12,2647,default,3,6.0,6,0.0,7.06,20,87,1,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,default,4,6.0,6,0.0,7.1,20,87,1,0,0,24.0,True,0,0,44,False,60.0
turan_n162,Z12,2647,default,5,6.0,6,0.0,7.05,19,128,3,0,0,28.0,False,0,30,23,False,60.2
turan_n162,Z12,2647,default,6,6.0,6,0.0,7.01,20,87,1,0,0,24.0,True,0,0,44,False,60.2
turan_n162,Z12,2647,default,7,6.0,6,0.0,7.01,19,128,3,0,0,28.0,False,0,30,23,False,60.4
turan_n162,Z12,2647,default,8,6.0,6,0.0,6.97,19,128,3,0,0,28.0,False,0,30,23,False,60.0
turan_n162,Z12,2647,default,9,6.0,6,0.0,7.0,20,87,1,0,0,24.0,True,0,0,44,False,60.4
turan_n162,Z12,2647,align,0,6.0,6,0.0,30.01,16,111,2,127,81,22.0,True,0,0,64,False,60.4
turan_n162,Z12,2647,align,1,6.0,6,0.0,30.65,8,201,0,209,787,22.0,True,0,0,32,False,60.4
turan_n162,Z12,2647,align,2,6.0,6,0.0,29.94,16,110,2,126,80,22.0,True,0,0,64,False,60.3
turan_n162,Z12,2647,align,3,6.0,6,0.0,30.06,16,111,2,127,81,22.0,True,0,0,64,False,60.1
turan_n162,Z12,2647,align,4,6.0,6,0.0,29.94,16,110,2,126,80,22.0,True,0,0,64,False,60.5
turan_n162,Z12,2647,align,5,6.0,6,0.0,30.15,8,201,0,209,787,22.0,True,0,0,32,False,60.2
turan_n162,Z12,2647,align,6,6.0,6,0.0,29.9,16,108,2,124,78,22.0,True,0,0,64,False,60.2
turan_n162,Z12,2647,align,7,6.0,6,0.0,30.33,8,201,0,209,787,22.0,True,0,0,32,False,60.1
turan_n162,Z12,2647,align,8,6.0,6,0.0,29.85,8,201,0,209,774,22.0,True,0,0,32,False,60.4
