cell,fabric,gid,arm,seed,timeout,final_acl,max_chain,traj,init_wall,arrange_wall,seat_passes,interleave_accepts,interleave_declines,interleave_noops,readouts,bookmark_wall,bookmark_readouts,legal_acl,legal_max_chain,judge,judge_pen,plane_stair,plane_bars,strip_miss,strip_iters,final_width_x,final_width_y,projection_misses,unb_miss,proj_pen,max_edge_span,mm_skipped,ball_accepts,deficit_edges,convert_miss,certified,adopt_worse,error,time
turan_n162,Z12,2647,plane,0,60,9.253,12,203,0.04,29.27,1,203,0,3106,204,11.22,204,9.253,12,stair,,2598.0,,,,20,16,0,,0,28.0,True,0,0,0,True,14,,60.9
turan_n162,Z12,2647,plane,0,240,6.0,6,203|153,0.0,119.54,2,356,0,16146,357,109.1,352,6.0,6,stair,,1714.0,,,,12,12,0,,0,27.0,True,0,0,0,True,57,,240.4
turan_n162,Z12,2647,strip,0,60,9.191,13,210,0.0,29.57,1,210,0,3177,211,11.43,207,9.191,13,strip,0,2587.0,,0,1,20,16,0,,0,31.0,True,0,0,0,True,13,,61.7
turan_n162,Z12,2647,strip,0,240,6.0,6,210|75,0.0,119.64,2,285,0,18841,286,97.27,280,6.0,6,strip,0,1739.0,,0,1,17,12,0,,0,25.0,True,0,0,0,True,35,,240.6
turan_n162,Z12,2647,arm+strip,0,60,6.0,6,181,0.0,29.39,1,181,0,2512,182,8.75,178,6.0,6,strip,0,2075.0,162,0,1,15,12,0,,0,24.0,True,0,0,0,True,32,,63.4
turan_n162,Z12,2647,arm+strip,0,240,6.0,6,181|38,0.01,119.35,2,219,0,16041,220,102.8,214,6.0,6,strip,0,2073.0,162,0,1,15,12,0,,0,27.0,True,0,0,0,True,51,,240.8
turan_n162,Z12,2647,plane-nt,0,60,9.253,12,203,0.02,29.35,1,203,0,2741,204,10.72,204,9.253,12,stair,,2598.0,,,,20,16,0,,0,28.0,True,,0,0,True,14,,30.3
turan_n162,Z12,2647,plane-nt,0,240,6.0,6,203|153,0.0,119.59,2,356,0,15473,357,113.61,352,6.0,6,stair,,1714.0,,,,12,12,0,,0,27.0,True,,0,0,True,57,,120.3
turan_n162,Z12,2647,strip-nt,0,60,9.191,13,210,0.0,29.56,1,210,0,2555,211,13.03,207,9.191,13,strip,0,2587.0,,0,1,20,16,0,,0,31.0,True,,0,0,True,13,,30.3
turan_n162,Z12,2647,strip-nt,0,240,6.0,6,210|75,0.01,119.61,2,285,0,19194,286,94.54,280,6.0,6,strip,0,1739.0,,0,1,17,12,0,,0,25.0,True,,0,0,True,35,,120.3
turan_n162,Z12,2647,arm+strip-nt,0,60,6.0,6,181,0.0,29.63,1,181,0,1988,182,10.26,178,6.0,6,strip,0,2075.0,162,0,1,15,12,0,,0,24.0,True,,0,0,True,32,,30.3
turan_n162,Z12,2647,arm+strip-nt,0,240,6.0,6,181,0.0,119.35,1,181,0,13314,182,8.76,178,6.0,6,strip,0,2075.0,162,0,1,15,12,0,,0,24.0,True,,0,0,True,32,,120.3
ws_n486,Z12,17188,plane,0,60,2.541,8,768,5.24,24.3,1,768,0,311,769,21.6,673,3.733,21,stair,,2466.0,,,,24,26,147,,201,34.0,False,0,25,46,False,297,,60.0
ws_n486,Z12,17188,strip,0,60,2.484,8,512,5.95,23.65,1,512,0,45,513,11.95,261,3.708,17,strip,110,2763.0,,55,2,23,24,121,,216,26.0,False,0,39,43,False,223,,60.1
ws_n486,Z12,17188,arm+strip,0,60,2.504,8,412,5.73,23.28,1,412,0,73,413,3.2,45,3.883,20,strip,129,4837.0,765,63,2,24,24,135,,172,22.0,False,0,53,46,False,193,,60.1
ws_n486,Z12,17188,plane-nt,0,60,3.745,17,543,5.99,23.0,1,543,0,113,544,18.9,414,3.745,17,stair,,2578.0,,,,23,26,131,,223,25.0,False,,41,52,False,206,,31.2
ws_n486,Z12,17188,strip-nt,0,60,3.708,17,509,5.53,24.0,1,509,0,45,510,11.52,261,3.708,17,strip,110,2763.0,,55,2,23,24,121,,216,26.0,False,,39,43,False,222,,31.9
ws_n486,Z12,17188,arm+strip-nt,0,60,3.883,20,451,6.09,23.48,1,451,0,75,452,3.12,45,3.883,20,strip,129,4837.0,765,63,2,24,24,135,,172,22.0,False,,53,46,False,212,,31.3
grid_200,Z12,1590,plane,0,60,1.33,3,535|269|118,0.15,29.38,3,922,0,3130,923,26.63,823,1.965,5,stair,,240.0,,,,15,16,0,,0,8.0,True,1,0,0,True,346,,60.0
grid_200,Z12,1590,strip,0,60,1.14,2,476|64|6,0.15,29.41,3,546,0,3103,547,15.53,462,1.965,7,strip,0,321.0,,0,1,23,11,0,,0,10.0,True,0,0,0,True,202,,60.0
grid_200,Z12,1590,arm+strip,0,60,1.235,2,322|41|2,0.08,29.56,3,365,0,3592,366,10.34,308,1.76,5,strip,0,758.0,213,0,1,22,12,0,,0,10.0,True,0,0,0,True,139,,60.0
grid_200,Z12,1590,plane-nt,0,60,1.965,5,535|269|158,0.23,29.14,3,962,0,3287,963,26.57,823,1.965,5,stair,,240.0,,,,15,16,0,,0,8.0,True,,0,0,True,363,,30.0
grid_200,Z12,1590,strip-nt,0,60,1.965,7,476|56,0.28,29.3,2,532,0,2808,533,18.73,462,1.965,7,strip,0,321.0,,0,1,23,11,0,,0,10.0,True,,0,0,True,195,,30.1
grid_200,Z12,1590,arm+strip-nt,0,60,1.76,5,322|38,0.15,29.41,2,360,0,2990,361,20.34,308,1.76,5,strip,0,758.0,213,0,1,22,12,0,,0,10.0,True,,0,0,True,136,,30.1
