cell,arm,seed,final_acl,rounds,time,diag
K100,arrange,0,14.64,10,37.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 10.069, 'extent_max': 10.069, 'assigned': 100}"
K100,arrange-1shot,0,14.12,1,61.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 15.442, 'extent_max': 15.442, 'assigned': 100}"
K100,arrange,1,14.18,10,27.8,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 10.389, 'extent_max': 10.389, 'assigned': 100}"
K100,arrange-1shot,1,17.82,1,28.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 15.442, 'extent_max': 15.442, 'assigned': 100}"
K100,arrange,2,14.99,10,32.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 9.71, 'extent_max': 9.71, 'assigned': 100}"
K100,arrange-1shot,2,15.65,1,40.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 15.442, 'extent_max': 15.442, 'assigned': 100}"
K140,arrange,0,20.407,10,62.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 26.0, 'extent_max': 26.0, 'assigned': 140}"
K140,arrange-1shot,0,19.871,1,44.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 13.025, 'extent_max': 13.025, 'assigned': 140}"
K140,arrange,1,21.186,10,52.3,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 14.143, 'extent_max': 14.143, 'assigned': 140}"
K140,arrange-1shot,1,19.879,1,28.7,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 14.788, 'extent_max': 14.788, 'assigned': 140}"
K140,arrange,2,19.757,10,60.2,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 13.087, 'extent_max': 13.087, 'assigned': 140}"
K140,arrange-1shot,2,19.314,1,30.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 13.503, 'extent_max': 13.503, 'assigned': 140}"
ws_n486,arrange,0,3.255,10,16.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 7.201, 'extent_max': 26.52, 'assigned': 0}"
ws_n486,arrange-1shot,0,3.523,1,6.4,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 6.016, 'extent_max': 16.787, 'assigned': 0}"
ws_n486,arrange,1,3.333,10,15.0,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 6.993, 'extent_max': 17.585, 'assigned': 0}"
ws_n486,arrange-1shot,1,4.13,1,6.1,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 6.799, 'extent_max': 19.891, 'assigned': 0}"
ws_n486,arrange,2,3.634,10,17.9,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 6.944, 'extent_max': 18.591, 'assigned': 0}"
ws_n486,arrange-1shot,2,3.998,1,7.6,"{'mu_total': 0.0, 'mu_stale_frac': 0.0, 'extent_mean': 6.248, 'extent_max': 16.071, 'assigned': 0}"
