cell,fabric,gid,input_arm,seed,input_acl,input_max,ball_acl,ball_max,ball_tried,ball_accepted,ball_sweeps,ball_wall,grind_acl,grind_max,grind_wall,wall
K100,Z12,,stock,0,10.04,14,9.95,14,28,4,1,30.5,10.01,14,11.8,84.6
K100,Z12,,stock,1,10.71,16,10.34,16,30,11,1,30.1,10.64,15,16.2,74.8
K100,Z12,,stock,2,10.08,14,9.91,14,28,7,1,30.2,9.88,13,30.8,97.6
K100,Z12,,attract,0,7.79,10,7.79,10,27,0,1,30.1,7.79,10,14.2,60.3
K100,Z12,,attract,1,7.79,10,7.79,10,28,0,1,30.4,7.79,10,16.4,63.9
K100,Z12,,attract,2,7.79,10,7.79,10,28,0,1,30.1,7.79,10,16.5,64.6
K140,Z12,,stock,0,16.893,27,16.3,27,34,19,1,30.4,16.864,27,28.7,119.9
K140,Z12,,stock,1,,,,,,,,,,,,63.7
K140,Z12,,stock,2,16.586,27,15.979,27,32,14,1,30.2,16.564,27,23.6,115.5
K140,Z12,,attract,0,10.521,12,10.507,12,23,2,1,30.2,10.521,12,32.7,110.4
K140,Z12,,attract,1,10.521,12,10.507,12,23,2,1,30.1,10.521,12,30.2,111.1
K140,Z12,,attract,2,10.521,12,10.5,12,24,3,1,30.3,10.521,12,31.1,112.3
ER100_d10,Z12,,stock,0,5.0,9,4.83,9,147,15,2,30.0,4.98,9,0.9,34.1
ER100_d10,Z12,,stock,1,5.07,10,4.85,10,154,15,2,30.0,4.48,9,1.7,33.3
ER100_d10,Z12,,stock,2,4.85,9,4.6,9,152,17,2,30.0,4.48,8,1.7,33.4
ER100_d10,Z12,,attract,0,4.68,8,4.52,8,145,15,2,30.0,4.69,8,0.8,37.7
ER100_d10,Z12,,attract,1,4.78,8,4.63,8,152,12,2,30.0,4.79,8,1.2,37.3
ER100_d10,Z12,,attract,2,4.97,9,4.74,8,147,21,2,30.1,4.97,9,0.7,35.1
turan_n162,Z12,2647,stock,0,10.543,16,9.728,16,44,35,1,30.2,10.5,16,17.8,71.9
turan_n162,Z12,2647,stock,1,13.963,25,11.883,23,55,50,1,30.2,14.148,23,21.1,86.1
turan_n162,Z12,2647,stock,2,11.537,21,10.21,18,44,38,1,30.2,11.525,21,13.3,86.0
turan_n162,Z12,2647,attract,0,6.772,8,6.728,8,38,7,1,30.2,6.759,8,22.7,90.1
turan_n162,Z12,2647,attract,1,6.772,8,6.735,8,39,6,1,30.3,6.772,8,15.4,75.1
turan_n162,Z12,2647,attract,2,6.802,8,6.728,8,38,11,1,30.4,6.784,8,31.5,106.5
spin_glass_n163,Z12,37309,stock,0,17.479,29,17.098,29,91,16,1,30.0,17.466,29,9.9,100.8
spin_glass_n163,Z12,37309,stock,1,17.687,29,17.018,29,90,20,1,30.1,17.656,29,8.7,99.2
spin_glass_n163,Z12,37309,stock,2,17.129,27,16.546,26,89,22,1,30.1,17.117,27,8.5,99.1
spin_glass_n163,Z12,37309,attract,0,12.006,17,11.982,17,67,2,1,30.1,12.0,17,10.4,62.8
spin_glass_n163,Z12,37309,attract,1,12.012,17,11.982,17,67,3,1,30.1,12.012,17,11.2,61.2
spin_glass_n163,Z12,37309,attract,2,12.031,16,11.939,16,66,8,1,30.0,12.031,16,10.0,66.2
regular_n316,Z12,13096,stock,0,3.364,9,3.215,10,385,38,2,30.0,3.193,8,1.0,33.1
regular_n316,Z12,13096,stock,1,3.411,10,3.297,9,474,33,2,30.0,3.408,10,0.4,32.7
regular_n316,Z12,13096,stock,2,3.291,9,3.161,9,412,35,2,30.0,3.253,9,0.4,33.3
regular_n316,Z12,13096,attract,0,2.854,7,2.734,7,410,31,2,30.0,2.832,7,0.2,41.9
regular_n316,Z12,13096,attract,1,2.601,6,2.551,6,411,15,2,30.0,2.576,6,0.3,42.7
regular_n316,Z12,13096,attract,2,2.611,6,2.563,6,415,14,2,30.0,2.608,6,0.2,42.1
ws_n486,Z12,17188,stock,0,3.233,11,3.093,11,559,54,2,30.0,3.235,10,0.6,33.5
ws_n486,Z12,17188,stock,1,3.173,13,3.037,13,529,50,2,30.0,3.041,12,0.8,33.9
ws_n486,Z12,17188,stock,2,2.821,11,2.724,11,476,40,1,30.0,2.798,10,0.5,34.9
ws_n486,Z12,17188,attract,0,2.595,8,2.51,8,518,35,2,30.0,2.576,8,0.7,63.5
ws_n486,Z12,17188,attract,1,2.644,10,2.566,10,516,31,2,30.0,2.465,9,1.4,64.5
ws_n486,Z12,17188,attract,2,2.759,10,2.648,10,481,47,1,30.0,2.759,10,0.4,63.0
grid_200,Z12,1590,stock,0,1.04,2,1.04,2,198,0,1,15.8,1.04,2,0.0,16.1
grid_200,Z12,1590,stock,1,1.155,2,1.155,2,197,0,1,15.7,1.115,2,0.1,16.3
grid_200,Z12,1590,stock,2,1.05,2,1.05,2,196,0,1,15.7,1.05,2,0.0,15.9
grid_200,Z12,1590,attract,0,1.455,3,1.435,3,396,4,2,30.0,1.45,3,0.1,33.0
grid_200,Z12,1590,attract,1,1.405,3,1.355,3,395,5,2,30.0,1.4,3,0.1,33.2
grid_200,Z12,1590,attract,2,1.37,3,1.365,3,392,1,2,30.0,1.38,3,0.1,33.2
honeycomb_200,Z12,32393,stock,0,1.14,2,1.14,2,195,0,1,12.8,1.14,2,0.0,13.1
honeycomb_200,Z12,32393,stock,1,1.11,2,1.11,2,192,0,1,12.4,1.105,2,0.1,13.0
honeycomb_200,Z12,32393,stock,2,1.23,3,1.225,3,398,1,2,26.7,1.225,3,0.1,27.0
honeycomb_200,Z12,32393,attract,0,1.915,4,1.91,4,446,1,2,30.0,1.91,4,0.1,32.9
honeycomb_200,Z12,32393,attract,1,1.775,3,1.775,3,255,0,1,19.2,1.775,3,0.1,22.3
honeycomb_200,Z12,32393,attract,2,1.73,3,1.73,3,256,0,1,19.3,1.73,3,0.1,22.5
king_graph_196,Z12,32622,stock,0,1.888,4,1.791,4,209,17,2,30.0,1.694,4,0.2,30.8
king_graph_196,Z12,32622,stock,1,1.872,4,1.781,4,199,18,2,30.0,1.872,4,0.1,31.4
king_graph_196,Z12,32622,stock,2,1.52,3,1.52,3,191,0,1,29.0,1.515,3,0.1,30.1
king_graph_196,Z12,32622,attract,0,2.357,5,2.122,5,196,36,1,30.0,2.378,5,0.3,34.4
king_graph_196,Z12,32622,attract,1,2.194,5,2.026,5,193,30,1,30.0,2.01,4,0.5,34.6
king_graph_196,Z12,32622,attract,2,2.531,6,2.301,6,195,33,1,30.0,2.306,5,0.7,34.4
K100,P16,,stock,0,13.2,22,12.99,22,31,9,1,30.0,13.2,22,11.8,102.7
K100,P16,,stock,1,13.96,21,13.39,21,32,13,1,30.4,13.87,21,15.5,106.3
K100,P16,,stock,2,13.78,21,13.46,21,30,11,1,30.4,13.77,21,14.2,105.1
K100,P16,,attract,0,12.68,20,12.64,20,30,3,1,30.4,12.67,20,18.3,72.7
K100,P16,,attract,1,13.27,20,13.12,20,29,5,1,30.0,13.37,20,20.8,112.0
K100,P16,,attract,2,13.61,21,13.46,19,31,5,1,30.5,13.75,20,22.6,75.1
turan_n162,P16,2647,stock,0,9.136,10,9.136,10,39,0,1,30.0,9.136,10,19.5,75.2
turan_n162,P16,2647,stock,1,7.815,8,7.815,8,38,0,1,30.4,7.815,8,26.8,94.4
turan_n162,P16,2647,stock,2,7.815,8,7.815,8,37,0,1,30.1,7.815,8,32.4,103.8
turan_n162,P16,2647,attract,0,7.815,8,7.815,8,37,0,1,30.2,7.815,8,31.4,108.0
turan_n162,P16,2647,attract,1,8.0,8,8.0,8,37,0,1,30.4,8.0,8,32.7,115.6
turan_n162,P16,2647,attract,2,8.0,8,8.0,8,38,0,1,30.3,8.0,8,32.1,122.4
ws_n486,P16,17188,stock,0,4.455,17,4.158,16,702,87,2,30.0,3.833,16,2.1,35.2
ws_n486,P16,17188,stock,1,3.617,15,3.477,15,612,49,2,30.0,3.619,15,0.6,34.6
ws_n486,P16,17188,stock,2,3.584,13,3.461,13,604,48,2,30.0,3.593,13,0.7,34.9
