bars_acc,bars_acl,bars_fallback_acc,bars_fallback_acl,bars_fallback_tried,bars_fallback_wall,bars_tried,bars_wall,cell,fabric,gid,input_acl,router_acc,router_acl,router_tried,router_wall,seed,wall
17,10.302,30,9.84,56,30.3,578,30.0,turan_n162,Z12,2647,10.543,25,9.914,33,30.4,0,126.9
13,13.593,46,12.309,73,30.3,450,12.1,turan_n162,Z12,2647,13.963,40,12.488,45,30.3,1,124.9
6,11.426,34,10.352,84,30.0,450,11.3,turan_n162,Z12,2647,11.537,33,10.37,38,30.2,2,127.8
0,17.036,9,16.714,28,30.1,131,4.4,K140,Z12,,17.036,9,16.714,28,30.0,0,125.9
,,,,,,,,K140,Z12,,,,,,,1,64.4
0,17.593,10,17.214,27,30.5,131,4.2,K140,Z12,,17.593,10,17.214,27,30.2,2,127.8
1,18.012,15,17.595,79,30.0,292,3.5,spin_glass_n163,Z12,37309,18.049,15,17.595,83,30.1,0,124.1
0,17.417,22,16.871,77,30.2,146,1.7,spin_glass_n163,Z12,37309,17.417,21,16.877,80,30.0,1,122.0
0,17.613,18,17.294,78,30.0,146,1.8,spin_glass_n163,Z12,37309,17.613,18,17.294,79,30.2,2,122.4
0,1.14,0,1.14,195,16.7,195,0.4,honeycomb_200,Z12,32393,1.14,0,1.14,195,15.9,0,33.5
0,1.11,0,1.11,192,11.3,192,0.4,honeycomb_200,Z12,32393,1.11,0,1.11,192,15.9,1,28.4
1,1.225,1,1.225,398,24.6,398,0.9,honeycomb_200,Z12,32393,1.23,1,1.225,377,30.0,2,55.8
4,1.867,16,1.791,281,30.0,576,1.4,king_graph_196,Z12,32622,1.888,15,1.811,176,30.0,0,62.1
2,1.862,19,1.765,257,30.0,382,1.0,king_graph_196,Z12,32622,1.872,17,1.786,173,30.0,1,62.8
0,1.52,0,1.52,191,24.1,191,0.5,king_graph_196,Z12,32622,1.52,0,1.52,167,30.0,2,55.8
0,13.35,8,13.06,24,30.6,93,0.4,K100,P16,,13.35,8,13.06,25,30.2,0,122.2
0,14.62,6,14.41,24,30.1,93,0.4,K100,P16,,14.62,7,14.4,25,30.2,1,121.1
0,13.99,5,13.83,24,30.1,93,0.4,K100,P16,,13.99,6,13.8,26,30.6,2,122.0
0,9.136,0,9.136,31,30.1,150,0.5,turan_n162,P16,2647,9.136,0,9.136,32,30.2,0,95.9
0,7.815,0,7.815,41,30.4,150,0.6,turan_n162,P16,2647,7.815,0,7.815,29,30.1,1,115.8
0,7.815,0,7.815,31,30.3,150,0.5,turan_n162,P16,2647,7.815,0,7.815,30,30.2,2,116.4
0,4.455,80,4.175,525,30.0,452,0.6,ws_n486,P16,17188,4.455,81,4.173,546,30.0,0,64.4
0,3.617,46,3.486,441,30.0,459,0.6,ws_n486,P16,17188,3.617,46,3.486,439,30.0,1,65.7
0,3.584,42,3.473,418,30.0,456,0.6,ws_n486,P16,17188,3.584,42,3.473,413,30.0,2,65.9
