n,seed,legal_acl,pol_acl,t_legal,t_pol
100,0,9.1,5.84,0.44,3.1
100,1,9.02,5.65,0.45,4.21
100,2,9.13,6.46,0.51,1.88
100,3,8.57,6.05,0.69,2.88
100,4,9.58,6.21,0.39,3.67
100,5,9.27,5.7,0.49,4.83
100,6,9.66,5.77,0.5,3.52
100,7,9.42,5.79,0.45,3.08
100,8,9.28,5.8,0.46,5.15
100,9,10.17,5.82,0.52,5.43
100,10,9.17,5.91,0.44,3.6
100,11,9.37,6.71,0.39,1.89
100,12,9.43,5.94,0.41,2.85
100,13,9.45,6.15,0.51,3.16
100,14,10.13,5.33,0.48,4.07
100,15,9.66,6.06,0.5,1.88
100,full-0,,5.66,,5.54
100,full-1,,5.51,,4.58
100,full-2,,5.84,,3.79
100,full-3,,6.18,,3.73
140,0,13.2071,7.9929,0.49,9.52
140,1,14.2214,9.6571,0.66,3.99
140,2,14.4143,7.6857,0.75,11.33
140,3,12.5571,8.0357,0.6,12.56
140,4,13.0857,8.5071,0.91,4.48
140,5,14.0071,8.9071,0.56,6.02
140,6,14.7643,7.7571,0.7,10.64
140,7,13.3857,8.2214,0.67,11.24
140,8,15.45,7.9286,0.64,10.48
140,9,12.3571,8.5357,0.61,6.43
140,10,13.0786,8.2357,0.82,7.89
140,11,13.55,8.6214,0.73,6.38
140,12,14.3357,9.25,1.08,5.37
140,13,12.8643,8.3643,0.6,7.02
140,14,12.15,8.1,0.52,9.39
140,15,13.3,7.9429,0.65,9.21
140,full-0,,8.1786,,11.68
140,full-1,,7.8929,,10.21
140,full-2,,7.4286,,13.63
140,full-3,,8.5429,,6.06
180,0,15.6722,9.4444,0.8,13.47
180,1,14.95,10.1944,0.77,12.89
180,2,15.6889,9.15,0.75,15.15
180,3,16.3056,9.6944,0.82,11.52
180,4,16.7389,10.6278,0.78,9.28
180,5,16.3944,9.4611,0.91,17.67
180,6,16.2667,10.3667,0.69,9.12
180,7,16.2,9.1833,0.85,16.71
180,8,16.1056,10.6278,1.06,6.72
180,9,16.2389,10.6444,0.73,8.71
180,10,15.8833,9.9667,0.72,12.99
180,11,16.2056,9.6556,0.88,19.27
180,12,16.0889,10.4667,0.73,8.8
180,13,15.3389,9.9556,0.87,12.94
180,14,16.3333,9.0944,0.97,16.5
180,15,14.2389,10.1111,1.45,11.93
180,full-0,,9.8778,,17.07
180,full-1,,10.3667,,7.57
180,full-2,,9.7389,,12.94
180,full-3,,10.3333,,10.17
