cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,seat_acc,trans_acc,passes,fmiss,traj,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,seats,0,7.35,8,0.0,29.95,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,63.9
K100,Z12,,seats,1,7.35,8,0.0,27.7,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,63.9
K100,Z12,,seats,2,7.35,8,0.0,29.78,5,0,6,12,1|0|5|1|1|0,23.0,True,0,0,0,True,62.3
K100,Z12,,brick,0,7.35,8,0.0,22.98,8,1,5,23,2|0|5|3|0,23.0,True,0,0,0,True,64.2
K100,Z12,,brick,1,7.35,8,0.0,24.9,8,1,5,23,2|0|5|3|0,23.0,True,0,0,0,True,62.9
K100,Z12,,brick,2,7.35,8,0.0,26.94,8,1,5,23,2|0|5|3|0,23.0,True,0,0,0,True,63.8
K140,Z12,,seats,0,9.957,11,0.0,14.96,0,0,2,1,0|0,31.0,True,0,0,0,True,68.1
K140,Z12,,seats,1,9.957,11,0.0,13.56,0,0,2,1,0|0,31.0,True,0,0,0,True,67.8
K140,Z12,,seats,2,9.957,11,0.0,14.05,0,0,2,1,0|0,31.0,True,0,0,0,True,60.9
K140,Z12,,brick,0,9.986,11,0.0,28.49,0,1,4,11,3|1|0|0,29.0,True,0,0,0,True,67.2
K140,Z12,,brick,1,9.986,11,0.0,29.82,0,1,4,11,3|1|0|0,29.0,True,0,0,0,True,69.3
K140,Z12,,brick,2,9.986,11,0.0,29.88,0,1,4,11,3|1|0|0,29.0,True,0,0,0,True,65.8
ER100_d10,Z12,,seats,0,4.96,8,0.07,28.4,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,17.0,False,0,2,3,False,60.1
ER100_d10,Z12,,seats,1,4.96,8,0.06,25.37,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,17.0,False,0,2,3,False,60.1
ER100_d10,Z12,,seats,2,4.72,9,0.08,26.04,78,22,12,71,24|14|6|2|0|60|27|16|10|6|1|0,17.0,False,0,2,3,False,60.0
ER100_d10,Z12,,brick,0,4.46,7,0.08,15.15,22,24,8,57,27|11|4|1|0|33|2|0,18.0,False,0,3,3,False,60.0
ER100_d10,Z12,,brick,1,4.96,9,0.11,16.68,22,24,8,57,27|11|4|1|0|33|2|0,18.0,False,0,3,3,False,60.0
ER100_d10,Z12,,brick,2,4.59,8,0.09,14.57,22,24,8,57,27|11|4|1|0|33|2|0,18.0,False,0,3,3,False,60.0
turan_n162,Z12,2647,seats,0,6.0,6,0.0,30.12,43,13,3,6,26|0|44,26.0,True,0,0,32,False,60.8
turan_n162,Z12,2647,seats,1,6.0,6,0.0,29.79,62,0,3,29,8|0|62,21.0,True,0,0,62,False,65.3
turan_n162,Z12,2647,seats,2,6.0,6,0.0,30.06,128,13,3,8,26|0|129,26.0,True,0,0,24,False,63.6
turan_n162,Z12,2647,seats,3,6.0,6,0.0,30.23,128,13,3,8,26|0|129,26.0,True,0,0,24,False,60.5
turan_n162,Z12,2647,seats,4,6.0,6,0.01,29.92,128,13,3,8,26|0|129,26.0,True,0,0,24,False,63.3
turan_n162,Z12,2647,seats,5,6.0,6,0.01,29.75,62,0,3,29,8|0|62,21.0,True,0,0,62,False,62.2
turan_n162,Z12,2647,seats,6,6.0,6,0.0,30.16,128,13,3,8,26|0|129,26.0,True,0,0,24,False,64.1
