cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.0,29.58,7,153|36|3|1|3|1|3,,199,0,3257,1278,3,10.74,428,0,0,0,1152.0,23.0,True,0,0,0,True,62.6
K100,Z12,,plane,1,7.26,8,0.0,29.75,6,153|36|3|1|3|1,,196,0,2968,1188,3,10.69,428,0,0,0,1152.0,23.0,True,0,0,0,True,67.3
K100,Z12,,plane,2,7.26,8,0.0,29.75,7,153|36|3|1|3|1|3,,199,0,3372,1313,3,8.55,428,0,0,0,1152.0,23.0,True,0,0,0,True,64.1
K100,Z12,,carry,0,7.26,8,0.0,29.62,1,138,,138,0,6265,139,0,1.65,98,0,4,0,1153.0,21.0,True,0,0,0,True,67.7
K100,Z12,,carry,1,7.26,8,0.01,29.57,1,138,,138,0,7271,139,0,1.96,98,0,4,0,1153.0,21.0,True,0,0,0,True,61.9
K100,Z12,,carry,2,7.26,8,0.0,29.81,1,138,,138,0,6107,139,0,1.94,98,0,4,0,1153.0,21.0,True,0,0,0,True,66.4
K100,Z12,,carry-triv,0,7.26,8,0.03,29.62,1,0,,0,0,7995,1,0,0.0,0,0,0,0,1152.0,24.0,True,0,0,0,True,63.8
K100,Z12,,carry-triv,1,7.26,8,0.0,29.41,1,0,,0,0,6021,1,0,0.0,0,0,0,0,1152.0,24.0,True,0,0,0,True,65.8
K100,Z12,,carry-triv,2,7.26,8,0.0,29.78,1,0,,0,0,6254,1,0,0.0,0,0,0,0,1152.0,24.0,True,0,0,0,True,64.3
K100,Z12,,carry-audit,0,7.26,8,0.01,29.78,1,64,,64,1853,2097,1918,0,1.72,118,0,0,0,1153.0,20.0,True,0,0,0,True,64.0
K100,Z12,,carry-audit,1,7.26,8,0.0,29.84,1,64,,64,1408,1586,1473,0,1.99,118,0,0,0,1153.0,20.0,True,0,0,0,True,62.7
K100,Z12,,carry-audit,2,7.26,8,0.0,29.8,1,64,,64,1491,1692,1556,0,2.43,118,0,0,0,1153.0,20.0,True,0,0,0,True,64.2
K140,Z12,,plane,0,9.764,10,0.01,29.77,3,274|34|36,,343,0,1527,961,9,15.56,506,0,0,0,2314.0,34.0,True,0,0,0,True,60.8
K140,Z12,,plane,1,9.764,10,0.01,29.61,2,274|34,,307,0,1249,788,9,16.28,506,0,0,0,2314.0,34.0,True,0,0,0,True,68.3
K140,Z12,,plane,2,9.764,10,0.02,29.63,2,274|33,,306,0,1076,760,9,18.76,506,0,0,0,2314.0,34.0,True,0,0,0,True,63.4
K140,Z12,,carry,0,9.757,10,0.01,29.54,1,188,,188,0,3020,189,0,4.83,159,0,3,0,2312.0,31.0,True,0,0,0,True,81.5
K140,Z12,,carry,1,9.757,10,0.0,29.52,1,188,,188,0,3129,189,0,5.65,159,0,3,0,2312.0,31.0,True,0,0,0,True,61.2
K140,Z12,,carry,2,9.757,10,0.0,29.8,1,188,,188,0,3706,189,0,4.61,159,0,3,0,2312.0,31.0,True,0,0,0,True,61.4
K140,Z12,,carry-triv,0,9.757,10,0.0,29.64,1,0,,0,0,4093,1,0,0.0,0,0,0,0,2312.0,34.0,True,0,0,0,True,75.1
K140,Z12,,carry-triv,1,9.757,10,0.0,29.68,1,0,,0,0,3973,1,0,0.0,0,0,0,0,2312.0,34.0,True,0,0,0,True,69.3
K140,Z12,,carry-triv,2,9.757,10,0.0,29.69,1,0,,0,0,4816,1,0,0.0,0,0,0,0,2312.0,34.0,True,0,0,0,True,78.0
K140,Z12,,carry-audit,0,9.757,10,0.01,29.63,1,120,,120,1091,1175,1212,0,6.71,208,0,0,0,2312.0,34.0,True,0,0,0,True,72.9
K140,Z12,,carry-audit,1,9.757,10,0.0,29.76,1,120,,120,1001,1085,1122,0,6.63,208,0,0,0,2312.0,34.0,True,0,0,0,True,71.1
K140,Z12,,carry-audit,2,9.757,10,0.0,29.77,1,120,,120,808,892,929,0,6.75,208,0,0,0,2312.0,34.0,True,0,0,0,True,66.9
ER100_d10,Z12,,plane,0,4.81,9,0.11,29.88,12,316|294|296|323|307|301|292|320|321|336|256|135,,3486,0,2512,5041,56,0.03,5,0,0,0,858.0,20.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,1,5.49,10,0.13,29.45,9,316|294|296|323|307|301|292|320|319,,2760,0,1981,4008,40,0.08,5,0,0,0,858.0,20.0,True,0,0,0,True,60.0
ER100_d10,Z12,,plane,2,4.98,9,0.08,29.82,13,316|294|296|323|307|301|292|320|321|336|256|306,,3714,0,2687,5350,57,0.03,5,0,0,0,858.0,20.0,True,0,0,0,True,60.2
ER100_d10,Z12,,carry,0,4.56,8,0.06,16.4,6,375|103|39|71|4|0,,592,0,8708,593,0,5.39,474,0,202,0,651.0,17.0,True,0,0,0,True,60.0
