cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,passes,traj,pen,int_acc,int_dec,int_noop,readouts,mono_swaps,bm_wall,bm_ro,hier_acc,pair_acc,proj_pen,plane_stair,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,plane,0,7.26,8,0.02,29.68,9,153|36|3|1|3|1|3|1|1,,201,0,4031,1549,3,6.86,428,0,0,0,1152.0,23.0,True,0,0,0,True,62.1
K100,Z12,,plane,1,7.26,8,0.02,29.39,9,153|36|3|1|3|1|3|1|3,,203,0,4205,1588,3,10.52,428,0,0,0,1152.0,23.0,True,0,0,0,True,64.1
K100,Z12,,plane,2,7.26,8,0.0,29.69,9,153|36|3|1|3|1|3|1|3,,203,0,4402,1666,3,7.5,428,0,0,0,1152.0,23.0,True,0,0,0,True,62.4
K100,Z12,,carry,0,7.27,8,0.01,29.52,1,172,,172,0,6377,173,0,5.69,172,0,172,0,1153.0,20.0,True,0,0,0,True,61.8
K100,Z12,,carry,1,7.27,8,0.01,29.3,1,172,,172,0,8270,173,0,4.66,172,0,172,0,1153.0,20.0,True,0,0,0,True,63.5
K100,Z12,,carry,2,7.27,8,0.01,29.01,1,172,,172,0,8509,173,0,2.79,172,0,172,0,1153.0,20.0,True,0,0,0,True,60.9
K100,Z12,,carry-audit,0,7.27,8,0.0,29.42,1,92,,92,2032,2055,2125,0,4.2,185,0,92,0,1153.0,20.0,True,0,0,0,True,62.3
K100,Z12,,carry-audit,1,7.27,8,0.0,29.64,1,92,,92,2174,2197,2267,0,3.29,185,0,92,0,1153.0,20.0,True,0,0,0,True,65.6
K100,Z12,,carry-audit,2,7.27,8,0.0,29.39,1,92,,92,2148,2170,2241,0,3.51,185,0,92,0,1153.0,20.0,True,0,0,0,True,61.5
K140,Z12,,plane,0,9.764,10,0.01,29.59,3,274|34|8,,315,0,1390,897,9,15.87,506,0,0,0,2314.0,34.0,True,0,0,0,True,69.2
K140,Z12,,plane,1,9.764,10,0.01,29.6,3,274|34|53,,360,0,1888,1164,9,12.88,506,0,0,0,2314.0,34.0,True,0,0,0,True,71.5
K140,Z12,,plane,2,9.764,10,0.0,29.69,2,274|34,,307,0,1328,852,9,19.22,506,0,0,0,2314.0,34.0,True,0,0,0,True,78.0
K140,Z12,,carry,0,9.757,10,0.01,28.61,1,236,,236,0,4815,237,0,4.5,236,0,236,0,2312.0,26.0,True,0,0,0,True,63.2
K140,Z12,,carry,1,9.757,10,0.01,29.34,1,236,,236,0,4934,237,0,5.09,236,0,236,0,2312.0,26.0,True,0,0,0,True,61.8
K140,Z12,,carry,2,9.757,10,0.0,29.63,1,236,,236,0,5313,237,0,4.78,236,0,236,0,2312.0,26.0,True,0,0,0,True,64.0
K140,Z12,,carry-audit,0,9.757,10,0.0,29.68,1,141,,141,1200,1534,1342,0,7.54,246,0,141,0,2312.0,26.0,True,0,0,0,True,61.4
K140,Z12,,carry-audit,1,9.757,10,0.01,29.65,1,141,,141,1058,1317,1200,0,8.07,246,0,141,0,2312.0,26.0,True,0,0,0,True,64.0
K140,Z12,,carry-audit,2,9.757,10,0.0,29.71,1,141,,141,1011,1244,1153,0,6.29,246,0,141,0,2312.0,26.0,True,0,0,0,True,61.6
ER100_d10,Z12,,plane,0,4.81,9,0.21,28.99,16,316|294|296|323|307|301|292|320|321|336|256|306,,4746,0,3414,6848,79,0.24,5,0,0,0,858.0,20.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,1,5.49,10,0.2,29.09,14,316|294|296|323|307|301|292|320|321|336|256|306,,4129,0,2977,5942,59,0.66,5,0,0,0,858.0,20.0,True,0,0,0,True,60.1
ER100_d10,Z12,,plane,2,4.98,9,0.12,29.22,16,316|294|296|323|307|301|292|320|321|336|256|306,,4799,0,3460,6936,79,0.35,5,0,0,0,858.0,20.0,True,0,0,0,True,60.1
ER100_d10,Z12,,carry,0,4.83,8,0.05,25.16,7,471|116|140|87|11|1|0,,826,0,10024,827,0,11.29,500,0,567,0,637.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry,1,4.17,7,0.05,21.39,7,471|116|140|87|11|1|0,,826,0,10024,827,0,5.67,500,0,567,0,637.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry,2,4.84,8,0.23,23.65,7,471|116|140|87|11|1|0,,826,0,10024,827,0,9.74,500,0,567,0,637.0,16.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry-audit,0,4.24,7,0.07,13.11,3,101|6|0,,107,2769,1774,2877,0,7.98,1847,0,100,0,606.0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,carry-audit,1,4.46,8,0.05,12.77,3,101|6|0,,107,2769,1774,2877,0,7.3,1847,0,100,0,606.0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,carry-audit,2,4.56,8,0.08,11.27,3,101|6|0,,107,2769,1774,2877,0,7.19,1847,0,100,0,606.0,17.0,True,0,0,0,True,60.1
turan_n162,Z12,2647,plane,0,6.228,7,0.0,30.0,4,132|512|143|80,,866,0,2492,934,9,17.68,758,0,0,0,1693.0,26.0,True,0,0,0,True,64.1
turan_n162,Z12,2647,plane,1,6.228,7,0.0,29.92,5,131|92|105|92|20,,440,0,3449,444,0,9.84,199,0,0,0,1694.0,30.0,True,0,0,1,False,63.6
turan_n162,Z12,2647,plane,2,6.228,7,0.0,29.93,3,132|512|124,,767,0,1689,834,9,25.98,758,0,0,0,1693.0,26.0,True,0,0,0,True,64.2
turan_n162,Z12,2647,plane,3,6.228,7,0.0,29.93,4,132|512|143|60,,846,0,2290,914,9,19.07,758,0,0,0,1693.0,26.0,True,0,0,0,True,63.1
turan_n162,Z12,2647,plane,4,6.228,7,0.0,29.97,4,132|512|143|88,,874,0,2542,942,9,18.03,758,0,0,0,1693.0,26.0,True,0,0,0,True,63.7
turan_n162,Z12,2647,plane,5,6.228,7,0.0,29.95,7,131|92|105|92|55|107|66,,648,0,5433,652,0,7.42,199,0,0,0,1694.0,30.0,True,0,0,1,False,62.5
turan_n162,Z12,2647,plane,6,6.228,7,0.0,29.97,4,132|512|143|36,,822,0,2116,890,9,22.15,758,0,0,0,1693.0,26.0,True,0,0,0,True,60.5
turan_n162,Z12,2647,plane,7,6.228,7,0.0,30.03,6,131|92|105|92|55|49,,524,0,4374,528,0,6.91,199,0,0,0,1694.0,30.0,True,0,0,1,False,62.1
turan_n162,Z12,2647,plane,8,6.228,7,0.0,29.94,7,131|92|105|92|55|107|34,,616,0,5178,620,0,7.7,199,0,0,0,1694.0,30.0,True,0,0,1,False,60.4
turan_n162,Z12,2647,plane,9,6.0,6,0.0,29.99,4,132|512|143|69,,855,0,2420,923,9,18.19,758,0,0,0,1693.0,26.0,True,0,0,0,True,63.1
turan_n162,Z12,2647,carry,0,9.031,17,0.0,29.94,1,279,,279,0,5011,280,0,3.77,240,0,279,0,2411.0,31.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,carry,1,8.599,16,0.0,29.93,1,151,,151,0,7376,152,0,1.77,152,0,151,0,2499.0,30.0,True,0,0,0,True,62.9
turan_n162,Z12,2647,carry,2,9.031,17,0.0,29.92,1,281,,281,0,5356,282,0,3.89,240,0,281,0,2411.0,31.0,True,0,0,0,True,60.6
turan_n162,Z12,2647,carry,3,9.099,17,0.0,29.94,1,275,,275,0,4289,276,0,3.81,240,0,275,0,2411.0,31.0,True,0,0,0,True,60.9
turan_n162,Z12,2647,carry,4,9.037,17,0.0,29.96,1,279,,279,0,4956,280,0,4.28,240,0,279,0,2411.0,31.0,True,0,0,0,True,63.8
turan_n162,Z12,2647,carry,5,8.599,16,0.0,29.93,1,151,,151,0,7379,152,0,1.81,152,0,151,0,2499.0,30.0,True,0,0,0,True,63.4
turan_n162,Z12,2647,carry,6,9.043,17,0.0,29.94,1,282,,282,0,5464,283,0,3.76,240,0,282,0,2411.0,31.0,True,0,0,0,True,62.8
turan_n162,Z12,2647,carry,7,8.599,16,0.0,29.9,1,151,,151,0,5269,152,0,3.29,152,0,151,0,2499.0,30.0,True,0,0,0,True,63.2
turan_n162,Z12,2647,carry,8,8.599,16,0.0,29.93,1,151,,151,0,4347,152,0,1.86,152,0,151,0,2499.0,30.0,True,0,0,0,True,65.4
turan_n162,Z12,2647,carry,9,9.21,17,0.0,29.94,1,273,,273,0,4094,274,0,3.94,240,0,273,0,2411.0,31.0,True,0,0,0,True,61.0
turan_n162,Z12,2647,carry-audit,0,9.08,16,0.0,29.92,1,84,,84,1221,405,1306,0,6.9,244,0,84,0,2409.0,28.0,True,0,0,0,True,63.1
turan_n162,Z12,2647,carry-audit,1,8.593,16,0.01,29.83,1,125,,125,114,4200,240,0,7.05,240,0,125,0,2419.0,33.0,True,0,0,0,True,82.5
turan_n162,Z12,2647,carry-audit,2,9.08,16,0.0,29.89,1,84,,84,1309,405,1394,0,7.25,244,0,84,0,2409.0,28.0,True,0,0,0,True,61.2
turan_n162,Z12,2647,carry-audit,3,9.21,16,0.0,29.92,1,84,,84,1293,405,1378,0,8.01,244,0,84,0,2409.0,28.0,True,0,0,0,True,61.1
