cell,fabric,gid,arm,seed,final_acl,max_chain,init_wall,arrange_wall,cl_acc,cl_rev,orient_acc,fold_tried,fold_acc,fold_rev,max_edge_span,mm_skipped,ball_acc,deficit,cmiss,cert,time
K100,Z12,,default,0,7.57,8,0.0,1.65,0,0,0,0,0,0,23.0,True,0,0,0,True,44.6
K100,Z12,,default,1,7.58,8,0.0,1.6,0,0,0,0,0,0,23.0,True,0,0,0,True,46.8
K100,Z12,,default,2,7.59,8,0.0,1.7,0,0,0,0,0,0,23.0,True,0,0,0,True,52.0
K100,Z12,,cens,0,7.57,8,0.0,1.66,0,0,0,0,0,0,23.0,True,0,0,0,True,51.3
K100,Z12,,cens,1,7.58,8,0.0,1.72,0,0,0,0,0,0,23.0,True,0,0,0,True,57.9
K100,Z12,,cens,2,7.59,8,0.0,1.08,0,0,0,0,0,0,23.0,True,0,0,0,True,44.6
K140,Z12,,default,0,9.957,11,0.0,4.44,0,0,0,0,0,0,31.0,True,0,0,0,True,63.5
K140,Z12,,default,1,9.957,11,0.01,3.65,0,0,0,0,0,0,31.0,True,0,0,0,True,60.3
K140,Z12,,default,2,9.957,11,0.0,4.41,0,0,0,0,0,0,31.0,True,0,0,0,True,68.1
K140,Z12,,cens,0,9.957,11,0.0,4.56,0,0,0,0,0,0,31.0,True,0,0,0,True,65.5
K140,Z12,,cens,1,9.957,11,0.0,2.86,0,0,0,0,0,0,31.0,True,0,0,0,True,64.2
K140,Z12,,cens,2,9.957,11,0.0,4.48,0,0,0,0,0,0,31.0,True,0,0,0,True,64.3
ER100_d10,Z12,,default,0,4.57,8,0.1,1.36,3,41,1,0,0,0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,default,1,4.85,8,0.09,1.79,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,default,2,4.69,8,0.06,1.56,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,cens,0,4.57,8,0.06,1.29,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
ER100_d10,Z12,,cens,1,4.85,8,0.06,1.38,3,41,1,0,0,0,17.0,True,0,0,0,True,60.1
ER100_d10,Z12,,cens,2,4.69,8,0.1,1.93,3,41,1,0,0,0,17.0,True,0,0,0,True,60.0
turan_n162,Z12,2647,default,0,6.0,6,0.0,9.45,20,87,1,0,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,default,1,6.0,6,0.0,14.64,19,128,3,0,0,0,28.0,False,0,30,23,False,61.1
turan_n162,Z12,2647,default,2,6.0,6,0.0,9.25,20,87,1,0,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,default,3,6.0,6,0.0,14.17,20,87,1,0,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,default,4,6.0,6,0.0,11.02,20,87,1,0,0,0,24.0,True,0,0,44,False,60.3
turan_n162,Z12,2647,default,5,6.0,6,0.0,9.5,19,128,3,0,0,0,28.0,False,0,30,23,False,60.0
turan_n162,Z12,2647,default,6,6.0,6,0.0,9.37,20,87,1,0,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,default,7,6.0,6,0.0,11.49,19,128,3,0,0,0,28.0,False,0,30,23,False,60.3
turan_n162,Z12,2647,default,8,6.0,6,0.0,14.26,19,128,3,0,0,0,28.0,False,0,30,23,False,60.5
turan_n162,Z12,2647,default,9,6.0,6,0.0,9.21,20,87,1,0,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,cens,0,6.0,6,0.0,10.56,20,87,1,0,0,0,24.0,True,0,0,44,False,60.4
turan_n162,Z12,2647,cens,1,6.0,6,0.0,12.9,19,128,3,0,0,0,28.0,False,0,30,23,False,60.0
turan_n162,Z12,2647,cens,2,6.0,6,0.0,12.96,20,87,1,0,0,0,24.0,True,0,0,44,False,60.1
turan_n162,Z12,2647,cens,3,6.0,6,0.0,12.72,20,87,1,0,0,0,24.0,True,0,0,44,False,60.5
turan_n162,Z12,2647,cens,4,6.0,6,0.0,14.38,20,87,1,0,0,0,24.0,True,0,0,44,False,60.2
