cell,fabric,gid,arm,seed,final_acl,max_chain,cl_acc,cl_rev,stair_E,time
K100,Z12,,stock,0,7.79,10,0,0,1169.0,15.5
K100,Z12,,stock,1,7.79,10,0,0,1169.0,16.8
K100,Z12,,stock,2,7.79,10,0,0,1169.0,18.5
K100,Z12,,cmove,0,7.79,10,0,0,1169.0,15.5
K100,Z12,,cmove,1,7.79,10,0,0,1169.0,17.4
K100,Z12,,cmove,2,7.79,10,0,0,1169.0,18.1
K100,Z12,,adjoint,0,7.79,10,0,0,1169.0,15.0
K100,Z12,,adjoint,1,7.79,10,0,0,1169.0,17.3
K100,Z12,,adjoint,2,7.79,10,0,0,1169.0,17.9
K140,Z12,,stock,0,10.521,12,0,0,2389.0,48.9
K140,Z12,,stock,1,10.521,12,0,0,2389.0,50.2
K140,Z12,,stock,2,10.521,12,0,0,2389.0,51.8
K140,Z12,,cmove,0,10.521,12,0,0,2389.0,49.3
K140,Z12,,cmove,1,10.521,12,0,0,2389.0,52.0
K140,Z12,,cmove,2,10.521,12,0,0,2389.0,53.4
K140,Z12,,adjoint,0,10.521,12,0,0,2389.0,53.9
K140,Z12,,adjoint,1,10.521,12,0,0,2389.0,54.7
K140,Z12,,adjoint,2,10.521,12,0,0,2389.0,54.8
ER100_d10,Z12,,stock,0,4.88,9,0,0,95.9,4.9
ER100_d10,Z12,,stock,1,4.98,9,0,0,95.9,3.1
ER100_d10,Z12,,stock,2,4.69,8,0,0,95.9,6.5
ER100_d10,Z12,,cmove,0,4.88,9,0,0,95.9,4.9
ER100_d10,Z12,,cmove,1,4.98,9,0,0,95.9,3.1
ER100_d10,Z12,,cmove,2,4.69,8,0,0,95.9,6.6
ER100_d10,Z12,,adjoint,0,4.84,9,0,0,21.2,5.2
ER100_d10,Z12,,adjoint,1,4.7,8,0,0,21.2,3.5
ER100_d10,Z12,,adjoint,2,4.73,9,0,0,21.2,5.0
turan_n162,Z12,2647,stock,0,7.407,9,0,0,2683.0,35.4
turan_n162,Z12,2647,stock,1,9.463,16,0,0,3262.1,60.3
turan_n162,Z12,2647,stock,2,7.5,9,0,0,2683.0,36.8
turan_n162,Z12,2647,cmove,0,6.796,8,3,1,2538.3,54.2
turan_n162,Z12,2647,cmove,1,6.0,6,3,1,2677.2,27.9
turan_n162,Z12,2647,cmove,2,6.759,8,3,1,2538.3,33.9
turan_n162,Z12,2647,adjoint,0,6.0,6,0,0,2365.0,30.1
turan_n162,Z12,2647,adjoint,1,6.0,6,0,0,2421.0,26.7
turan_n162,Z12,2647,adjoint,2,6.0,6,0,0,2365.0,29.7
