cell,fabric,arm,seed,final_acl,skips,deficit,ext,time
K100,Z12,att,0,8.75,1,0,0,51.5
K100,Z12,att,1,8.75,1,0,0,43.5
K100,Z12,att,2,8.73,1,0,0,63.8
K100,Z12,mm,0,10.04,,,,60.3
K100,Z12,mm,1,10.71,,,,38.7
K100,Z12,mm,2,10.08,,,,46.0
K140,Z12,att,0,11.443,1,0,0,63.2
K140,Z12,att,1,11.407,1,0,0,68.5
K140,Z12,att,2,11.379,1,0,0,66.1
K140,Z12,mm,0,18.214,,,,61.2
K140,Z12,mm,1,,,,,70.6
K140,Z12,mm,2,17.593,,,,60.9
ER100_d10,Z12,att,0,4.97,0,367,18,3.8
ER100_d10,Z12,att,1,4.48,0,367,18,8.6
ER100_d10,Z12,att,2,4.83,0,367,18,4.2
ER100_d10,Z12,mm,0,5.0,,,,3.8
ER100_d10,Z12,mm,1,5.07,,,,1.9
ER100_d10,Z12,mm,2,4.85,,,,3.1
turan_n162,Z12,att,0,7.994,1,0,0,59.4
turan_n162,Z12,att,1,8.049,1,0,0,42.1
turan_n162,Z12,att,2,7.654,1,0,0,59.2
turan_n162,Z12,mm,0,10.543,,,,32.2
turan_n162,Z12,mm,1,13.963,,,,50.3
turan_n162,Z12,mm,2,11.537,,,,62.0
spin_glass_n163,Z12,att,0,12.466,0,7,46,27.3
spin_glass_n163,Z12,att,1,12.46,0,7,46,28.7
spin_glass_n163,Z12,att,2,12.485,0,7,46,32.4
spin_glass_n163,Z12,mm,0,18.712,,,,60.7
spin_glass_n163,Z12,mm,1,17.933,,,,60.1
spin_glass_n163,Z12,mm,2,17.613,,,,60.7
regular_n316,Z12,att,0,2.94,0,97,23,8.7
regular_n316,Z12,att,1,2.94,0,97,23,8.8
regular_n316,Z12,att,2,2.782,0,97,23,11.1
regular_n316,Z12,mm,0,3.364,,,,2.6
regular_n316,Z12,mm,1,3.411,,,,3.7
regular_n316,Z12,mm,2,3.291,,,,6.0
ws_n486,Z12,att,0,3.105,0,788,15,12.3
ws_n486,Z12,att,1,3.006,0,788,15,15.3
ws_n486,Z12,att,2,2.928,0,788,15,16.0
ws_n486,Z12,mm,0,3.233,,,,6.0
ws_n486,Z12,mm,1,3.173,,,,4.5
ws_n486,Z12,mm,2,2.821,,,,6.6
wsc_c8xK32,Z12,att,0,3.695,0,68,24,16.7
wsc_c8xK32,Z12,att,1,3.871,0,68,24,12.1
wsc_c8xK32,Z12,att,2,3.867,0,68,24,10.7
wsc_c8xK32,Z12,mm,0,3.68,,,,13.5
wsc_c8xK32,Z12,mm,1,3.805,,,,28.5
wsc_c8xK32,Z12,mm,2,3.859,,,,10.7
wsc_c3xK64,Z12,att,0,6.693,1,0,1,16.8
wsc_c3xK64,Z12,att,1,6.693,1,0,1,18.0
wsc_c3xK64,Z12,att,2,6.693,1,0,1,18.7
wsc_c3xK64,Z12,mm,0,7.026,,,,52.4
wsc_c3xK64,Z12,mm,1,7.651,,,,48.6
wsc_c3xK64,Z12,mm,2,7.266,,,,23.5
K100,P16,att,0,13.87,,,,62.0
K100,P16,att,1,14.41,,,,36.8
K100,P16,att,2,13.46,,,,61.7
K100,P16,mm,0,13.35,,,,60.5
K100,P16,mm,1,14.62,,,,62.4
K100,P16,mm,2,14.29,,,,62.4
turan_n162,P16,att,0,10.08,,,,60.6
turan_n162,P16,att,1,11.0,,,,67.9
turan_n162,P16,att,2,10.247,,,,63.1
turan_n162,P16,mm,0,9.136,,,,32.8
turan_n162,P16,mm,1,7.815,,,,52.5
turan_n162,P16,mm,2,7.815,,,,63.1
spin_glass_n163,P16,att,0,17.466,,,,61.0
spin_glass_n163,P16,att,1,17.012,,,,26.2
spin_glass_n163,P16,att,2,17.89,,,,60.2
spin_glass_n163,P16,mm,0,22.902,,,,60.5
spin_glass_n163,P16,mm,1,,,,,62.0
spin_glass_n163,P16,mm,2,24.442,,,,60.7
regular_n316,P16,att,0,3.506,,,,5.3
regular_n316,P16,att,1,3.516,,,,6.1
regular_n316,P16,att,2,3.484,,,,6.2
regular_n316,P16,mm,0,3.953,,,,4.2
regular_n316,P16,mm,1,4.234,,,,4.1
regular_n316,P16,mm,2,3.861,,,,3.9
ws_n486,P16,att,0,3.467,,,,14.9
ws_n486,P16,att,1,3.916,,,,11.1
ws_n486,P16,att,2,4.167,,,,13.8
ws_n486,P16,mm,0,4.455,,,,7.7
ws_n486,P16,mm,1,3.617,,,,6.9
ws_n486,P16,mm,2,3.584,,,,5.2
