cell,fabric,arm,seed,final_acl,max_chain,skipped,deficit,time
K100,Z12,att,0,7.79,10,True,0,14.7
K100,Z12,att,1,7.79,10,True,0,16.2
K100,Z12,att,2,7.79,10,True,0,17.5
K100,Z12,att_legacy,0,8.13,9,True,0,27.5
K100,Z12,att_legacy,1,8.12,9,True,0,33.2
K100,Z12,att_legacy,2,8.12,9,True,0,29.5
K100,Z12,mm,0,10.04,14,,,39.7
K100,Z12,mm,1,10.71,16,,,26.2
K100,Z12,mm,2,10.08,14,,,33.6
K140,Z12,att,0,10.521,12,True,0,45.9
K140,Z12,att,1,10.521,12,True,0,46.9
K140,Z12,att,2,10.521,12,True,0,45.0
K140,Z12,att_legacy,0,10.929,15,False,4,54.2
K140,Z12,att_legacy,1,10.793,13,False,4,64.9
K140,Z12,att_legacy,2,11.014,17,False,4,41.9
K140,Z12,mm,0,16.893,27,,,60.5
K140,Z12,mm,1,25.836,52,,,60.8
K140,Z12,mm,2,16.586,27,,,60.7
ER100_d10,Z12,att,0,4.88,9,False,369,4.8
ER100_d10,Z12,att,1,4.98,9,False,369,3.2
ER100_d10,Z12,att,2,4.69,8,False,369,6.5
ER100_d10,Z12,att_legacy,0,4.97,9,False,367,2.7
ER100_d10,Z12,att_legacy,1,4.48,8,False,367,6.2
ER100_d10,Z12,att_legacy,2,4.83,9,False,367,3.3
ER100_d10,Z12,mm,0,5.0,9,,,3.1
ER100_d10,Z12,mm,1,5.07,10,,,1.5
ER100_d10,Z12,mm,2,4.85,9,,,1.7
turan_n162,Z12,att,0,7.407,9,True,0,33.7
turan_n162,Z12,att,1,9.463,16,False,41,61.1
turan_n162,Z12,att,2,7.5,9,True,0,34.0
turan_n162,Z12,att_legacy,0,9.13,17,False,15,15.5
turan_n162,Z12,att_legacy,1,9.062,17,False,15,14.8
turan_n162,Z12,att_legacy,2,8.988,15,False,15,60.3
turan_n162,Z12,mm,0,10.543,16,,,22.1
turan_n162,Z12,mm,1,13.963,25,,,32.8
turan_n162,Z12,mm,2,11.537,21,,,37.6
spin_glass_n163,Z12,att,0,13.282,23,False,9,26.6
spin_glass_n163,Z12,att,1,11.712,20,False,9,15.3
spin_glass_n163,Z12,att,2,11.706,24,False,9,13.4
spin_glass_n163,Z12,att_legacy,0,11.883,19,False,21,17.9
spin_glass_n163,Z12,att_legacy,1,11.877,21,False,21,16.7
spin_glass_n163,Z12,att_legacy,2,11.853,23,False,21,15.6
spin_glass_n163,Z12,mm,0,17.479,29,,,60.2
spin_glass_n163,Z12,mm,1,17.497,29,,,60.4
spin_glass_n163,Z12,mm,2,17.129,27,,,60.1
regular_n316,Z12,att,0,2.718,6,False,33,3.8
regular_n316,Z12,att,1,2.997,7,False,33,3.6
regular_n316,Z12,att,2,2.905,7,False,33,3.7
regular_n316,Z12,att_legacy,0,2.813,6,False,19,3.6
regular_n316,Z12,att_legacy,1,3.009,7,False,19,3.5
regular_n316,Z12,att_legacy,2,2.905,7,False,19,3.4
regular_n316,Z12,mm,0,3.364,9,,,2.1
regular_n316,Z12,mm,1,3.411,10,,,2.2
regular_n316,Z12,mm,2,3.291,9,,,3.1
ws_n486,Z12,att,0,2.852,10,False,428,10.4
ws_n486,Z12,att,1,2.751,9,False,428,11.8
ws_n486,Z12,att,2,2.817,11,False,428,10.8
ws_n486,Z12,att_legacy,0,3.101,12,False,747,4.4
ws_n486,Z12,att_legacy,1,3.156,12,False,747,5.3
ws_n486,Z12,att_legacy,2,3.335,14,False,747,4.2
ws_n486,Z12,mm,0,3.233,11,,,2.7
ws_n486,Z12,mm,1,3.173,13,,,2.9
ws_n486,Z12,mm,2,2.821,11,,,4.1
K100,P16,att,0,14.49,21,,,42.9
K100,P16,att,1,14.06,21,,,41.5
K100,P16,att,2,13.68,22,,,27.0
K100,P16,att_legacy,0,12.68,20,,,22.9
K100,P16,att_legacy,1,13.27,20,,,60.0
K100,P16,att_legacy,2,13.61,21,,,21.1
K100,P16,mm,0,13.2,22,,,60.2
K100,P16,mm,1,13.96,21,,,60.9
K100,P16,mm,2,13.69,21,,,60.2
turan_n162,P16,att,0,9.599,11,,,32.9
turan_n162,P16,att,1,8.58,9,,,58.4
turan_n162,P16,att,2,10.241,11,,,56.1
turan_n162,P16,att_legacy,0,8.0,8,,,63.5
turan_n162,P16,att_legacy,1,8.765,10,,,43.8
turan_n162,P16,att_legacy,2,8.593,9,,,58.4
turan_n162,P16,mm,0,9.136,10,,,24.9
turan_n162,P16,mm,1,7.815,8,,,34.5
turan_n162,P16,mm,2,7.815,8,,,38.2
ws_n486,P16,att,0,3.667,17,,,5.1
ws_n486,P16,att,1,3.621,15,,,5.0
ws_n486,P16,att,2,3.498,15,,,5.9
ws_n486,P16,att_legacy,0,4.115,18,,,7.8
ws_n486,P16,att_legacy,1,3.539,15,,,8.3
ws_n486,P16,att_legacy,2,3.708,15,,,8.5
ws_n486,P16,mm,0,4.455,17,,,3.0
ws_n486,P16,mm,1,3.617,15,,,3.9
ws_n486,P16,mm,2,3.584,13,,,4.3
